subj,node1,node2,irt5,irt9,irt95
S103,deer,squirrel,1,1,1
S103,hawk,tick,1,1,1
S103,chimpanzee,gorilla,1,1,1
S103,cranefly,raven,1,1,0
S103,ocelot,octopus,1,1,1
S103,parrot,tick,1,0,0
S103,kangaroo,yellowjacket,1,1,1
S103,bear,orangutan,0,1,0
S103,penguin,whale,1,1,0
S103,antelope,pig,1,1,1
S103,bluejay,hamster,1,1,1
S103,moose,squirrel,1,1,0
S103,llama,zebra,1,1,1
S103,rabbit,turtle,1,1,0
S103,kangaroo,swan,1,0,1
S103,hyena,kangaroo,0,1,0
S103,eagle,parrot,1,1,1
S103,dinosaur,raptor,1,1,1
S103,ocelot,tiger,1,1,1
S103,mink,seal,0,1,1
S103,hamster,lemur,1,1,0
S103,goose,zebra,1,1,1
S103,gerbil,giraffe,1,1,0
S103,orangutan,redpanda,1,0,0
S103,mantis,sealion,1,1,0
S103,cat,gorilla,0,1,0
S103,alpaca,goat,1,1,0
S103,catfish,whale,1,1,1
S103,leopard,ocelot,1,1,1
S103,pig,redpanda,0,1,0
S103,goose,hawk,1,1,1
S103,cranefly,duck,1,0,0
S103,alpaca,sheep,1,1,1
S103,bat,bee,1,1,1
S103,hawk,moose,1,1,1
S103,ocelot,piranha,1,1,0
S103,deer,raptor,1,1,1
S103,octopus,raven,1,1,1
S103,piranha,tiger,1,1,1
S103,alpaca,marmoset,1,0,0
S103,snake,wolf,1,1,1
S103,cat,koala,1,0,0
S103,crane,mouse,1,1,1
S103,cat,mouse,1,1,0
S103,boar,human,0,0,1
S103,panda,zebra,0,1,0
S103,duck,fly,1,1,1
S103,gerbil,zebra,1,1,1
S103,donkey,redpanda,1,0,0
S103,gorilla,zebra,1,1,1
S103,penguin,polarbear,1,1,0
S103,boar,rat,1,0,0
S103,cranefly,crow,1,1,1
S103,sloth,slowloris,1,1,1
S103,lion,mink,0,1,0
S103,cheetah,human,1,1,1
S103,dog,sloth,1,1,1
S103,crow,seal,1,0,0
S103,boar,gorilla,0,1,0
S103,gerbil,hamster,1,1,1
S103,crow,raven,1,1,1
S103,goldfish,snake,1,1,1
S103,gorilla,tiger,1,1,1
S103,chimpanzee,orangutan,0,1,0
S103,capybara,turtle,1,1,0
S103,piranha,snake,0,1,0
S103,dolphin,penguin,1,1,1
S103,mouse,zebra,1,0,0
S103,cranefly,fly,1,1,1
S103,redpanda,zebra,1,1,0
S103,hawk,swan,1,1,1
S103,crow,lion,1,0,0
S103,otter,polarbear,1,1,1
S103,catfish,dolphin,1,1,1
S103,polarbear,seal,1,1,0
S103,pig,seacow,0,1,0
S103,boar,lemur,1,1,1
S103,donkey,swan,0,1,0
S103,cat,human,1,1,1
S103,lion,wolf,0,1,0
S103,lemur,raptor,1,1,0
S103,deer,horse,1,1,1
S103,mantis,piranha,1,1,1
S103,cheetah,snake,1,1,0
S103,chicken,cow,1,1,0
S103,llama,redpanda,0,1,1
S103,hyena,sugarglider,1,1,1
S103,chipmunk,squirrel,1,1,1
S103,dog,koala,0,0,1
S103,chicken,seacow,1,1,1
S103,gorilla,orangutan,1,1,1
S103,crow,mink,1,1,0
S103,boar,pig,1,1,1
S103,deer,seacow,1,1,0
S103,bear,monkey,1,1,1
S103,horse,orangutan,0,1,0
S103,otter,seal,1,1,1
S103,bluejay,eagle,1,1,1
S103,cheetah,tiger,1,1,1
S103,dolphin,polarbear,1,1,1
S103,dinosaur,marmoset,1,1,1
S103,seagull,sealion,1,1,1
S103,dog,rat,1,1,0
S103,lemur,marmoset,1,1,1
S103,cow,seacow,1,1,1
S103,hamster,mouse,1,1,0
S103,giraffe,goat,1,1,1
S103,goose,llama,1,0,0
S103,mink,weasel,1,1,1
S103,mink,raven,1,1,1
S103,gerbil,mouse,1,1,1
S103,crane,cranefly,1,1,1
S103,ocelot,snake,0,1,1
S103,dolphin,otter,1,1,0
