max_converge,theta,numgraphs,edgestotweak,numkeep,jeff,numperseed,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt,hit_orig,miss_orig,fa_orig,cr_orig,bestval_irts,bestval_noirt,bestval_orig
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,0,5,1,0,20,12,14,0:06:45.869558,0:01:21.896141,2mm4ey3binoc0dlypr87qv32knq2wy8woehc4oxtmgwm,2fc5jekfa9ceicvqgj34fh6u5e49uc80r5o5zeozjaqe,0,26,4,8,67,21,9,5,70,25,5,15,60,-73.5536059428,-73.3231789932,-80.7367336482
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,1,5,1,1,27,21,21,0:12:06.389329,0:01:36.713467,10e7wwcvmfi6ciitfnqgap2qoa5v7i82h9dayyg7so9a,2mltil4b9ujfulbgj9nlqnvn1hu9whbiz0dkzbb6iryu,0,22,8,13,62,19,11,10,65,25,5,22,53,-103.519944465,-75.8221567164,-88.1287864614
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,2,5,1,2,19,10,11,0:09:46.743404,0:01:32.284294,2q8bm5lk2czw88vwmta0bsfak4bw7aqd0z181h9hnrpy,140p7oafdgbbz859374t318vreg9zfi5lgqyyd0mvksm,0,26,4,6,69,21,9,2,73,27,3,16,59,-78.3463886785,-65.5788250061,-79.7174147537
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,3,5,1,3,22,18,21,0:11:46.351853,0:01:01.900311,2tzdjjccmfgxfzqb1hoe85f3cgkmso4xjnv4m6brdiju,20vmntfka9xk2rre0ucgp3g757erryqe8r0spaev09ca,0,24,6,12,63,19,11,10,65,25,5,17,58,-75.8424835137,-75.2577255656,-83.107402802
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,4,5,1,4,21,11,13,0:10:10.712297,0:01:23.740251,1q3kfliabkrmrx78hu0twwqu17qfyd6m0c2dm8jx8cue,1pveotueccex14d4l7uzozlodhhrxjinzyn60oo1mzuu,0,24,6,5,70,21,9,4,71,26,4,17,58,-66.4985007527,-72.1910085156,-85.4828447211
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,5,5,1,5,25,12,16,0:10:25.732061,0:01:21.591655,2mts2d4f28i9q5qkcdozsfucyag05n5vcyketz3nyls0,1vk10jpqfunalloxafz8ckt0329te3w6tiv59zy58ji8,0,26,4,8,67,22,8,8,67,27,3,22,53,-97.1573830171,-79.5986746462,-88.8768063295
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,6,5,1,6,14,12,15,0:05:33.731122,0:01:12.516431,elpmznlpe3d4rjm4v3wxmp41o9dh7qx9dat4v9cpi6c,ekf0p9pwdb4pltb62heqmsr5j19fecjej6bl5xt5vls,0,25,5,7,68,19,11,4,71,28,2,12,63,-76.7680348607,-65.1756685665,-76.719473288
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,7,5,1,7,25,18,15,0:09:46.364440,0:01:53.008180,1fmnzjd4i44zj12gwkqmujaltke01qz9bwrrfve5fry0,17o52oncha9shkh14mfpn3ch98x0ajftll9g05knkaa0,0,24,6,12,63,19,11,4,71,24,6,19,56,-116.460232311,-68.5681559475,-85.0716834843
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,8,5,1,8,28,20,12,0:12:06.211024,0:01:31.417522,11erwd9o8lb646pkn90ojpmn1yvqgu7c72hpsjpiqkh4,7eaa8a4xsr6ifd52go2w9hbmlvzomzv203khlwx4wso,0,22,8,12,63,20,10,2,73,23,7,21,54,-82.0208507078,-69.3627066825,-86.1644926544
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,9,5,1,9,24,14,10,0:08:56.674251,0:01:52.095133,316h3lyoqwtum4thh91h37c1tni4xdjeuxs573qcc3d6,1t1cuaxtzy2eu2p4qrzw0hbxkn48805xls381ej1fs,0,24,6,8,67,21,9,1,74,27,3,21,54,-135.372226019,-74.1787453637,-90.5608339707
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,10,5,1,10,19,15,20,0:12:42.233597,0:01:41.632345,141gc61egvbw047zu1fc1yqc4sufs97e6egipdmv39c2,2ffrah2s90qj8hd77hwm5pcve4kee9wbf5gf3rx1xc76,0,24,6,9,66,18,12,8,67,26,4,15,60,-64.5551439807,-70.8552073049,-80.8392988846
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,11,5,1,11,14,11,9,0:08:17.278889,0:01:04.930382,1n4njsdxp0bwted0w510xvw797yedspkosq62ylnkoso,1n4noyu9q0y60144mmwh2dkkemcc4q71tr0nwxqv9wqw,0,25,5,6,69,24,6,3,72,28,2,12,63,-90.7121911186,-73.3492978599,-84.2703890026
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,12,5,1,12,19,13,13,0:10:46.570337,0:01:43.297528,180pskzj838s5l5vp0bjifb2ssdfunlhwzc0ux960wsm,eors8hquc3yw4to4y7o39c94qci89q3pfz2m2124jye,0,23,7,6,69,22,8,5,70,26,4,15,60,-75.3576394417,-69.0611017848,-80.0728849341
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,13,5,1,13,24,17,15,0:13:35.957364,0:01:24.848740,t9o3ovdo8m5omsr9u2pw1xj7qub7854p5yxmgh02nn8,t4jutq4y3l5h849y2h40aw00fzl02j86zkprnrmql90,0,23,7,10,65,20,10,5,70,25,5,19,56,-86.3625887087,-71.2925882366,-86.8963104699
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,14,5,1,14,23,25,19,0:13:49.620607,0:01:28.407227,ay862t9up1n1jzmqs6u1hijimk9ue7wf3x4jx4wjhv0,3n9l9wcuhlyqgfm4mny5rtu6yn90xv8r82ezti2mbyk,0,22,8,17,58,18,12,7,68,24,6,17,58,-89.9666202919,-77.4481510128,-84.1058152853
