method,simnum,listnum,hit,miss,fa,cr,cost,startseed
chan,0,4,25,300,75,4550,375.0,0
kenett,0,4,0,325,0,4625,325.0,0
fe,0,4,8,317,4,4621,321.0,0
uinvite_flat,0,4,198,127,507,4118,634.0,0
uinvite_hierarchical,0,4,27,298,13,4612,311.0,0
rw,0,5,237,88,880,3745,968.0,0
goni,0,5,85,240,78,4547,318.0,0
chan,0,5,32,293,69,4556,362.0,0
kenett,0,5,0,325,0,4625,325.0,0
fe,0,5,8,317,7,4618,324.0,0
uinvite_flat,0,5,224,101,580,4045,681.0,0
uinvite_hierarchical,0,5,43,282,19,4606,301.0,0
rw,0,6,257,68,1018,3607,1086.0,0
goni,0,6,50,275,30,4595,305.0,0
chan,0,6,32,293,68,4557,361.0,0
kenett,0,6,0,325,0,4625,325.0,0
fe,0,6,10,315,8,4617,323.0,0
uinvite_flat,0,6,242,83,622,4003,705.0,0
uinvite_hierarchical,0,6,22,303,7,4618,310.0,0
rw,0,7,266,59,1168,3457,1227.0,0
goni,0,7,72,253,38,4587,291.0,0
chan,0,7,38,287,61,4564,348.0,0
kenett,0,7,0,325,0,4625,325.0,0
fe,0,7,11,314,10,4615,324.0,0
uinvite_flat,0,7,244,81,655,3970,736.0,0
uinvite_hierarchical,0,7,34,291,10,4615,301.0,0
rw,0,8,277,48,1298,3327,1346.0,0
goni,0,8,90,235,65,4560,300.0,0
chan,0,8,32,293,67,4558,360.0,0
kenett,0,8,0,325,0,4625,325.0,0
fe,0,8,11,314,13,4612,327.0,0
uinvite_flat,0,8,259,66,691,3934,757.0,0
uinvite_hierarchical,0,8,21,304,3,4622,307.0,0
rw,0,9,287,38,1432,3193,1470.0,0
goni,0,9,111,214,95,4530,309.0,0
chan,0,9,39,286,60,4565,346.0,0
kenett,0,9,0,325,0,4625,325.0,0
fe,0,9,11,314,16,4609,330.0,0
uinvite_flat,0,9,261,64,696,3929,760.0,0
uinvite_hierarchical,0,9,26,299,5,4620,304.0,0
