idx,cf,ef,numitems,persev,clustersize,clusterswitch
0,0.0,0.0,18.0,0.0,2.41605194805,6.92
1,0.0,0.02,17.68,0.0,2.31432767233,7.4
2,0.0,0.04,17.8,0.0,2.2303997114,7.52
3,0.0,0.06,17.08,0.0,2.16992574093,7.56
4,0.0,0.08,17.2,0.0,2.21174314574,7.16
5,0.0,0.1,16.84,0.0,2.19359018759,7.04
6,0.0,0.12,16.76,0.0,2.3833971584,6.64
7,0.0,0.14,16.6,0.0,2.19853246753,6.96
8,0.0,0.16,15.96,0.0,2.26586868687,6.48
9,0.0,0.18,16.28,0.0,2.4806006216,6.32
10,0.0,0.2,15.28,0.0,2.333,6.0
11,0.0,0.22,15.56,0.0,2.56684848485,5.88
12,0.0,0.24,14.72,0.0,2.29774747475,6.2
13,0.0,0.26,15.04,0.0,2.22409090909,6.2
14,0.0,0.28,14.12,0.0,2.46068975469,5.68
15,0.0,0.3,14.28,0.0,2.15977922078,6.2
16,0.0,0.32,13.84,0.0,2.18520634921,5.6
17,0.0,0.34,13.56,0.0,2.27185714286,5.56
18,0.0,0.36,13.16,0.0,2.03324242424,6.0
19,0.0,0.38,13.32,0.0,2.10953235653,5.96
20,0.0,0.4,13.4,0.0,2.22236507937,5.52
21,0.0,0.42,12.08,0.0,2.11607936508,5.36
22,0.0,0.44,12.56,0.0,2.14261904762,5.4
23,0.0,0.46,11.88,0.0,2.0636984127,5.24
24,0.0,0.48,12.0,0.0,1.88746031746,5.68
25,0.0,0.5,11.72,0.0,2.23501587302,4.72
26,0.0,0.52,10.92,0.0,2.05919047619,4.68
27,0.0,0.54,10.32,0.0,2.28993650794,4.72
28,0.0,0.56,10.16,0.0,2.019004329,4.8
29,0.0,0.58,9.92,0.0,2.0183015873,4.44
30,0.0,0.6,9.72,0.0,1.75852380952,4.76
31,0.0,0.62,9.44,0.0,1.80193650794,4.44
32,0.0,0.64,8.8,0.0,1.95003174603,3.84
33,0.0,0.66,8.32,0.0,1.94761904762,3.64
34,0.0,0.68,7.2,0.0,1.77647619048,3.28
35,0.0,0.7,6.96,0.0,1.8600952381,3.32
36,0.0,0.72,6.64,0.0,1.7740952381,3.24
37,0.0,0.74,7.16,0.0,1.93971428571,3.2
38,0.0,0.76,6.4,0.0,1.7640952381,2.88
39,0.0,0.78,6.04,0.0,1.67833333333,2.88
40,0.0,0.8,5.64,0.0,1.61866666667,2.76
41,0.0,0.82,5.12,0.0,1.81022222222,2.24
42,0.0,0.84,5.12,0.0,1.782,2.4
43,0.0,0.86,3.36,0.0,1.67333333333,1.2
44,0.0,0.88,3.28,0.0,nan,1.4
45,0.0,0.9,3.16,0.0,1.32666666667,1.36
46,0.0,0.92,2.68,0.0,nan,1.2
47,0.0,0.94,1.56,0.0,nan,0.2
48,0.0,0.96,1.24,0.0,nan,0.04
49,0.0,0.98,0.44,0.0,nan,-0.64
50,0.02,0.0,18.0,0.36,2.36179220779,7.4
51,0.02,0.02,17.72,0.32,2.18658519259,7.56
52,0.02,0.04,17.44,0.24,2.31629004329,7.12
53,0.02,0.06,17.24,0.16,2.15224420024,7.64
54,0.02,0.08,16.96,0.16,2.42558152958,6.36
55,0.02,0.1,16.72,0.24,2.34406782107,6.64
56,0.02,0.12,16.64,0.24,2.22394805195,7.08
57,0.02,0.14,15.84,0.36,2.38938461538,6.32
58,0.02,0.16,15.56,0.2,2.17196825397,6.8
59,0.02,0.18,15.96,0.28,2.24184593185,6.8
60,0.02,0.2,15.76,0.24,2.22989033189,6.92
61,0.02,0.22,14.96,0.32,1.98135786436,6.96
62,0.02,0.24,14.6,0.24,2.32856132756,5.88
63,0.02,0.26,14.76,0.24,1.95862770563,6.76
64,0.02,0.28,14.68,0.28,2.20732467532,5.92
65,0.02,0.3,14.2,0.28,2.34174603175,5.52
66,0.02,0.32,13.72,0.12,2.12828571429,5.76
