numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_windowgraph,time_windowgraph,bestgraph_windowgraph,hit_windowgraph,miss_windowgraph,fa_windowgraph,cr_windowgraph,ll_windowgraph
6,0.3,steyvers,1,50,0.7,0.0,stationary,15,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1341.59680091,,,,115.0,0:00:00.817986,:q`_OS?F??_gOOJCaO?sCGF_pPCY?L___[?YMeOo_mUNHPPSCGHGswPY?ABAPOkWP``XXMAFDDAtOpLIO?GcYOIEX@Ch?Kfg_SVDIFW?OKILFXPChCECHX[w]Qpp@mAKIdsYYC[iGGoeSc_A@[SOLKes{g{hdDCYPXDMhCihX,100,73,42,1010,-1416.4331443
6,0.3,steyvers,1,50,0.7,0.0,stationary,16,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1416.32606579,,,,105.0,0:00:00.856278,:q`_OSA?@@O__UCCaO?sCH@ApPCY?L`?w?s\K``@[k]QaagGOQN_cwPY?ABA`WobBAqqPMAFDDBSgpLIO?GcYSKqAHQ?XNP?gmISMo?_WS\dCQcKGGGFxX[w]Qpp@mAFEDQyLLAMTCCcaTdHH?lNBAa@hcufnITSggbQJGhtGdU^,106,67,38,1014,-1486.20577579
6,0.3,steyvers,1,50,0.7,0.0,stationary,17,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1508.25211363,,,,105.0,0:00:00.928235,:q`_OSA?@@O__UCC``G?YAC_`WgaL?Eo_[?YMeOo_mACDcggiACCbwHMCKJO?OWSJECWWUUR_`pPOtIKRQc?AHEdBK_aS_ERsOIJadBk?GEDEbkgaSa@`@?~JJfBqUMZa`sYYC[iGHHCjIGHG?_Uf``P?sqZRvdAdTIIGsaqI\QHTf,107,66,39,1013,-1596.95187994
6,0.3,steyvers,1,50,0.7,0.0,stationary,18,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1604.7033118,,,,104.0,0:00:00.934832,:q`_OSA?@@P?kGHBAO?sCH@ApPCY?L`?w?s\K__o_mACDcggiACCbwHMCKJO?OWSJECWWS\JHoOwggYdEGwsh??aPhOrGGdG@c|CAawhOz?A@`PgzIGdG___^ddr`xJFLpOyLLAMTCCcaTdCCc_Uf``P?sqZRvdAdTIIGsaqI\QHTQr,108,65,39,1013,-1711.15989763
6,0.3,steyvers,1,50,0.7,0.0,stationary,19,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1690.22574163,,,,110.0,0:00:01.037295,:q`_OSA?@@P?kQH?@@gGON@ApPCY?L___[?YM`bGGKGJ_`@XIII_`@G}AR`Dg?GKHDAp`EJJHoOwggYdEGwsh??bQ`eOPIOBHyCCDpQ`u?CBAbPuMIGoo_o_XNqqxo{dbewGoiVPhgPqg_bAQKg_c_?p?lNBAa@hcufdFdAdTIIGsaqI\QHTQr,108,65,45,1007,-1819.39754525
6,0.3,steyvers,1,50,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1791.37413933,,,,104.0,0:00:01.171375,:q`_OSA?@@P?kCCCaO?OYAC_`WgaLL___[?YM`bGGKGJ_`@XIII_`@G}AMHo``Y?ABAPOkWPaqq[CMIIDrSgpFEdG?CYSKqAHQ?VKfg_SVDIFW?OKILFXPCg\``@`?q^ddr`xJFLpOx`Ee`FG@P@HGdXP@H?@a@Y]EDCBRHlN]SITSggbQJGhtGdTJN,113,60,44,1008,-1902.55653133
6,0.3,steyvers,1,50,0.7,0.0,stationary,21,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1893.25245909,,,,100.0,0:00:01.214943,:q`_OS?F??_g_UAAAP?k?CE_`GGUIGbOpk?AA@o@gyEK__o_mACDcggiACCbwGwfAEDg?GKHDAp`EEDdcwG[SSJehPaMLIO?GSYSKqAHQ?VKfg_SVDIFW_WSYMqaHGg\aFxX[w]Qpr[SMWPhgPq?SOP`HESOQO@?lNDCBRHlN]SITSggbQJGhtGdTJN,115,58,42,1010,-1988.51757875
6,0.3,steyvers,1,50,0.7,0.0,stationary,22,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1973.21099714,,,,95.0,0:00:01.154446,:q`_OS?F??_g_UAAAP?k?CE_`GGUIGbOpk?AA@o@gyEK__o_mACDcggiACCbwGwfAEDg?GKHDAp`EEDdcwwggVKehPaMLIO?GSYSKqAHQ?VKfg_SVDIFW_WSYMqaHGg\aFxX[w]Qpr[SMWPhgPq?SOO`HCjIGHH?lNDCBRI]{gSihPPEcUPSahX,116,57,38,1014,-2068.68814812
6,0.3,steyvers,1,50,0.7,0.0,stationary,23,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-2064.38788574,,,,96.0,0:00:01.277880,:q`_OS?F??_g_UAAAP?k?CE_`GGUIGbOpk?AA@o@gyEK__o_WV@AAqSST@AAP{C[R`BAs?CECa`WobDdba[CMIIDwWgpFEdG?CILGDBK_aS_DrHyGDDpQ`uGEDEbkgaQIFW_WOXNqqxo{dbewg[obRObc?CSOO`HCjIQQ@Y]IGEeRY]{gSihPPEcUPQahWo,119,54,42,1010,-2176.01075934
6,0.3,steyvers,1,50,0.7,0.0,stationary,24,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-2155.04641553,,,,97.0,0:00:01.298671,:q`_OS?F??_g_UAAAP?k?CE_`GGUIGbOpk?AA@o@gyECEOOWOKJ_`@XIII_`@G}AMHo``Y?ABAPOkWPaqppMAFDDA{KSWbbQc?ADEcA`eGGGdG@[q]`@?gmISMp?ogs\dCQPOzCBAA@c~JJfBqUMZa`rALLAMO?PP@ACcQkhHGDhwg_YXLhzq`QidDCYPXDTJEF,120,53,44,1008,-2280.40263574
