subj,node1,node2,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,zibb1,zibb2,zibb3,zibb4,zibb5,zibb6,zibb7,zibb8,zibb9
S100,snake,cockroach,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,grasshopper,antelope,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,squid,gecko,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,peacock,rooster,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,goose,skunk,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,emu,beaver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,dinosaur,deer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,rhinoceros,mouse,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,macaw,duck,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,cow,moose,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,pony,horse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,cheetah,finch,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
S100,kangaroo,flamingo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,crow,gazelle,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,llama,tapir,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,pigeon,frog,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,bat,lizard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,dingo,octopus,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,parrot,owl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,tarantula,pig,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,tiger,leopard,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,mule,deer,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,monkey,hyena,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,ostrich,emu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,parrot,flamingo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,wildebeest,buffalo,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,donkey,gorilla,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,iguana,bluejay,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,boaconstrictor,snake,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,rooster,mosquito,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,rooster,owl,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
S100,bobcat,wolf,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
S100,monkey,panda,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,donkey,chimpanzee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,dolphin,worm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,crow,hawk,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,chipmunk,elk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,iguana,salamander,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
S100,nutria,wolf,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,salmon,crab,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,narwhal,bluewhale,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,steer,pig,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,seagull,bat,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,spider,mantaray,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
S100,cockatoo,groundhog,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,blackbear,lion,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,ostrich,frog,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,fish,rabbit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,pigeon,eagle,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,crow,donkey,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,eagle,owl,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
S100,giraffe,yak,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,seahorse,whale,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,mouse,worm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,chameleon,alligator,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,horse,swallow,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,ferret,turkey,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,possum,chipmunk,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,chipmunk,moose,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,pigeon,swallow,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,macaw,owl,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,dolphin,ram,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,goat,mosquito,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,sheep,ram,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,seahorse,eel,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,skunk,bat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,goat,chicken,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,lamb,moose,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,shark,gecko,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,skunk,fox,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,antelope,aardvark,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,narwhal,walrus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,canary,eagle,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,orca,seal,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,tuna,cow,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
S100,possum,cat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,possum,bat,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
S100,bobcat,bear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,butterfly,kangaroo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,chipmunk,beaver,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,swordfish,pig,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,grasshopper,toad,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,seagull,moose,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,brownbear,horse,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,aardvark,whale,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,squirrel,rabbit,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,horse,cow,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,seagull,lynx,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,turtle,raccoon,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,monkey,lion,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,giraffe,aardvark,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,hog,guineapig,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,polarbear,walrus,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,fly,cat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,jellyfish,manatee,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,bird,polarbear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,komododragon,zebra,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,rooster,elk,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,hyena,vulture,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,dolphin,mantaray,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,snake,robin,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,crocodile,otter,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,crow,pigeon,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
S100,hippopotamus,sloth,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,giraffe,ray,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,goose,swan,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
S100,mountainlion,puma,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,sealion,penguin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,walrus,octopus,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,spider,squirrel,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,camel,ox,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,cougar,lynx,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,goose,pigeon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
