a,b,c,AB,AC,BC,probAB,probAC,probBC
boete,dooi,hostie,18,36,12,0.272727273,0.545454545,0.181818182
afdak,beschuit,elastiek,18,33,15,0.272727273,0.5,0.227272727
hamer,helikopter,muts,24,16,26,0.363636364,0.242424242,0.393939394
beha,frigo,viool,18,30,18,0.272727273,0.454545455,0.272727273
jas,microgolf,saxofoon,16,22,28,0.242424242,0.333333333,0.424242424
koor,sap,spade,22,20,24,0.333333333,0.303030303,0.363636364
broek,speer,wok,17,20,29,0.257575758,0.303030303,0.439393939
gids,kalk,pupil,18,41,7,0.272727273,0.621212121,0.106060606
gitaar,lepel,zwempak,28,27,11,0.424242424,0.409090909,0.166666667
fiets,mes,orgel,22,31,13,0.333333333,0.46969697,0.196969697
heks,kraan,vet,8,35,23,0.121212121,0.53030303,0.348484848
bluts,buidel,veter,26,8,32,0.393939394,0.121212121,0.484848485
