subj,node1,node2,rw,windowgraph,uinvite
S103,goose,hawk,1,0,1
S103,pig,rat,1,0,1
S103,monkey,orangutan,1,0,1
S103,moose,hawk,1,0,1
S103,raven,mink,1,0,1
S103,raptor,deer,1,0,1
S103,octopus,raven,1,0,1
S103,piranha,tiger,1,0,1
S103,wolf,snake,1,1,1
S103,crane,mouse,1,0,1
S103,duck,fly,1,0,1
S103,zebra,gerbil,1,0,1
S103,tick,hawk,1,0,1
S103,zebra,gorilla,1,0,1
S103,lion,zebra,1,0,1
S103,cranefly,crow,1,0,1
S103,hamster,bluejay,1,0,1
S103,human,cheetah,1,0,1
S103,sloth,dog,1,0,1
S103,hamster,gerbil,1,1,1
S103,crow,raven,1,1,1
S103,mantis,ocelot,1,0,1
S103,goldfish,snake,1,0,1
S103,tiger,gorilla,1,0,1
S103,cranefly,fly,1,0,1
S103,swan,hawk,1,0,1
S103,otter,polarbear,1,0,1
S103,sheep,alpaca,1,0,1
S103,llama,alpaca,1,0,1
S103,human,cat,1,1,1
S103,seacow,horse,1,0,1
S103,horse,deer,1,0,1
S103,piranha,mantis,1,0,1
S103,llama,redpanda,1,0,1
S103,sugarglider,hyena,1,0,1
S103,squirrel,chipmunk,1,0,1
S103,cat,dog,1,1,1
S103,chicken,seacow,1,0,1
S103,orangutan,gorilla,1,1,1
S103,boar,pig,1,0,1
S103,belugawhale,whale,1,0,1
S103,monkey,bear,1,0,1
S103,sloth,slowloris,1,0,1
S103,otter,seal,1,0,1
S103,eagle,bluejay,1,0,1
S103,tiger,cheetah,1,0,1
S103,sealion,belugawhale,1,0,1
S103,polarbear,dolphin,1,0,1
S103,marmoset,dinosaur,1,0,1
S103,sealion,seagull,1,0,1
S103,mantis,rhinoceros,1,0,1
S103,seacow,cow,1,0,1
S103,squirrel,deer,1,0,1
S103,goat,giraffe,1,0,1
S103,ocelot,tiger,1,0,1
S103,cheetah,leopard,1,1,1
S103,crow,duck,1,0,0
S103,human,dog,1,0,1
S103,gerbil,mouse,1,0,1
S103,cranefly,crane,1,1,1
S103,ocelot,snake,1,0,1
S103,penguin,dolphin,1,0,1
S103,ocelot,cheetah,0,1,0
S103,zebra,elephant,1,0,1
S103,tick,snail,1,0,1
S103,marmoset,human,1,0,1
S103,hamster,alpaca,1,0,1
S103,parrot,hawk,1,0,1
S103,mule,giraffe,1,0,1
S103,cow,pig,1,0,1
S103,rat,bear,1,0,1
S103,seal,mantis,1,0,1
S103,blackheadedgull,seagull,1,0,1
S103,alpaca,capybara,1,0,1
S103,ferret,hamster,1,0,1
S103,horse,chimpanzee,1,0,1
S103,wolf,cheetah,1,0,1
S103,panda,redpanda,1,1,1
S103,turtle,lion,1,0,1
S103,panda,donkey,1,0,1
S103,seacow,kangaroo,1,0,1
S103,eagle,crane,1,0,1
S103,sloth,koala,1,0,1
S103,mouse,dog,1,0,1
S103,blackheadedgull,sugarglider,1,0,1
S103,lion,wolf,1,0,1
S103,deer,slowloris,1,0,1
S103,bat,panda,1,0,1
S103,piranha,flyingsquirrel,1,0,1
S103,wolf,mink,1,0,1
S103,yellowjacket,hyena,1,0,1
S103,sheep,goat,1,0,1
S103,eagle,hawk,1,1,1
S103,human,bear,1,0,1
S103,seal,sealion,1,0,1
S103,turtle,slowloris,1,0,1
S103,rat,mouse,1,1,1
