subj,node1,node2,u-invite,priming,rw,windowgraph
S1,lobster,crab,1,1,1,1
S1,meerkat,chimpanzee,1,1,1,1
S1,giraffe,tiger,1,1,1,1
S1,leopard,whale,1,1,1,1
S1,scorpion,bear,1,1,1,1
S1,canary,bat,1,1,1,1
S1,zebra,dog,1,1,1,1
S1,squirrel,chipmunk,1,1,1,1
S1,giraffe,hyena,1,1,1,1
S1,hippopotamus,hyena,1,1,1,1
S1,mountainlion,capybara,1,1,1,1
S1,cat,dog,1,1,1,1
S1,scorpion,lobster,1,1,1,1
S1,panda,koala,1,1,1,1
S1,puma,tiger,1,1,1,1
S1,snake,dinosaur,1,1,1,1
S1,human,chimpanzee,1,1,1,1
S1,scorpion,mouse,1,1,1,1
S1,scorpion,flamingo,1,1,1,1
S1,bird,platypus,1,1,1,1
S1,ferret,dolphin,1,1,1,1
S1,flamingo,ostrich,1,1,1,1
S1,zebra,cat,1,1,1,1
S1,wolf,cheetah,1,1,1,1
S1,lion,cheetah,1,1,1,1
S1,opossum,tiger,1,1,1,1
S1,spider,cheetah,1,1,1,1
S1,opossum,lice,1,1,1,1
S1,chimpanzee,baby,1,1,1,1
S1,rat,whale,1,1,1,1
S1,giraffe,elephant,1,1,1,1
S1,panda,pig,1,1,1,1
S1,pig,rhinoceros,1,1,1,1
S1,tiger,elephant,1,1,1,1
S1,fish,cat,1,1,1,1
S1,lion,squid,1,1,1,1
S10,lion,ox,0,0,0,1
S10,cow,tiger,0,0,0,1
S10,cat,ferret,0,0,1,0
S10,peacock,zebra,0,0,1,0
S10,baboon,anteater,0,0,1,0
S10,otter,ant,0,0,1,0
S10,hippopotamus,worm,0,0,1,0
S10,baboob,monkey,0,0,1,0
S10,eel,alligator,0,0,1,0
S10,manatee,monkey,0,0,1,0
S10,leech,donkey,0,0,1,0
S10,monkey,elephant,0,0,1,0
S10,cougar,meerkat,0,0,1,0
S10,monkey,giraffe,0,0,1,0
S10,horse,jaguar,0,0,1,0
S10,fox,alligator,0,0,1,0
S10,fox,donkey,0,0,1,0
S10,crow,hummingbird,0,0,1,0
S10,pig,moth,0,0,1,0
S10,cougar,toucan,0,0,1,0
S10,pig,butterfly,0,0,1,0
S10,eel,fox,0,0,1,0
S10,chicken,fox,0,0,1,0
S10,pony,ferret,0,0,1,0
S10,meerkat,coyote,0,0,1,0
S10,owl,waterbuffalo,0,0,1,0
S10,woodpecker,elephant,0,0,1,0
S10,ox,mouse,0,0,1,0
S10,cat,butterfly,0,0,1,0
S10,maggot,leech,0,0,1,0
S10,chimpanzee,jaguar,0,0,1,0
S10,parrot,snail,0,0,1,0
S10,coyote,snail,0,0,1,0
S10,crow,seal,0,0,1,0
S10,ox,skunk,0,0,1,0
S10,monkey,ant,0,0,1,0
S10,pig,ferret,0,0,1,0
S10,quail,possum,0,0,1,0
S10,hippopotamus,donkey,0,0,1,0
S10,eel,fish,0,0,1,0
S10,wasp,cat,0,0,1,0
S10,sealion,shark,0,0,1,0
S10,sealion,buffalo,0,0,1,0
S10,ant,quail,0,0,1,0
S10,cat,giraffe,0,0,1,0
