numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite
6,0.3,steyvers,1,50,0.7,0.0,stationary,15,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1341.59680083,,,,120.0,0:00:53.536433,:q`?GGI?B_?OOMGD___WOLCBo?sCGD_`wWSP?@@hkCCBBO?gs\@@BGGKGEDqpxI?CAagGOQN_cwGGlABAPOkWPHookkcR_`pOkgULO`OkpDDbQc?AHEca`cvGGdG?[oXNO__SUZNpQ`uGEDCQPSs\baaKKGENo_okm[NPpXkz@A`p_smbROOOkx@@DCAYAAIp@Q@HACA`Y\PBAa@h?q]Rurq\QiVQaaPXDIFBhw}cTJN,126,47,73,979,-1224.84771629
6,0.3,steyvers,1,50,0.7,0.0,stationary,16,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1416.32606571,,,,101.0,0:00:56.266873,:q`??KCD?@o?GGFCAo__YECBo?sCGD_`O{SP?@@hk?AA@`g?SYM`bGGKGEDqpxI?CAagGOQN_cwGGlABAPOkWPHookkcR_`pPOkYdEGgkYS_?PGsaSKex@Ch?BeBHyGDDcWhOz?A@`PCiULFRsKhBA@b{GKJJfBs[u\OoOg[WVPhgPqASOHgOcjCDHGO_SJRiGg_YOKfc{ku]RiTQySSQJGhOy]QIdf,130,43,58,994,-1313.8287592
6,0.3,steyvers,1,50,0.7,0.0,stationary,17,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1508.25211354,,,,87.0,0:01:03.033908,:q`??KCD?@o?GGFBA@W?GGE``GsCGD_`O{SOJ`@g?u?@@?os?ILFOo_qABA@`[OUNHP?giACCbwHKj??_as?CECa`WqEDdca[CMIIEhPa?DEdG?CQLIER[_aS_@r@c|CAaqKSg\a@aHOiYMqbkKGENo_okm[NPpXkz@A`p`\Ee`FI`x?e`AQkOScaa@Y]IGEcRHxNDDerqdTIIHDcSg]QIdf,134,39,48,1004,-1409.47681081
6,0.3,steyvers,1,50,0.7,0.0,stationary,18,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1604.7033117,,,,81.0,0:00:57.017424,:q`??KCD?@o?GGFBA@W?GGE``WOYACAoO{SOJ`@g?WZ??__WY?DEbgWOOK__o_WVCDbqS?GDCAgGOQN_cqk?AAJO_ocSJEOOWUUQHoOwiSWa`phQ?@EdBHmOPIO?x_q]a@PX}ISMp?ocSPIebhyG\``?p}CEDdAxo|FDerkCIFEDsYYC[iFcCGQTaAccSOJRpP?sq]RpPXk{hTQaaPXDIFcahX,138,35,46,1006,-1517.46985827
6,0.3,steyvers,1,50,0.7,0.0,stationary,19,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1690.22574153,,,,84.0,0:01:27.386542,:q`??KCD?@o?GGFCAo?OOIE``?kGL@A@WG]EDDo_s?KL_?OWY?DEbgWOX@@`?omACDcg?OII_`@G{b@HdW?CCU`@`GgUK_`?kcUQHoOwggYdEGg[YS__`hCgXLqAHQ?FKERsOIJNpQ`uGEDDRPs|FDOo_W~ABAqxo{`_EriEADBap`\FAMOa`\@ACdW_hHDCAs{SOLKfc{ku]RiTSggcUPQ`s{cTJN,138,35,49,1003,-1599.68942183
6,0.3,steyvers,1,50,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1791.37413922,,,,72.0,0:00:50.939358,:q`??KCD?@o?GGFCAo?GGGE``?kGL@A@WG]?BAawgY?L_?OOKL?EbgWOX@@`?omACDcg?OII____eANHo?GGl?@@`GgUKa@XXGf@BahPaIFEdG?CCLIER[OOPIO?_[mWKfg_SVDIFW_WSYMqbkKGENo_okm[OprXtB@A`rAMC[iFcAYjCDHGg_Ufaa@hc{fderq`QidDCaqISNHDQr,139,34,38,1014,-1711.35893628
6,0.3,steyvers,1,50,0.7,0.0,stationary,21,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1893.25245898,,,,81.0,0:01:04.690565,:q`??KCD?@o?GGFCAo?GGGE``?kGL@A@WG]?BAawOY?BBApk?AA@`g?SYM``@cCECBAw_k]Q_@?giACCap{C]R_?OPY?ABAPOkXBA@XGkcRbaa`[tIKPOwsh??__gsaSKew__aS_@?x[oXNP?gmISKfW_WgTLFXPuECBFwOWUVMFcK[u\OoOg[ob`ArcGg]OO`HUGIQPP?lNDCBRHxN@HErqdTIIHDcSg]QIdf,143,30,51,1001,-1794.41068454
6,0.3,steyvers,1,50,0.7,0.0,stationary,22,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-1973.21099703,,,,74.0,0:00:46.935316,:q`??KCD?@o?GGFCAo?GGGE``?kGL@A@WGSN?@`P[GL?@``Wu?@@`g?s\BAOOWOKJaApxI?CAagGOQJFoPxMAAEDgOWQIDbG_UQJHCwG[SSJQbCSMLIO?GGILGDBHmGGGdG?OMVKERsOIJadBHuGEIDRPug\``?p}CEDdraEMZMgWGSMWPobdO{_RO`HUGIQPP?kcfaa@hc{fdcbXxOhTQaaPXDIFdQr,144,29,45,1007,-1883.81159581
6,0.3,steyvers,1,50,0.7,0.0,stationary,23,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-2064.38788562,,,,76.0,0:01:00.332401,:q`??KCD?@o?GGFBA@W?CCCBOo_UCE_`?kCIF_?ogmCE_?pWu?@@?os?ILFOOWOX@@`?omACDcg?OII_`@Gk]P_cQ[CCKJO?OWQIDbGWOJCDbaPMAFDDA{KSWa`phQ?@@@PhOqZaAAHQ?FDDrHyGDDpQ`czCBAa`gzSMoo_W~ABAqxpBFLfSKCIFKGwPqCSNGGPUGIQPP?kcfaa@hc{fdcbXxOhTQaaPXDIFdQr,146,27,49,1003,-1978.95013104
6,0.3,steyvers,1,50,0.7,0.0,stationary,24,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,173,17,17,:q_O?K?AA_?OOM?@@?ocGECAo?GOLBA@WOYACA`wGOJBAo?OSL?BBW?CF?EbgWOP@@`?omACDcg?OII_`@KCGR__asGKIDbGOKIE_`APMADBaacOSWa`qcCCDEdG__b?AEBHyGDDpQ`uGEDFY`uEC`@`XqIILoOg[ob`FGPO{_`AQkOSSQOp?lNDCBRI]IVNITSggcUPQ`xX,-2155.0464154,,,,69.0,0:01:14.606784,:q_O?KCD?@o?GGFCAo?GGGE``?kGL@A@WGSNBAawOY?BBBW?CEE_BPsKH@@`?omACDcg?OII_`@Gk^@FcwGGMKJO?OWQIDbGGOJCBAqPMADBaa`YEIKPOwsh??__gs_SLp@@Ch?BabHyGDDpQ`uGEIFY`uECBFwOWUVMGWxky`_`Ox`FAMOa``@AIp@QQIGDhwg_YXNHxXGu]SITSggcUPQ`xSk,145,28,41,1011,-2075.13208382
