idx,cf,ef,numitems,persev,clustersize,clusterswitch
95,0.02,0.23,14.74,0.2,2.2162039072,6.3
96,0.02,0.24,14.36,0.18,2.21672727273,5.94
97,0.02,0.25,14.02,0.2,2.23758369408,5.98
98,0.02,0.26,14.04,0.2,2.32470629371,5.68
99,0.02,0.27,13.78,0.26,2.13887301587,5.86
100,0.02,0.28,13.84,0.2,2.12634410034,6.04
101,0.02,0.29,13.66,0.22,2.53193650794,5.32
102,0.02,0.3,13.64,0.12,2.25370634921,5.44
103,0.02,0.31,13.06,0.06,2.21571572872,5.34
104,0.02,0.32,12.9,0.14,2.40449350649,4.98
105,0.02,0.33,13.52,0.1,2.20928571429,5.5
106,0.02,0.34,12.86,0.18,2.14416161616,5.66
107,0.02,0.35,12.58,0.24,2.15254473304,5.42
108,0.03,0.0,17.0,0.4,2.3661031746,6.66
109,0.03,0.01,16.9,0.4,2.18542801643,7.12
110,0.03,0.02,16.82,0.3,2.16332251082,7.1
111,0.03,0.03,16.64,0.14,2.47274980575,6.3
112,0.03,0.04,16.6,0.36,2.52714718615,6.28
113,0.03,0.05,16.44,0.26,2.29413847264,6.8
114,0.03,0.06,16.5,0.38,2.14098051948,7.28
115,0.03,0.07,16.3,0.3,2.15364590965,7.0
116,0.03,0.08,16.12,0.28,2.27785642136,6.68
117,0.03,0.09,16.18,0.34,2.0883046398,7.16
118,0.03,0.1,16.12,0.3,2.22558441558,6.86
119,0.03,0.11,15.82,0.26,2.48145165945,6.06
120,0.03,0.12,15.72,0.3,2.35235281385,6.24
121,0.03,0.13,15.48,0.32,2.2980036075,6.28
122,0.03,0.14,15.42,0.32,2.08212987013,6.76
123,0.03,0.15,15.36,0.28,2.36626623377,6.1
124,0.03,0.16,15.5,0.26,2.21569191919,6.6
125,0.03,0.17,15.24,0.36,2.25096753247,6.2
126,0.03,0.18,15.08,0.18,2.10868253968,6.56
127,0.03,0.19,14.94,0.38,2.31604545455,6.0
128,0.03,0.2,14.68,0.28,2.25340620491,5.94
129,0.03,0.21,14.5,0.36,2.36255555556,5.94
130,0.03,0.22,14.54,0.38,2.33516466866,5.88
131,0.03,0.23,14.26,0.36,2.4590952381,5.38
132,0.03,0.24,14.26,0.2,2.10311688312,6.36
