numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,171,121,121,:q_O?K?AA_?OOM?@@?ocCD@@OOOOJ??_w?CED_?OWi?@@`GGi?@B@wOcV@@`?gaADCo?__bAB@wGgZA@`ACSONIopWs[SedA{?ABCOOxMCBA@PL?lDFfI`[p?HDWGSOQaAAIAINabwWcWTLuBsSSJIQBc?UL_aQHHBACBa@i?KIEdK?AcTsBY@Cb_?Ou@RSJeD[SQIGgDf,-604.941464665,,,,145.0,0:00:22.263840,:q`?WSGF?APoSCCCBoG?MMI_?OW_V@Aaw?CCE`@OwcV@@`?k?AECAPO}GHGo_WWNT@`HXUEGDbacgYSJo?GGdCBBa[?CCA``PA_TcCRcwnAHDRXuADCBASKPDBbqxuWNJGgWOQKLrbskaSfcw?kYNJhXHCcZPPOww_TKecKSWQLFsaeGOJGcamQOLGCQM?@BWDKsm]TIwWcSVU^,99,72,73,981,-485.267548083
6,0.3,steyvers,4,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,178,122,123,:q_O?K?AA_?OOM?@@?oc?AD_?OOQAA@`gGKL@CAW?KIEBo_{SKGCp`?uADBBX?eKHEcG?CEGbAAK?EDBaw?CP?A`p[KMKcA`pGjADbAp]OHGCXGw]PdBakwvBJeXOwi[___X?fINo?WkhBIGgg[kXcBR@u[^`?oxYAACCA[___SQ@iTOh_?QhaABIDW?CEGbdbK?ATTo?OKMK`Aqpf,-609.68183865,,,,141.0,0:00:24.911427,:q`?WKSCBAPG?CCCbOo_aBCA`g?IJECBWos\GbAPhAACCAgo_SJGCWW[VBCBPpIMJcap`EQIFCQPUCFEQQKcYMGop?gYMloqp[rKFDRPq?@@cxP_~BECAxiAEIGipeOLKFXGk~@@`?xOkd`AA@TJOPiH?gYNOHTAeATKFsSCQIIO?GOKRKPpXW|?To?gokWKo`Xx\,101,77,64,983,-482.64526708
6,0.3,steyvers,4,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-710.30977293,,,,154.0,0:00:36.563942,:q`?W?CD?@?wGKHA@`WGOJFcO?WWN?@A@SCN??_gwqEIFO?gs^BBOOggYMeBWGk^?@AXx?h?FCa[WSLb@pxaACEBQh]?@AbaXi?ABbw?YMGDBa{OOQ`@@OstDFBqXky_`Bap[y^abQXWq\dArhyUMLHGXD@ACAq@Gib_`pXWw\Op`p?mb`BQHSsZ_?pHK{cbaPhLHDFCApdTBBdrQIG[dbhx[r,107,77,77,964,-577.101181207
6,0.3,steyvers,4,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,163,118,118,:q_O?K?AA_?OOM?@@?ocCCBAO?GQEDB@wgWP@A`wWSLDCp`C?ACDP`CSQJEOo_SL?AOOwi?BAOOWUKFEbwgcXCa@aHGhMGdG?KGMGpasKIHEbw`KlCCcQ{?ABDPSC?EDHPQ{W]U_?P@MEXkoo`eABAdWWh@BBA@HWrBCAp`DBAACa`mAFCCwhHDPIIGOOMMG~,-707.694860854,,,,133.0,0:00:23.168275,:q_OWCIEC`@GKGJDB@wGKJKCp?sCGFDQ@sSUK``?gYV@CAg?M?BAa@cSKFEbx?cWM`@?{WcSfCQcCEMHEGGWlBA@Pg}CJJQP`Cm\__p@a?[OO@@Gr?HoOgW][_?P?weZ_aBkk]e_?o`czTKOowg]XOGWWOKGCdbIXTBCAp`DAi_?_`GoaSjH?wk__?aS?gXSJWOOMPL~,99,64,69,993,-584.733593471
6,0.3,steyvers,4,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,181,119,119,:q_O?K?AA_?OOM?@@?ocGED_`?kKGDBo?WQEFCOog_T??aW?CED_@?g_VDCbgGGEM_?p{GEDGO?GQABGCgwgVBBagOSKL_?_X]?CCdBCSYV__qCCECCCwxGtSKp?gseZ`AQXcxAAarScX@A@Ox]ELKOOhHBDBDwGKILLOPpm?HEESDGgd`B@gweWa@q`mEHFoOWSYP_BBaU?DGeTKK[OL~,-706.884595782,,,,154.0,0:00:37.380530,:q_O?KCD?@o_WQDCAo_[?GDCPwGa?@Co?gmGDBA@[SR?cbGOKIO__pxE?@@`q@IGFDAwg_SJ_?_sGECCcA{?GS_@Pk?ACGP@@?eZbbqPiKIFdBHuGHEcr[GKIGCrHqCIDcAxiQW_aax}KLJEBHuc\OgwgWeV``Pgws[QO?w_[]Ngw?cSKFGDCC[QIFh_weVKFWG[OQIErq]GNSophqWNGebaTXNGdsYdXBGCRYdX,112,69,85,959,-576.872302408
6,0.3,steyvers,4,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,176,120,120,:q_O?K?AA_?OOM?@@?ocGF??__c?CD_?_WaAA@`WGKGE_`PSCX@AAw?GRCA`pK?EDEOO_ST?CAWg_SOGoo_k\GCbq[CGMIoOcCGJIpQ@Ch@FCAT?cYcBq[?ACGpQ`iGPNO?WomXNSRq@B?@CGh?a^_?PKocYNooomUMIdrqAQYLfCdGtDECac?CBBaWIDVKHFwWOON_cbP}?HGjN,-711.821512929,,,,144.0,0:00:20.890798,:q`??KI?@_?Oc?F??`GOKH?@@PCCGD_`?sCII_roCSMJEOoki?GCbh?cSKGopXEQN__o_wj?AAWWO\DDCWWw_QgDBS_]RJRB@uWOHdBSo|DEBaPSmXLFhxC{`_CBXozOGfwp_v@ECbTeUMJgHIPJPHFCYYGDCCa`iCIKgCKCgUJiwhcw^``@?{l@LEryqWPHdbQr,98,78,66,983,-569.484728277
6,0.3,steyvers,4,50,0.7,0.0,stationary,9,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-801.687678651,,,,159.0,0:00:41.002118,:q`?W?CD?@?wGGEC`?okCGDbqG?CEEBo?OiAF_?gwkXBAa`s?ILFoosCIIEbh_uAJ_?`KK]OIO@pGfEDBWo[YNIDbCCGJEBQh]?@AbaXi?ABbw?Y?FCA`WyACCBQSGSLLPP_w]RLfSCG[UJfR{SYRKfXOky]deccKYPHEcCGOJGCaiMAFCAPWok\Op`p?ub`APhCsZ_?pHK{cbaPhLEcQra@Wqi``?x[s[aCBaEOJFRqxdYo,114,70,89,952,-671.109497997
6,0.3,steyvers,4,50,0.7,0.0,stationary,9,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,170,118,118,:q_O?K?AA_?OOM?@@?oc?AAAO?OM?ABO`CCCCbA@K?KJ_`?o]OH___W]?AA`p{CT@@@GOyADCCw?GGDBo?GKIEHP`G}ABDCQsGEOJo?OS^IKP`C?EFIo?WWp@@A@kCMGNOOoscUOO`pQEOIOqHa?@@@RsGhAADcK[]YaCBQYK`RpcIi?FIo?O}WONJG?CkVMO`?k\AFDN,-787.015712984,,,,137.0,0:00:44.229618,:q_OGGID?@o?GQ?A@o?o]D@bQ@[KGEDQWGGEFCo_g[XIdBW__\@Acw{?EDEcQSS^@@aa@YEOHDAp[pAA@PxYSWbAg?[j?@dRC_QLFCakCMKGfW_WYQNGGOwg```Q@P@@@cAHSp?@@Q`_{^hdAhXJAADgws]YQpp?ogYbGCIPKf_```XT?@`?xSy]_?__SQJFcwogW]_?OWgmZOo`?cUMRIwO[[QIDSV,111,59,78,977,-660.638113838
6,0.3,steyvers,4,50,0.7,0.0,stationary,9,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,181,119,119,:q_O?K?AA_?OOM?@@?ocGECAo_gYABA@WGKGDCOOOSLAAa@S?AA@`WG[QIEO__aADDAwGKKHDO?OOMIFOOWOZ?@@OoyIIFoOxICDDDG?CCDHqPSOIJFO__SMR_CqxiECKOac?EDDFWOOTDKpqXmSPKFgOSSU`Dgg_QQdCRCCEWQpBCSyaabB`xN@BaPO{lWRo?OPD?A@PPEMRaACimQKE~,-815.908389586,,,,149.0,0:00:25.700105,:q_O?K?AA_?_[?AC`@GsCJCAaGGSLAAAGGKV??`_wcTABa@[SX@@`@K?ECBa`cC^DBA@siMNHO_k?IGJP?wcSOdb@p]GDHdw@KmY``pHaCS``P?gcRJERkggUabrKWeZOTB@y?@Adg?GOUcCQS?SPPOo`SodaAb|Ww\PGtCSW]RppO{gUMFsIIxRIEbiHJ?ACQ`gw^OhgWk^GFcCkcSJEBQP\Io,109,72,77,967,-672.887352077
6,0.3,steyvers,4,50,0.7,0.0,stationary,9,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,193,120,120,:q_O?K?AA_?OOM?@@?oc?CCAo?WU?BA@OsCCDBOOO[P?@`?ga?BCAwGKGFDo?WaGECag?OUMba@sCECAawGGMIFoOWOJDDbQSCCEbBw?OQU_?oo_T?JEGoc]X`?pp?r?@`?gk`MIERkCGHDFHWs_S`?q@o~DDbQPSz@AfgP|BCAo?ggwc_?_WkzBDERc?q[OtBhxF@NgWWOOdaaphGjAJEBSTIk_?`Y]ALI~,-784.512885336,,,,131.0,0:00:34.207259,:q_O?K?BA@o_WQ?BAQ??KN@BP_{YEGDop[AKI_Bg?[P@A@PXAAA`ag?SSJEcASCCCBbA[YCGCbac?EI_DhG{mX`aAhe?CAap`AOMIERkCCHMR@h?h@@?o`?w^a`phGg\_bA`yCDNgWGQIEDApxpH?@a@X?ya`aaXdD?AcBHo}`QtBiMASNoo__eWPHWg[ULHDWOSSRJEBSSOMQo?OcUKUQqhXL,123,70,61,971,-657.175113325
6,0.3,steyvers,4,50,0.7,0.0,stationary,10,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-883.461375829,,,,139.0,0:00:36.438436,:q`?W?CD?@?wGGEC`?okCGDbp@C?ABB@w?GT??`?{?AAbbGWSSM_@Pg}EE_`POs\L_awOcVNGDG?wcRbA`kWMNJEGGOUKEdW?CIMLO?O[d?BO?wg\CCBaS?CIEeggo[RLfSCG[\NpQXczIDfhYQEPHEcCGOJGCaiMAABa@Gky`bBa@dFAEcRS?EHHfcc[QLPhHp?kXTP?x[u[PPA@pBGDbhxOmXUkN,116,68,71,970,-761.446469795
6,0.3,steyvers,4,50,0.7,0.0,stationary,10,stationary,gamma,0.9,0.909090909091,20,records/,100,windowgraph,100,100,20,avg,189,118,118,:q_O?K?AA_?OOM?@@?oc?ABAoOOOLA@`W?GEG_?O_SN??`@SKIE_?_WQ?@Aag?GZA@`P?eIEEPPS?SL_?oggWP_Apgw^?Ecw?CEEGoAXYEKGDGOSOH_AqcOSLFOP?gaYaBbcs[[NP@py[[Np@pxBDDDwGSKIJPP`CgX_`?oiCBAaGGSmeacQ`dJ@@?qhWpDDBBHmEEIO?gg_c`cBIe?]OGgOKOHVPCN,-861.699661268,,,,113.0,0:00:37.643348,:q`?G_GF@@`G?CED_`hG?CBCOOkAED_?OcACL`A@cSKJEOqK?SL`a`c?ULFBw?GYR_?OW[bRJDwWSOPIEGOe?KIP@S?ADCA`[O[[eba{O|MMFw`?y]NoPPCgV_a`x?aXPrA@CgX_`?oiIGPpSYYIKGdBHtJ??_ahWocdBBIeKSLO@P?cYLfwX@RFFFcAICBCAQyzB,120,69,44,992,-736.974245702
