subj,node1,node2,uinvite_hierarchical,rw,fe,goni,chan,kenett
S100,dragon,jaguar,0,0,0,0,0,1
S100,cow,shrimp,0,1,0,0,0,0
S100,snake,rattlesnake,0,1,0,0,0,0
S100,hare,sheep,0,1,0,0,0,0
S100,crow,buzzard,1,1,0,0,1,0
S100,seahorse,anchovy,0,0,0,0,0,1
S100,monkey,lion,0,1,0,0,0,0
S100,ostrich,seal,0,1,0,0,0,0
S100,bear,pika,1,1,0,0,1,0
S100,dinosaur,butterfly,1,1,0,0,0,0
S100,squid,gecko,1,1,0,0,0,0
S100,stallion,parakeet,0,0,0,0,0,1
S100,peacock,rooster,0,1,0,0,0,0
S100,fly,deer,0,1,0,0,0,0
S100,goose,skunk,0,1,0,0,0,0
S100,kingcobra,baldeagle,0,0,0,0,0,1
S100,zebra,gorilla,0,1,0,0,0,0
S100,emu,beaver,0,1,0,0,0,0
S100,koala,deer,0,1,0,0,0,0
S100,salmon,ox,0,0,0,0,0,1
S100,lizard,deer,0,1,0,0,0,0
S100,sheep,koala,0,1,0,0,0,0
S100,cow,oxen,0,0,0,1,0,0
S100,mule,meerkat,0,0,0,0,0,1
S100,antelope,adder,0,0,0,0,0,1
S100,carp,beaver,1,1,0,0,0,0
S100,rat,swallow,1,1,0,0,1,0
S100,dinosaur,dove,0,0,0,0,0,1
S100,tarantula,rattlesnake,1,1,0,0,0,0
S100,snake,penguin,0,1,0,0,0,0
S100,stork,cat,1,0,0,0,0,0
S100,moose,fox,0,1,0,0,0,0
S100,pony,horse,1,1,0,1,1,0
S100,kangaroo,flamingo,0,1,0,0,0,0
S100,wallaby,gecko,1,1,0,0,0,0
S100,crow,gazelle,0,1,0,0,0,0
S100,llama,tapir,0,1,0,0,0,0
S100,salmon,blowfish,0,0,0,0,0,1
S100,leopard,wolf,0,1,0,0,0,0
S100,goose,lemur,0,1,0,0,0,0
S100,monkey,tiger,0,1,0,0,1,0
S100,bat,lizard,0,1,0,0,0,0
S100,hawk,mussel,0,0,0,0,0,1
S100,dingo,octopus,0,1,0,0,0,0
S100,parrot,owl,0,1,0,0,0,0
S100,hawk,giraffe,0,1,0,0,0,0
S100,aardvark,quail,0,0,0,0,0,1
S100,monkey,bear,0,1,0,0,0,0
S100,nutria,capybara,1,1,0,0,1,0
S100,rat,bird,0,1,0,0,0,0
S100,anaconda,viper,1,1,0,1,1,0
S100,tarantula,pig,0,1,0,0,0,0
S100,daddylonglegs,lizard,1,1,0,0,1,0
S100,dragonfly,hog,0,0,0,0,0,1
S100,hippopotamus,fish,0,1,0,0,0,0
S100,tiger,leopard,0,1,0,1,0,0
S100,mule,deer,0,1,0,0,0,0
S100,hawk,finch,0,0,0,1,0,0
S100,monkey,hyena,0,1,0,0,0,0
S100,shark,axolotl,1,1,0,0,0,0
S100,ostrich,emu,1,1,0,1,1,0
S100,polarbear,rooster,0,0,0,0,0,1
S100,fawn,sealion,0,0,0,0,0,1
S100,chowchow,hummingbird,0,0,0,0,0,1
S100,wasp,cattle,0,0,0,0,0,1
S100,parrot,flamingo,0,1,0,0,0,0
S100,koala,firefly,0,0,0,0,0,1
S100,panda,seal,0,1,0,0,0,0
S100,rhinoceros,wolf,0,1,0,0,0,0
S100,goby,moth,0,0,0,0,0,1
S100,wildebeest,buffalo,1,1,0,0,0,0
S100,donkey,gorilla,0,1,0,0,0,0
S100,echidna,zebra,0,0,0,0,0,1
S100,crow,chicken,0,1,0,0,0,0
S100,iguana,bluejay,1,1,0,0,0,0
S100,boaconstrictor,snake,0,1,0,0,0,0
S100,lion,gerbil,0,1,0,0,0,0
S100,rooster,mosquito,0,1,0,0,0,0
S100,donkey,armadillo,1,0,0,0,0,0
S100,rooster,owl,1,1,0,0,0,0
S100,bobcat,wolf,1,1,0,0,0,0
S100,hippopotamus,tapir,0,1,0,0,0,0
S100,axolotl,penguin,1,1,0,0,0,0
S100,dog,bat,0,1,0,0,0,0
S100,deer,buffalo,1,1,0,1,0,0
S100,polarbear,pufferfish,1,1,0,0,0,0
S100,dolphin,worm,0,1,0,0,0,0
S100,crow,hawk,1,1,0,1,0,0
S100,wallaby,gorilla,0,0,0,0,0,1
S100,macaw,chicken,1,1,0,0,0,0
S100,iguana,salamander,1,1,0,1,1,0
S100,redfox,fox,1,1,0,0,1,0
S100,nutria,wolf,1,1,0,0,0,0
S100,cat,rooster,0,1,0,0,0,0
S100,scorpion,stingray,0,0,0,0,0,1
S100,sandshark,stingray,1,1,0,0,1,0
S100,panda,chimpanzee,0,1,0,0,0,0
S100,whaleshark,conure,0,0,0,0,0,1
S100,dog,fish,0,1,0,0,0,0
S100,salmon,crab,1,1,0,0,0,0
S100,robin,ox,0,0,0,0,0,1
S100,bonobo,gecko,1,1,0,0,0,0
S100,gazelle,tapir,0,0,0,0,0,1
S100,narwhal,bluewhale,1,1,0,1,0,0
S100,steer,pig,1,1,0,0,0,0
S100,beetle,mole,1,1,0,0,0,0
S100,gull,shrimp,0,0,0,0,0,1
S100,quahog,bulldog,0,0,0,0,0,1
S100,crocodile,hippopotamus,0,1,0,1,0,0
S100,vulture,robin,0,0,0,0,0,1
S100,spider,mantaray,1,1,0,1,0,0
S100,cockatoo,groundhog,1,1,0,0,1,0
S100,blackbear,lion,1,1,0,0,0,0
S100,ostrich,frog,0,1,0,0,0,0
S100,chicken,moose,0,1,0,0,0,0
S100,ferret,honeybadger,0,0,0,0,0,1
S100,walrus,penguin,0,1,0,1,0,0
S100,fish,rabbit,0,1,0,0,0,0
S100,pigeon,eagle,0,1,0,0,0,0
S100,panther,vulture,1,1,0,0,0,0
S100,elephant,budgie,0,0,0,0,0,1
S100,mouse,snail,0,1,0,0,0,0
S100,zebra,penguin,0,1,1,0,0,0
S100,giraffe,yak,0,1,0,0,0,0
S100,capuchin,ferret,0,0,0,0,0,1
S100,human,panther,1,1,0,0,0,0
S100,jellyfish,narwhal,0,0,0,0,0,1
S100,seahorse,whale,0,1,0,0,0,0
S100,mantaray,clownfish,1,1,0,0,0,0
S100,pigeon,pig,0,1,0,0,0,0
S100,chicken,groundhog,0,0,0,0,0,1
S100,ostrich,baldeagle,1,1,0,0,1,0
S100,flamingo,ladybug,0,0,0,0,0,1
S100,bear,panther,0,1,0,0,0,0
S100,mouse,worm,0,1,0,0,0,0
S100,beardeddragon,elk,0,0,0,0,0,1
S100,macaw,toucan,1,1,0,0,0,0
S100,chameleon,alligator,0,1,0,0,0,0
S100,carp,mouse,0,0,0,0,0,1
S100,dolphin,squid,0,1,0,1,0,0
S100,dog,elk,0,1,0,0,0,0
S100,stingray,hammerheadshark,0,0,0,0,0,1
