subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5,rating,goniweight
S100,turkey,mouse,0,1,0,0,0,0,1,0,25.25,40.00736169117268
S100,komododragon,flamingo,0,0,0,0,0,1,0,0,21.25,40.00187271091235
S100,ostrich,polarbear,0,1,0,0,0,0,1,0,31.0,40.00476870683251
S100,bluebird,lobster,0,0,0,0,0,1,0,0,17.25,40.000322881191784
S100,goldfish,hamster,0,1,0,1,0,0,1,0,34.5,40.000993480590106
S100,koala,kangaroo,1,1,0,1,1,0,1,1,53.75,40.0084545198218
S100,hippopotamus,fish,0,1,0,0,0,0,1,0,20.75,40.0107295903731
S100,waterbear,walrus,0,0,0,0,0,1,0,0,60.0,30.000139087282615
S100,tortoise,seal,0,1,0,0,0,0,1,0,45.75,40.00125178554353
S100,shark,canary,0,1,0,0,0,0,1,0,14.5,40.00205153741857
S100,tarantula,rattlesnake,1,1,0,0,0,0,1,1,30.25,40.000327848594735
S100,fly,swan,0,0,0,1,0,0,0,0,35.75,40.00104315461961
S100,elephant,canary,0,1,0,0,0,0,1,0,19.75,40.00267743019034
S100,canary,toucan,0,1,0,1,0,0,1,1,72.0,30.000208630923922
S100,bobcat,jaguar,0,1,0,0,0,0,1,1,82.75,40.00102825241076
S100,kinkajou,chicken,0,0,0,0,0,1,0,0,71,10.000983545784205
S100,dog,rooster,0,1,0,0,0,0,1,0,26.5,40.0132132918484
S100,capybara,camel,0,1,0,0,0,0,1,0,42.6666666667,30.000536479518657
S100,cheetah,snake,0,1,0,0,0,0,0,0,21.75,40.0208084509598
S100,butterfly,kangaroo,0,1,0,0,0,0,1,0,18.5,40.00297050696442
S100,arcticfox,fox,1,1,0,0,1,0,1,1,86.5,40.000307978982933
S100,wolverine,fox,0,1,0,0,0,0,1,0,51.75,40.00400372677813
S100,antelope,gorilla,0,1,0,1,0,0,1,0,43.0,40.00397392236042
S100,kitten,crow,0,1,0,0,1,0,1,0,25.75,40.000834523695689
S100,sparrow,sugarglider,0,0,0,0,0,0,0,0,78.5,28.94132531095e-05
S100,sparrow,chinchilla,1,1,0,0,0,0,1,1,31.75,40.000715306024876
S100,pelican,crab,0,1,0,0,0,0,1,0,22.0,40.000327848594735
S100,pigeon,cat,0,0,0,0,0,1,0,0,30.25,40.0153790795348
S100,lamb,pig,0,1,0,1,0,0,1,0,53.75,40.00572244819901
