jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,toynetwork,cost_inviteirt,time_inviteirt,bestgraph_inviteirt,hit_inviteirt,miss_inviteirt,fa_inviteirt,cr_inviteirt,bestval_inviteirt,cost_invite,time_invite,bestgraph_invite,bestgraph_invite,miss_invite,fa_invite,cr_invite,bestval_invite
0.9,0.909090909,15,4,0.3,30,32,3,0.7,32,15!20rscyww8iny37ejgz1mz7e536sdywpsyz89cv9vug3q,21,00:12.7,15!2l8l8rr8fxzvga0fr9tvlgtrrjfxac3zh61va14s2e,14,16,5,70,-26.59607109,21,TRUE,15!2l8l8rr8fxzvga0fr9tvlgtrrjfxac3zh61va14s2e,15!2l8l8rr8fxzvga0fr9tvlgtrrjfxac3zh61va14s2e,16,5,70,-23.83804777
0.9,0.909090909,15,4,0.3,30,35,3,0.7,35,15!1mcj3exfix69sr30a9i1l00pi7wfkwap1n13btsx9blu,11,00:12.0,15!srzscr1zj2vqf1b1jib2pnh0zj7osfad751gculfm,21,9,2,73,-27.81357073,11,TRUE,15!srzscr1zj2vqf1b1jib2pnh0zj7osfad751gculfm,15!srzscr1zj2vqf1b1jib2pnh0zj7osfad751gculfm,9,2,73,-26.28117624
0.9,0.909090909,15,4,0.3,30,40,3,0.7,40,15!2h4w6i80pnscx79nfyecou4ts2r54ov3spg321bujzeu,15,00:13.8,15!93f6cb1jhl2ovuq9a7ybdblpsv4u0zo9o6yg126snie,18,12,3,72,-32.88187915,17,TRUE,15!95gug9pjy9klekbusu74jtvsr8l7741chzagedubv2e,15!95gug9pjy9klekbusu74jtvsr8l7741chzagedubv2e,12,5,70,-30.18740456
0.9,0.909090909,15,4,0.3,30,41,3,0.7,41,15!2fbvpz6ej19277w1e5wz7m3qb66qgn96qj2s1w5e5yk6,20,00:11.8,15!1j9qayzzzqr05dty8xrp6m9r3it2eh25lzccndabys,17,13,7,68,-31.89176257,20,TRUE,15!1j9qayzzzqr05dty8xrp6m9r3it2eh25lzccndabys,15!1j9qayzzzqr05dty8xrp6m9r3it2eh25lzccndabys,13,7,68,-31.23817663
0.9,0.909090909,15,4,0.3,30,42,3,0.7,42,15!2ks3o12536takku0ehq5scppwl21rjp4uym1yuws3wnc,16,00:16.1,15!5grimfngf0bivfv90v76xhjdd71gtvpmkndaeg99wjk,18,12,4,71,-27.99410466,17,TRUE,15!1tsnkst3moh7f79ffcouwnwl3mrcwhl5qp87zpmu9kw,15!1tsnkst3moh7f79ffcouwnwl3mrcwhl5qp87zpmu9kw,13,4,71,-26.14702649
0.9,0.909090909,15,4,0.3,30,43,3,0.7,43,15!17shymokwjutdi2u43op1hbb1wu8m3wkwrh5q6o6b11e,13,00:13.4,15!17o5cazlx2xcyyfikb8v0gkvutkburkqo5ic4d3qqqs0,19,11,2,73,-30.52507227,15,TRUE,15!17o5cazlx2xcyqyds2kkzsre2n8ww32jg8bdjt1emn0w,15!17o5cazlx2xcyqyds2kkzsre2n8ww32jg8bdjt1emn0w,13,2,73,-27.14181871
0.9,0.909090909,15,4,0.3,30,44,3,0.7,44,15!34sp1xp5ngqt7j2vnpc9pwed6o1e5hk5dwud5zssomcm,22,00:14.0,15!1bb5hyn7ez3gqpsi2fetj9bykntyz7e0priw2qsnnuh6,14,16,6,69,-27.92276661,22,TRUE,15!1bb5hyn7ez3gqpsi2fetj9bykntyz7e0priw2qsnnuh6,15!1bb5hyn7ez3gqpsi2fetj9bykntyz7e0priw2qsnnuh6,16,6,69,-25.14169981
0.9,0.909090909,15,4,0.3,30,46,3,0.7,46,15!1o1nl1far4i0gpmgm10gvkr7ewurut1pglezyjdcwebq,17,00:11.6,15!v80amaehzhgw0heciqd8ubjuz38dtjc11zfylkgwxac,19,11,6,69,-30.91176693,16,TRUE,15!249e92qnfrpwikh9x3jxxk9b9igws2q7r2ijrjpxf9g,15!249e92qnfrpwikh9x3jxxk9b9igws2q7r2ijrjpxf9g,11,5,70,-29.95213418
0.9,0.909090909,15,4,0.3,30,47,3,0.7,47,15!2h4wgjjdao7pcua0j9kxo3jetlkeadgi25n8bnsxrqme,16,00:11.9,15!uxa227a9xo9mcmzxlmb34wwso9irbyi4237j7ibokcs,18,12,4,71,-32.82197615,17,TRUE,15!uxa23nqcm6e9w82qsw04icxnq9urhntoo3rrsvmfd3g,15!uxa23nqcm6e9w82qsw04icxnq9urhntoo3rrsvmfd3g,11,6,69,-29.79285059
0.9,0.909090909,15,4,0.3,30,48,3,0.7,48,15!1pxf52vw1zh3srt8fzwmlr9v49b0y1bxbpkij6yrzq4g,16,00:14.1,15!24epxdscn82rgkoc03ujggbapvz1zrducfqaeubguo74,17,13,3,72,-27.89511438,16,TRUE,15!24epxdscn82rgkoc00urkf48i1yfjb6zvnk9iwx2tdz6,15!24epxdscn82rgkoc00urkf48i1yfjb6zvnk9iwx2tdz6,13,3,72,-25.70352441
0.9,0.909090909,15,4,0.3,30,49,3,0.7,49,15!19hvjvtf9paubdjqsjwb23fmvhm1fa18a0zu4vwudfya,25,00:12.8,15!t6kc7w0wbv7vc6yzuwhs4iqdwr3dl7qlga9z8kqywi0,13,17,8,67,-30.37898835,27,TRUE,15!t6kc7w0wbv7vc6yzuwhwdz11txu52k0xte0coo71ds8,15!t6kc7w0wbv7vc6yzuwhwdz11txu52k0xte0coo71ds8,18,9,66,-28.889476
0.9,0.909090909,15,4,0.3,30,50,3,0.7,50,15!2fc5ify98ee679qz920og5fu17pf9878e7cfgcocxzxi,22,00:14.2,15!t4jue203oswqjr0ow6h6svp1rmekricqdhng7tsy2bm,17,13,9,66,-31.96012376,23,TRUE,15!t4jp77qjw7tv0whumhe396r8kcsd3v5bir43ccpqgqq,15!t4jp77qjw7tv0whumhe396r8kcsd3v5bir43ccpqgqq,14,9,66,-30.58805002
0.9,0.909090909,15,4,0.3,30,51,3,0.7,51,15!fhed95bk66w18g0jo2qfyodwshu82igqpq62xbrpona,19,00:12.5,15!3nr2dy72mga0rne9ea0m9zan1f8lzesrklivmc96r5w,18,12,7,68,-32.75292178,23,TRUE,15!3nqho1kxzy2ifynxnurp86rq7o3b2i352w1g3nipc78,15!3nqho1kxzy2ifynxnurp86rq7o3b2i352w1g3nipc78,15,8,67,-29.26049579
0.9,0.909090909,15,4,0.3,30,52,3,0.7,52,15!2fbn3c2c4ynwtmxlo2ndtqqb51u1yi0w637hv4ppvsw4,21,00:13.1,15!1m7wrizvujm2exps6vkz4x40yrkb260lhcw5xz9utxck,14,16,5,70,-28.0979849,22,FALSE,15!1m7wrizvujm2exps6vkzdg0malxsl4p66350obn7c0es,15!1m7wrizvujm2exps6vkz0nnqaudkaoob4xbqvr8yohec,16,6,69,-25.07137394
0.9,0.909090909,15,4,0.3,30,55,3,0.7,55,15!t62xlssnlsncrggfy2a6loxgy5yyfx5zz0b5rwr7nyu,20,00:12.1,15!2tbb595hlq6etnqi49pdro6g0lzp0515q55hwm2fbo,18,12,8,67,-33.36076136,22,TRUE,15!2tbb595hlq6etnqi49pdro6g0lzp0332vl3671ph5g,15!2tbb595hlq6etnqi49pdro6g0lzp0332vl3671ph5g,14,8,67,-31.1326159
0.9,0.909090909,15,4,0.3,30,56,3,0.7,56,15!2fbehwqey6o7okqd62wqjszytsp9hjlspt6gqs1uw18m,18,00:12.6,15!2frrugr0yvg23h5wqgtr2tir2429s6bsl18it90wctfo,18,12,6,69,-33.53366639,19,TRUE,15!2frrugr0yvg23h5wqgtr2tir2429pfw1exbfnm801538,15!2frrugr0yvg23h5wqgtr2tir2429pfw1exbfnm801538,13,6,69,-28.39498849
0.9,0.909090909,15,4,0.3,30,57,3,0.7,57,15!tke2sc2i398ukgkl3s5gi0zqhhwlf8e0sehbpvpjok6,22,00:12.4,15!t4ah5rtg136uzv4n1ccc865an04avkx8a8tu4iap89a,16,14,8,67,-31.09182732,23,TRUE,15!t4ah5rtg136uzv4n1ccc865an04avkx8a8tu40jf7re,15!t4ah5rtg136uzv4n1ccc865an04avkx8a8tu40jf7re,15,8,67,-29.89702529
0.9,0.909090909,15,4,0.3,30,58,3,0.7,58,15!1mchew4dxej0llhj8zkmmbc9dab3xrxqjbkxiw44mw3m,19,00:12.8,15!7apcnuzcu579v5pbcgyg3gmj9wpep5p9uok5opdbugw,17,13,6,69,-32.03126095,20,TRUE,15!7apcqrvi75gkybuxo0kmt5m1jwqykde4boeixpmw934,15!7apcqrvi75gkybuxo0kmt5m1jwqykde4boeixpmw934,13,7,68,-30.436122
0.9,0.909090909,15,4,0.3,30,60,3,0.7,60,15!2mq7pvdjw02knwff33cpu0vyzrze0n09tgczsfp74y2q,25,00:13.9,15!u5d734h9o5oq57guy41ob2at5olv5kayds8zglhu0ow,15,15,10,65,-33.10445964,25,TRUE,15!u5d734h9o5oq57guy41ob2at5olv5kayds8zglhu0ow,15!u5d734h9o5oq57guy41ob2at5olv5kayds8zglhu0ow,15,10,65,-32.38769937
0.9,0.909090909,15,4,0.3,30,61,3,0.7,61,15!1mcit1z4897pzp6dc0o7zsgtyhbnhco12o78xsm1wirq,22,00:12.0,15!1pvec8ex53ddjjqwdyggrkdu2pwzsekbd4png31e3ocw,15,15,7,68,-33.17688582,22,FALSE,15!1pvebwrcjnccb729woa00pghthrsbysxxmj71sab6x3k,15!1pvec8ex53ddjjqwdyggrkdu2pwzsekbd4png31e3ocw,16,6,69,-30.46569026
0.9,0.909090909,15,4,0.3,30,64,3,0.7,64,15!1mv7bxt2jv481um35ribwzxks6v9uof5do5327gbnxhg,12,00:25.4,15!1mq207ms7ba7obgku10hupc7vb99ap79tftidvuq5zd0,19,11,1,74,-27.81668845,14,FALSE,15!1m9onbxgbwjeprk0o8rv67zk1lnme33g8ilgpvwgv9z8,15!1mq207ms7ba7oazrcx9rp84lhu542twd701gp9y0vhvo,14,0,75,-25.36707213
0.9,0.909090909,15,4,0.3,30,67,3,0.7,67,15!uiydgbd10g680ih5azp2j95fabeyroio1tbbnq7btb6,13,00:12.1,15!uix7ul2h4qsquzilhb4smpm6sr50m9dg85oijcqp6o2,18,12,1,74,-26.96052254,14,FALSE,15!1f6bhdeml11rd2livobhpybn36djksrmx8r3pbzpon6,15!1f6bhdeml11rd2livobhpybn36djksrmxa4zq7a4xdu,13,1,74,-25.02615391
0.9,0.909090909,15,4,0.3,30,68,3,0.7,68,15!1mg3h7azk4h4ggthwhqfj57ncrkewxytf2t7czissv0m,11,00:12.3,15!1n4nii4rbwc9kgb9h9oms3k0sfzg4s2vbri2el4d1uyu,21,9,2,73,-26.68900595,14,TRUE,15!1n4nii4rbwc9kgb9by31txsx5kwbbupopv6p4mfqwd1g,15!1n4nii4rbwc9kgb9by31txsx5kwbbupopv6p4mfqwd1g,12,2,73,-22.85844623
0.9,0.909090909,15,4,0.3,30,70,3,0.7,70,15!2fdxgmjo4ohnqcsjvg1nshfg4kpodl7mdy0fmuraf2me,15,00:12.1,15!2flmvgy2b0c3yu4rpb9wmaxyukccq22ua55dj88t4umc,20,10,5,70,-31.69519776,18,TRUE,15!te0gzmxmmbmdbzhgmhursmh080d51c0t6dq0pc0p0xw,15!te0gzmxmmbmdbzhgmhursmh080d51c0t6dq0pc0p0xw,13,5,70,-29.48960823
0.9,0.909090909,15,4,0.3,30,72,3,0.7,72,15!tmps746870avsavm01dzzqip4ubsx85eab5qxv1ev12,16,00:13.0,15!u54t6e4w03jip9f0kpg6ea9chq4ptqa6alpu1u6papy,18,12,4,71,-27.62616766,16,TRUE,15!t8e3ezh56lxlmdydtr8ge6krgpohr7o29jrlt8746fa,15!t8e3ezh56lxlmdydtr8ge6krgpohr7o29jrlt8746fa,13,3,72,-25.11748056
0.9,0.909090909,15,4,0.3,30,73,3,0.7,73,15!2s2esynx3x3z1rw1dy4j8eiwcqptbg21q62u2ck46wy,23,00:13.4,15!1g8dpyhy44ytiqoog1zfa7toqcv4fnt4i1h1llw17i8,14,16,7,68,-32.71124861,23,TRUE,15!1g8dpyhy44ytiqoog1zfa7toqcv4fnt4i1h1llw17i8,15!1g8dpyhy44ytiqoog1zfa7toqcv4fnt4i1h1llw17i8,16,7,68,-28.75774327
0.9,0.909090909,15,4,0.3,30,74,3,0.7,74,15!1m9gl8yluf8ugmzxd8z1dpewpwgfyml0mnxc0flz3h1i,18,00:18.0,15!3r3xfqm3mm1fxzh1bb4xchgdsaugiid28ozv51yvnr6,16,14,4,71,-30.28063448,19,TRUE,15!3r3xfrflqgbyy6mfyodemog04atn3et5pzyifon4paa,15!3r3xfrflqgbyy6mfyodemog04atn3et5pzyifon4paa,14,5,70,-27.40617458
0.9,0.909090909,15,4,0.3,30,75,3,0.7,75,15!2fd7hlsr0wrijefkror0ptzitzeacdo90a0uewbzwnwm,18,00:13.6,15!t840tjg24jtd66eaura9dh6er9vvkkddg2wr03q7dvo,17,13,5,70,-34.69264641,18,FALSE,15!t84b6hr4dhklomzqjiomsv250b2670wt0vdmn8f84jo,15!t840tjg24kg96lqv5cpjnxfgygljfe4xb8notgeu1ac,12,6,69,-29.74532087
0.9,0.909090909,15,4,0.3,30,76,3,0.7,76,15!2fbwvkiuzjkt611ifc44wwrjckspqndo12cmhpwq9s46,22,00:18.4,15!1x4izvaxtsw8ecxzjlqe5j0y2ixp6nh1u2ilw3gif9ky,13,17,5,70,-30.96930826,21,TRUE,15!1pul9s1nv8zcouoht7s748wrg76tg4uck63q96huk08y,15!1pul9s1nv8zcouoht7s748wrg76tg4uck63q96huk08y,16,5,70,-28.72281214
0.9,0.909090909,15,4,0.3,30,78,3,0.7,78,15!1mag9vfdb0e3xehe75qhibejmztn18pogwm9wg5nv0ue,18,00:13.9,15!1m85ekm162wlrje8ttusskwyvh5ofsb6f5leix3e2epw,17,13,5,70,-32.67408345,18,TRUE,15!1m85ekm162wlrje8ttusskwyvh5ofsb6f5leix3e2epw,15!1m85ekm162wlrje8ttusskwyvh5ofsb6f5leix3e2epw,13,5,70,-30.77927525
0.9,0.909090909,15,4,0.3,30,79,3,0.7,79,15!2kuo1o5ewgybsmrvrgbpd42dqzurrggvors0fs68k8hy,15,00:13.0,15!2zftts3fvq43i160z1fvozflpndxahscr3uuf2owa1w6,21,9,6,69,-36.17830146,18,TRUE,15!2zftts3fvq49eoi48g4g9z8fnvzampvthjy0ixpodul2,15!2zftts3fvq49eoi48g4g9z8fnvzampvthjy0ixpodul2,11,7,68,-33.37171655
0.9,0.909090909,15,4,0.3,30,80,3,0.7,80,15!10um9pu54l3uwrn8t6mckhsiljnb9wyc2ywrcgj2eequ,15,00:13.9,15!ejx17bsd7vwyhlhm57dkoibjx7wgistu95zdnnkjr50,20,10,5,70,-33.71762867,16,TRUE,15!ejx17bsd7vwy2n6v35j77z50niya5xed5o5gllfyxb8,15!ejx17bsd7vwy2n6v35j77z50niya5xed5o5gllfyxb8,11,5,70,-31.0352297
0.9,0.909090909,15,4,0.3,30,81,3,0.7,81,15!2fc6nq1jh1t2zr3icjmcjlpitlr5x1ut1vcqeyajp4w6,20,00:13.2,15!t41u1j11d2gdh1l3rzzsb7bh0s876olvmbum4zyvvno,16,14,6,69,-32.6630805,21,TRUE,15!t41u1j1fvsicb7v6zx4x28acgcti204bhesnxp46w3o,15!t41u1j1fvsicb7v6zx4x28acgcti204bhesnxp46w3o,14,7,68,-29.40065307
0.9,0.909090909,15,4,0.3,30,83,3,0.7,83,15!1tkf5e7f55az99ly213x9gtql4uhgqb8vi2bi2d11tdy,13,00:14.9,15!7c8lq3aqn798pho7me6u6zn00olgyl0o3z60h60sr28,19,11,2,73,-31.67731251,17,FALSE,15!7c8lq3aplugbbddx4ksdojnkm2lv5rqzfmbebrhqyv4,15!7c8lq3aplugbhwvlu68q2cx5rl1gcfkvqeqpxzq0em8,15,2,73,-25.51335563
0.9,0.909090909,15,4,0.3,30,84,3,0.7,84,15!2fbxqeaphh30oq4cidasoefnyww9i71es300r2z7mabq,20,00:12.1,15!87jiqen7xpyua8nm8ocfapcudqpqrlxfhy2ayalm1u,18,12,8,67,-32.07350327,21,TRUE,15!87jiqen7xpyua8ng94kcv8d95rm5atiucr8l86ekf6,15!87jiqen7xpyua8ng94kcv8d95rm5atiucr8l86ekf6,14,7,68,-30.4466442
0.9,0.909090909,15,4,0.3,30,88,3,0.7,88,15!2fbdb6xug7mkzijapobfai0gl7lutemttj3j0lgl9iti,18,00:12.0,15!2fdo7fz8ktdueddo1tz6ddq0j9ld9bid3hiji0ixiz9w,20,10,8,67,-34.72496818,20,TRUE,15!2fdo7fz8ktggwqq2dvfd11ipdkk3hdw7oz74tnaeisr8,15!2fdo7fz8ktggwqq2dvfd11ipdkk3hdw7oz74tnaeisr8,11,9,66,-32.71586666
0.9,0.909090909,15,4,0.3,30,90,3,0.7,90,15!t7p7rwcbqdi3kgxetjjn9n3y354q4hsgaeeiwvfgge,15,00:14.3,15!m1pn1hcf0rstq09e16mqzbbhz47964fwlu07igcll8,19,11,4,71,-30.05481194,20,TRUE,15!m1pn1hcf0rsn6ikofqad3cmlxhkidy07fqa3o4vhvs,15!m1pn1hcf0rsn6ikofqad3cmlxhkidy07fqa3o4vhvs,14,6,69,-26.43036847
