subj,item1,item2,edge,
NA,bunny,giraffe,0,
NA,bunny,quail,0,
NA,bunny,polarbear,0,
NA,bunny,swan,0,
NA,bunny,terrier,0,
NA,bunny,frog,0,
NA,bunny,shark,0,
NA,bunny,horse,0,
NA,bunny,carp,0,
NA,bunny,dolphin,0,
NA,bunny,russianblue,0,
NA,bunny,llama,0,
NA,bunny,goose,1,
NA,bunny,wolf,0,
NA,bunny,leopard,0,
NA,bunny,snake,0,
NA,bunny,grizzlybear,0,
NA,bunny,rooster,0,
NA,bunny,peacock,0,
NA,bunny,monkey,0,
NA,bunny,hyena,0,
NA,bunny,fox,0,
NA,bunny,fish,0,
NA,bunny,mouse,0,
NA,bunny,dog,0,
NA,bunny,lovebird,0,
NA,bunny,persian,0,
NA,bunny,whale,0,
NA,bunny,rhinoceros,0,
NA,bunny,elephant,0,
NA,bunny,warthog,0,
NA,bunny,cheetah,0,
NA,bunny,humunukuapua,0,
NA,bunny,guineapig,0,
NA,bunny,robin,0,
NA,bunny,germanshepherd,0,
NA,bunny,grasshopper,0,
NA,bunny,snail,0,
NA,bunny,tortoise,0,
NA,bunny,turkey,0,
NA,bunny,jaguar,0,
NA,bunny,duck,0,
NA,bunny,zebra,0,
NA,sparrow,sunconure,0,
NA,sparrow,swan,0,
NA,sparrow,terrier,0,
NA,sparrow,wolf,0,
NA,sparrow,whale,0,
NA,sparrow,warthog,0,
NA,sparrow,tortoise,0,
NA,sparrow,turkey,1,
NA,sparrow,zebra,0,
NA,pufferfish,sunconure,0,
NA,pufferfish,sparrow,0,
NA,pufferfish,slug,0,
NA,pufferfish,quail,0,
NA,pufferfish,swan,0,
NA,pufferfish,terrier,0,
NA,pufferfish,shark,0,
NA,pufferfish,russianblue,0,
NA,pufferfish,wolf,0,
NA,pufferfish,snake,0,
NA,pufferfish,rooster,0,
NA,pufferfish,whale,0,
NA,pufferfish,rhinoceros,0,
NA,pufferfish,warthog,0,
NA,pufferfish,robin,1,
NA,pufferfish,snail,0,
NA,pufferfish,tortoise,0,
NA,pufferfish,turkey,0,
NA,pufferfish,zebra,0,
NA,slug,sunconure,0,
NA,slug,sparrow,0,
NA,slug,swan,0,
NA,slug,terrier,0,
NA,slug,wolf,0,
NA,slug,snake,0,
NA,slug,whale,0,
NA,slug,warthog,0,
NA,slug,snail,1,
NA,slug,tortoise,0,
NA,slug,turkey,0,
NA,slug,zebra,0,
NA,pheasant,poodle,0,
NA,pheasant,sunconure,0,
NA,pheasant,pigeon,0,
NA,pheasant,pig,0,
NA,pheasant,sparrow,0,
NA,pheasant,pufferfish,0,
NA,pheasant,slug,0,
NA,pheasant,quail,1,
NA,pheasant,polarbear,0,
NA,pheasant,swan,0,
NA,pheasant,terrier,0,
NA,pheasant,shark,0,
NA,pheasant,russianblue,0,
NA,pheasant,wolf,0,
NA,pheasant,snake,0,
NA,pheasant,rooster,0,
NA,pheasant,whale,0,
NA,pheasant,rhinoceros,1,
NA,pheasant,warthog,0,
NA,pheasant,robin,0,
NA,pheasant,snail,0,
NA,pheasant,tortoise,0,
NA,pheasant,turkey,0,
NA,pheasant,zebra,0,
NA,chicken,hare,0,
NA,chicken,lion,0,
NA,chicken,parrot,0,
NA,chicken,poodle,0,
NA,chicken,hippopotamus,0,
NA,chicken,sunconure,0,
NA,chicken,pigeon,1,
NA,chicken,pig,0,
NA,chicken,sparrow,0,
NA,chicken,pufferfish,0,
NA,chicken,slug,0,
NA,chicken,pheasant,0,
NA,chicken,giraffe,0,
NA,chicken,quail,0,
NA,chicken,polarbear,0,
NA,chicken,swan,0,
NA,chicken,terrier,0,
NA,chicken,frog,0,
NA,chicken,shark,0,
NA,chicken,horse,0,
NA,chicken,dolphin,0,
NA,chicken,russianblue,0,
NA,chicken,llama,0,
NA,chicken,goose,0,
NA,chicken,wolf,0,
NA,chicken,leopard,0,
NA,chicken,snake,0,
NA,chicken,grizzlybear,0,
NA,chicken,rooster,1,
NA,chicken,peacock,0,
NA,chicken,monkey,0,
NA,chicken,hyena,0,
NA,chicken,fox,0,
NA,chicken,fish,0,
NA,chicken,mouse,0,
NA,chicken,dog,0,
NA,chicken,lovebird,0,
NA,chicken,persian,0,
NA,chicken,whale,0,
NA,chicken,rhinoceros,0,
NA,chicken,elephant,0,
NA,chicken,warthog,0,
NA,chicken,humunukuapua,0,
NA,chicken,guineapig,0,
NA,chicken,robin,0,
NA,chicken,germanshepherd,0,
NA,chicken,grasshopper,0,
NA,chicken,snail,0,
NA,chicken,tortoise,0,
NA,chicken,turkey,0,
NA,chicken,jaguar,0,
NA,chicken,duck,0,
NA,chicken,zebra,0,
NA,giraffe,hare,0,
NA,giraffe,lion,0,
NA,giraffe,parrot,0,
NA,giraffe,poodle,0,
NA,giraffe,hippopotamus,0,
NA,giraffe,sunconure,0,
NA,giraffe,pigeon,0,
NA,giraffe,pig,0,
NA,giraffe,sparrow,0,
NA,giraffe,pufferfish,0,
NA,giraffe,slug,0,
NA,giraffe,pheasant,0,
NA,giraffe,quail,0,
NA,giraffe,polarbear,0,
NA,giraffe,swan,0,
NA,giraffe,terrier,0,
NA,giraffe,shark,0,
NA,giraffe,horse,0,
NA,giraffe,russianblue,0,
NA,giraffe,llama,0,
NA,giraffe,goose,0,
NA,giraffe,wolf,0,
NA,giraffe,leopard,0,
NA,giraffe,snake,0,
NA,giraffe,grizzlybear,0,
NA,giraffe,rooster,0,
NA,giraffe,peacock,0,
NA,giraffe,monkey,0,
NA,giraffe,hyena,0,
NA,giraffe,mouse,0,
NA,giraffe,lovebird,0,
NA,giraffe,persian,0,
NA,giraffe,whale,0,
NA,giraffe,rhinoceros,0,
NA,giraffe,warthog,0,
NA,giraffe,humunukuapua,0,
NA,giraffe,guineapig,0,
NA,giraffe,robin,1,
NA,giraffe,grasshopper,0,
NA,giraffe,snail,0,
NA,giraffe,tortoise,0,
NA,giraffe,turkey,0,
NA,giraffe,jaguar,0,
NA,giraffe,zebra,0,
NA,quail,sunconure,0,
NA,quail,sparrow,0,
NA,quail,slug,0,
NA,quail,swan,0,
NA,quail,terrier,0,
NA,quail,shark,0,
NA,quail,russianblue,0,
NA,quail,wolf,0,
NA,quail,snake,1,
NA,quail,rooster,0,
NA,quail,whale,0,
NA,quail,rhinoceros,0,
NA,quail,warthog,0,
NA,quail,robin,0,
NA,quail,snail,0,
NA,quail,tortoise,0,
NA,quail,turkey,0,
NA,quail,zebra,0,
NA,bee,hare,0,
NA,bee,lion,0,
NA,bee,parrot,0,
NA,bee,poodle,0,
NA,bee,hippopotamus,0,
NA,bee,sunconure,0,
NA,bee,pigeon,0,
NA,bee,pig,0,
NA,bee,bunny,0,
NA,bee,sparrow,0,
NA,bee,pufferfish,0,
NA,bee,slug,0,
NA,bee,pheasant,0,
NA,bee,chicken,0,
NA,bee,giraffe,0,
NA,bee,quail,0,
NA,bee,polarbear,0,
NA,bee,swan,1,
NA,bee,terrier,0,
NA,bee,frog,0,
NA,bee,bird,0,
NA,bee,shark,0,
NA,bee,horse,0,
NA,bee,carp,0,
NA,bee,dolphin,0,
NA,bee,russianblue,0,
NA,bee,llama,0,
NA,bee,goose,0,
NA,bee,wolf,0,
NA,bee,leopard,0,
NA,bee,snake,0,
NA,bee,grizzlybear,0,
NA,bee,rooster,0,
NA,bee,peacock,0,
NA,bee,monkey,0,
NA,bee,hyena,0,
NA,bee,fox,0,
NA,bee,fish,0,
NA,bee,mouse,0,
NA,bee,dog,0,
NA,bee,lovebird,0,
NA,bee,persian,0,
NA,bee,whale,0,
NA,bee,rhinoceros,0,
NA,bee,elephant,0,
NA,bee,warthog,0,
NA,bee,cheetah,0,
NA,bee,humunukuapua,0,
NA,bee,guineapig,0,
NA,bee,robin,0,
NA,bee,beetle,1,
NA,bee,germanshepherd,0,
NA,bee,grasshopper,0,
NA,bee,snail,0,
NA,bee,tortoise,0,
NA,bee,turkey,0,
NA,bee,jaguar,0,
NA,bee,duck,0,
NA,bee,zebra,0,
NA,polarbear,poodle,0,
NA,polarbear,sunconure,0,
NA,polarbear,sparrow,0,
NA,polarbear,pufferfish,0,
NA,polarbear,slug,0,
NA,polarbear,quail,0,
NA,polarbear,swan,0,
NA,polarbear,terrier,0,
NA,polarbear,shark,0,
NA,polarbear,russianblue,0,
NA,polarbear,wolf,0,
NA,polarbear,snake,0,
NA,polarbear,rooster,0,
NA,polarbear,whale,0,
NA,polarbear,rhinoceros,0,
NA,polarbear,warthog,1,
NA,polarbear,robin,0,
NA,polarbear,snail,0,
NA,polarbear,tortoise,0,
NA,polarbear,turkey,0,
NA,polarbear,zebra,0,
NA,swan,terrier,0,
NA,swan,wolf,0,
NA,swan,whale,0,
NA,swan,warthog,0,
NA,swan,tortoise,0,
NA,swan,turkey,0,
NA,swan,zebra,0,
NA,terrier,wolf,0,
NA,terrier,whale,0,
NA,terrier,warthog,0,
NA,terrier,tortoise,0,
NA,terrier,turkey,0,
NA,terrier,zebra,0,
NA,frog,hare,0,
NA,frog,lion,0,
NA,frog,parrot,0,
NA,frog,poodle,0,
NA,frog,hippopotamus,0,
NA,frog,sunconure,0,
NA,frog,pigeon,0,
NA,frog,pig,0,
NA,frog,sparrow,0,
NA,frog,pufferfish,0,
NA,frog,slug,0,
NA,frog,pheasant,0,
NA,frog,giraffe,0,
