uinvite_7lists,0,10,32,293,5,4620,298.0,0
uinvite_7lists,0,11,35,290,5,4620,295.0,0
uinvite_7lists,0,12,26,299,6,4619,305.0,0
uinvite_7lists,0,13,32,293,5,4620,298.0,0
uinvite_7lists,0,14,17,308,4,4621,312.0,0
uinvite_7lists,0,15,21,304,2,4623,306.0,0
uinvite_7lists,0,16,25,300,15,4610,315.0,0
uinvite_7lists,0,17,20,305,2,4623,307.0,0
uinvite_7lists,0,18,22,303,4,4621,307.0,0
uinvite_7lists,0,19,22,303,2,4623,305.0,0
uinvite_7lists,0,1,86,239,117,4508,356.0,0
uinvite_7lists,0,20,25,300,3,4622,303.0,0
uinvite_7lists,0,21,25,300,4,4621,304.0,0
uinvite_7lists,0,25,17,308,5,4620,313.0,0
uinvite_7lists,0,2,46,279,44,4581,323.0,0
uinvite_7lists,0,3,57,268,39,4586,307.0,0
uinvite_7lists,0,4,43,282,25,4600,307.0,0
uinvite_7lists,0,5,48,277,19,4606,296.0,0
uinvite_7lists,0,6,45,280,14,4611,294.0,0
uinvite_7lists,0,7,48,277,10,4615,287.0,0
uinvite_7lists,0,8,39,286,12,4613,298.0,0
uinvite_7lists,0,9,31,294,4,4621,298.0,0
