subj,node1,node2,uinvite,rw
S103,dog,cat,1,1
S103,fox,echidna,1,1
S103,shark,fish,0,1
S103,panda,bear,1,1
S103,fish,whale,1,1
S103,rat,whale,0,1
S103,scorpion,spider,1,1
S103,fox,bat,1,1
S103,cheetah,tiger,1,1
S103,kangaroo,rabbit,1,1
S103,lion,bat,1,1
S103,snake,lizard,1,1
S103,turtle,lizard,1,1
S103,echidna,hedgehog,1,1
S103,lion,tiger,1,1
S103,mongoose,rat,1,1
S103,alligator,crocodile,1,1
S103,beetle,spider,1,1
S103,kangaroo,koala,1,1
S103,alligator,bee,1,1
S104,woolymammoth,elephant,1,1
S104,penguin,snail,1,1
S104,orangutan,donkey,0,1
S104,lemur,gorilla,1,1
S104,llama,woolymammoth,1,1
S104,horse,donkey,1,1
S104,catfish,penguin,1,1
S104,ferret,weasel,1,1
S104,kangaroo,mouse,0,1
S104,rabbit,capybara,1,1
S104,chicken,pig,1,0
S104,mule,donkey,1,1
S104,chipmunk,moose,1,1
S104,chicken,panda,1,1
S104,piranha,goldfish,1,1
S104,sloth,cat,0,1
S104,lemur,boar,1,1
S104,zebra,hippopotamus,1,0
S104,redpanda,boar,1,1
S104,llama,goat,0,1
S104,rat,koala,1,1
S104,swan,kangaroo,0,1
S104,bee,cheetah,1,1
S104,hippopotamus,giraffe,0,1
S104,human,dog,0,1
S104,orangutan,chimpanzee,1,0
S104,monkey,orangutan,1,1
S104,rat,goat,1,1
S104,marmoset,hamster,1,1
S104,lion,redpanda,1,1
S104,marmoset,lemur,1,1
S104,chimpanzee,gorilla,1,1
S104,octopus,ocelot,1,1
S104,kangaroo,yellowjacket,1,1
S104,lion,tiger,1,0
S104,antelope,pig,1,1
S104,piranha,ocelot,1,0
S104,wolf,bear,1,1
S104,zebra,giraffe,1,1
S104,human,cheetah,1,1
S104,parrot,eagle,1,1
S104,dinosaur,raptor,1,1
S104,tiger,gorilla,1,1
S104,seal,mink,1,1
S104,goose,zebra,1,1
S104,crow,duck,0,1
S104,orangutan,redpanda,1,0
S104,lion,sealion,0,1
S104,human,boar,1,1
S104,rabbit,slowloris,1,1
S104,antelope,rhinoceros,1,1
S104,catfish,whale,1,1
S104,ocelot,leopard,1,1
S104,goose,hawk,1,1
S104,pig,rat,1,1
S104,bat,bee,1,1
S104,moose,hawk,1,1
S104,marmoset,deer,1,0
S104,raptor,deer,1,1
S104,octopus,raven,1,1
S104,horse,cow,1,0
S104,piranha,tiger,1,1
S104,wolf,snake,1,1
S104,monkey,gorilla,1,0
S104,hippopotamus,rhinoceros,1,0
S104,crane,mouse,1,1
S104,duck,fly,1,1
S104,zebra,gerbil,1,1
S104,tick,hawk,1,1
S104,zebra,gorilla,1,1
S104,lion,zebra,1,1
S104,cranefly,crow,1,1
S104,hamster,bluejay,1,1
S104,sloth,dog,1,1
S104,lion,hippopotamus,0,1
S104,swan,seacow,1,0
S104,hamster,gerbil,1,1
S104,crow,raven,1,1
S104,mantis,ocelot,0,1
S104,goldfish,snake,1,1
S104,lion,elephant,1,0
S104,cranefly,fly,1,1
S104,dolphin,whale,1,0
S104,swan,hawk,0,1
S104,otter,polarbear,1,1
S104,sheep,alpaca,1,1
S104,swan,goose,1,0
S104,llama,alpaca,1,1
S104,human,cat,1,1
S104,lion,wolf,0,1
S104,horse,deer,1,1
S104,piranha,mantis,1,1
S104,llama,redpanda,1,1
S104,sugarglider,hyena,1,1
S104,antelope,hyena,1,0
S104,squirrel,chipmunk,1,1
S104,cat,dog,1,1
S104,chicken,seacow,1,1
S104,orangutan,gorilla,1,1
S104,boar,pig,1,1
S104,belugawhale,whale,1,1
S104,monkey,bear,1,1
S104,sloth,slowloris,1,1
S104,otter,seal,1,1
S104,eagle,bluejay,1,1
S104,tiger,cheetah,1,1
S104,sealion,belugawhale,1,1
S104,polarbear,dolphin,1,1
S104,marmoset,dinosaur,0,1
S104,sealion,seagull,1,1
S104,mantis,rhinoceros,1,1
S104,seacow,cow,1,1
S104,squirrel,deer,1,1
S104,goat,giraffe,1,1
S104,ocelot,tiger,0,1
S104,cheetah,leopard,1,1
S104,weasel,mink,1,1
S104,raven,mink,1,1
S104,gerbil,mouse,1,1
S104,cranefly,crane,1,1
S104,ocelot,snake,1,1
S104,penguin,dolphin,1,1
S104,zebra,elephant,1,1
S104,tick,snail,1,1
S104,marmoset,human,1,1
S104,hamster,alpaca,1,1
S104,parrot,hawk,0,1
S104,mule,giraffe,1,1
S104,cow,pig,1,1
S104,rat,bear,1,1
S104,seal,mantis,1,1
S104,blackheadedgull,seagull,1,1
S104,alpaca,capybara,1,1
S104,ferret,hamster,1,1
S104,horse,chimpanzee,1,1
S104,wolf,cheetah,0,1
S104,panda,redpanda,1,1
S104,turtle,lion,1,1
S104,panda,donkey,1,1
S104,seacow,kangaroo,1,1
S104,eagle,crane,1,1
S104,sloth,koala,1,1
S104,mouse,dog,1,1
S104,blackheadedgull,sugarglider,1,1
S104,seacow,horse,1,1
S104,deer,slowloris,1,1
S104,bat,panda,1,1
S104,piranha,flyingsquirrel,1,1
S104,wolf,mink,1,1
S104,yellowjacket,hyena,1,1
S104,sheep,goat,1,1
S104,eagle,hawk,1,1
S104,human,bear,1,1
S104,seal,sealion,1,1
S104,lion,belugawhale,1,0
S104,turtle,slowloris,1,1
S104,rat,mouse,1,1
S105,turkey,chicken,1,1
S105,elephant,slowloris,1,1
S105,slowloris,panda,1,1
S105,boar,hippopotamus,1,1
S105,bear,llama,1,1
S105,pig,bison,1,1
S105,bat,eagle,1,1
S105,cow,bison,0,1
S105,meerkat,hawk,1,1
S105,rabbit,seal,1,1
S105,whale,mouse,1,1
S105,slowloris,meerkat,1,1
S105,meerkat,hedgehog,1,1
S105,gerbil,elephant,1,1
S105,pig,cow,1,1
S105,bird,hawk,1,1
S105,elephant,alpaca,0,1
S105,zebra,cheetah,1,1
S105,lion,human,0,1
S105,ape,monkey,1,1
S105,tasmaniandevil,monkey,1,0
S105,kangaroo,whale,1,1
S105,horse,pig,0,1
S105,zebra,giraffe,1,0
S105,human,ape,1,1
S105,sheep,llama,0,1
S105,monkey,panther,0,1
S105,zebra,horse,1,1
S105,horse,dog,1,1
S105,dolphin,polarbear,1,1
S105,chipmunk,squirrel,1,1
S105,rhinoceros,giraffe,1,1
S105,kangaroo,llama,0,1
S105,horse,cow,1,1
S105,human,boar,1,1
S105,hippopotamus,rhinoceros,1,1
S105,rhinoceros,panda,0,1
S105,walrus,hawk,1,1
S105,deer,panda,1,1
S105,bird,squirrel,1,1
S105,cheetah,elephant,1,1
S105,squirrel,hedgehog,1,1
S105,lion,alpaca,1,0
S105,human,chimpanzee,0,1
S105,tasmaniandevil,kangaroo,1,1
S105,boar,tasmaniandevil,1,1
S105,slowloris,chimpanzee,1,1
S105,lion,elephant,1,0
S105,dolphin,whale,1,1
S105,tasmaniandevil,hyena,1,1
S105,bird,dog,1,0
S105,chipmunk,rat,0,1
S105,pig,chicken,1,1
S105,polarbear,panther,1,1
S105,llama,alpaca,1,1
S105,bear,cat,1,1
S105,elephant,giraffe,1,1
S105,panther,cat,0,1
S105,chimpanzee,monkey,1,1
S105,panda,giraffe,0,1
S105,dog,cat,1,1
S105,lion,panther,0,1
S105,squirrel,bison,1,1
S105,rat,mouse,1,1
S105,bird,chicken,0,1
S105,polarbear,giraffe,0,1
S105,rat,squirrel,1,1
S105,dolphin,walrus,1,1
S105,dog,giraffe,0,1
S105,polarbear,alpaca,1,1
S105,llama,pig,1,1
S105,turkey,deer,1,1
S105,hyena,kangaroo,0,1
S105,ape,chimpanzee,1,1
S105,slowloris,mouse,1,1
S105,horse,bat,0,1
S105,dolphin,lion,1,1
S105,sheep,horse,1,1
S105,lion,cheetah,1,1
S105,cow,groundhog,1,1
S105,human,whale,1,1
S105,rabbit,gerbil,1,1
S105,bird,eagle,1,1
S105,monkey,panda,1,1
S105,seal,cheetah,0,1
S105,hyena,monkey,0,1
S105,eagle,hawk,1,1
S105,human,bird,0,1
S106,pig,chicken,1,1
S106,possum,cow,1,1
S106,alligator,elephant,1,1
S106,coyote,penguin,0,1
S106,possum,rabbit,0,1
S106,pig,cow,1,0
S106,mouse,armadillo,1,1
S106,polarbear,flamingo,1,1
S106,horse,giraffe,0,1
S106,kangaroo,skunk,1,1
S106,hawk,eagle,1,1
S106,hawk,bear,1,1
S106,horse,lion,1,1
S106,hawk,coyote,1,1
S106,panda,kangaroo,1,1
S106,chicken,buffalo,1,1
S106,squirrel,raccoon,1,1
S106,lemur,buffalo,1,1
S106,elephant,bear,0,1
S106,giraffe,coyote,0,1
S106,elephant,lion,1,1
S106,possum,dog,1,1
S106,possum,skunk,1,1
S106,giraffe,chicken,0,1
S106,coyote,lemur,1,1
S106,elephant,giraffe,1,1
S106,horse,cow,1,0
S106,duck,walrus,1,1
S106,alligator,rabbit,1,1
S106,horse,snake,1,1
S106,dog,cat,1,1
S106,pig,penguin,0,1
S106,alligator,penguin,1,0
S106,mouse,bat,1,1
S106,mouse,eagle,1,1
S106,elephant,pig,1,1
S106,alligator,walrus,0,1
S106,hawk,penguin,1,1
S106,squirrel,bat,1,1
S106,polarbear,penguin,1,1
S106,armadillo,skunk,1,1
S106,lion,dog,1,1
S106,bear,tiger,1,1
S106,lion,tiger,1,1
S106,tiger,bat,1,1
S106,gerbil,giraffe,1,1
S106,horse,elephant,0,1
S106,duck,flamingo,1,1
S106,bat,dog,1,1
S106,alligator,panda,1,1
S106,gerbil,mouse,1,1
S106,cow,raccoon,1,1
S107,fish,rooster,1,1
S107,camel,donkey,1,1
S107,chicken,pig,1,1
S107,mammoth,sloth,1,1
S107,zebra,hippopotamus,1,1
S107,bear,wolf,1,1
S107,owl,ape,1,1
S107,bat,whale,1,1
S107,chicken,cat,1,0
S107,otter,chipmunk,1,1
S107,chinchilla,rabbit,1,1
S107,parrot,hippopotamus,0,1
S107,parrot,sheep,1,1
S107,sheep,ram,1,1
S107,goose,chicken,0,1
S107,shark,whale,1,1
S107,shark,dolphin,1,1
S107,snake,lizard,1,1
S107,lion,tiger,1,1
S107,orca,seal,1,1
S107,emu,ostrich,1,1
S107,otter,beaver,1,1
