2,15,274,12060
2,30,193,11118
2,50,118,9301
2,70,72,7216
3,15,230,11718
3,30,145,10084
3,50,75,7452
3,70,38,4958
4,15,202,11279
4,30,112,9025
4,50,48,5867
4,70,20,3313
5,15,177,10855
5,30,90,8077
5,50,35,4717
5,70,14,2550
6,15,153,10373
6,30,68,7018
6,50,25,3827
6,70,9,1837
7,15,132,9837
7,30,54,6173
7,50,17,2988
7,70,6,1357
8,15,112,9311
8,30,43,5402
8,50,12,2302
8,70,2,967
9,15,102,8767
9,30,38,4991
9,50,9,2009
9,70,2,739
10,15,93,8341
10,30,30,4271
10,50,6,1504
10,70,1,555
11,15,86,7921
11,30,26,3851
11,50,5,1302
11,70,1,435
12,15,74,7420
12,30,19,3263
12,50,4,1087
12,70,0,371
13,15,68,7183
13,30,18,3013
13,50,3,946
13,70,0,288
14,15,60,6542
14,30,14,2654
14,50,3,854
14,70,0,227
15,15,53,6162
15,30,12,2338
15,50,2,637
15,70,0,161
16,15,52,6050
16,30,11,2247
16,50,1,536
16,70,0,150
17,15,43,5451
17,30,10,2010
17,50,1,452
17,70,0,111
