id,game,category,item,RT,RTstart,shortlist
1,5,supermarket items,kale,1188,90200,0
1,5,supermarket items,juice,1515,91715,0
1,5,supermarket items,orange,1889,93604,0
1,5,supermarket items,icecream,4384,97988,0
1,5,supermarket items,magazin,6986,104974,0
1,5,supermarket items,cleaner,5481,110455,0
1,5,supermarket items,sponge,2772,113227,0
1,6,supermarket items,popcorn,5390,5390,0
1,6,supermarket items,tomato,2497,7887,0
1,6,supermarket items,potato,2401,10288,0
1,6,supermarket items,cheese,4376,14664,0
1,6,supermarket items,tampon,2094,16758,0
1,6,supermarket items,icecream,2399,19157,0
1,6,supermarket items,vitamin,1901,21058,0
1,6,supermarket items,coughsyrup,4005,25063,0
1,6,supermarket items,deororant,7650,32713,0
1,6,supermarket items,toothpaste,3960,36673,0
1,6,supermarket items,toothbrush,3385,40058,0
1,6,supermarket items,flo,2783,42841,0
1,6,supermarket items,shampoo,4695,47536,0
1,6,supermarket items,conditioner,2493,50029,0
1,6,supermarket items,q-tip,8025,58054,0
1,6,supermarket items,makeupremover,4746,62800,0
1,6,supermarket items,makeup,1740,64540,0
1,6,supermarket items,waterbottle,7280,71820,0
1,6,supermarket items,ham,3082,74902,0
1,6,supermarket items,cheese,1924,76826,0
1,6,supermarket items,beef,2440,79266,0
1,6,supermarket items,chicken,3151,82417,0
1,6,supermarket items,fish,1463,83880,0
1,6,supermarket items,lobaster,2230,86110,0
1,6,supermarket items,glue,9421,95531,0
1,6,supermarket items,magazine,4749,100280,0
1,6,supermarket items,rice,3275,103555,0
1,6,supermarket items,wine,2862,106417,0
1,6,supermarket items,yogurt,2408,108825,0
1,6,supermarket items,milk,1967,110792,0
1,6,supermarket items,juice,3489,114281,0
1,6,supermarket items,butter,1870,116151,0
1,6,supermarket items,bread,2185,118336,0
1,7,animals,lion,5545,5545,0
1,7,animals,leopard,4023,9568,0
1,7,animals,lice,3351,12919,0
1,7,animals,opossum,5868,18787,0
1,7,animals,octopus,3045,21832,0
1,7,animals,platypus,10794,32626,0
1,7,animals,rat,9322,41948,0
1,7,animals,rhino,4222,46170,0
1,7,animals,giraffe,3072,49242,0
1,7,animals,elephant,2836,52078,0
1,7,animals,gazelle,13880,65958,0
1,7,animals,groundhog,7227,73185,0
1,7,animals,human,2348,75533,0
1,7,animals,marmoset,5759,81292,0
1,7,animals,gorilla,2070,83362,0
1,7,animals,squirrel,9833,93195,0
1,7,animals,chimpanzee,7225,100420,0
1,7,animals,butterfly,2681,103101,0
1,7,animals,spider,1510,104611,0
1,7,animals,dolphin,4031,108642,0
1,7,animals,whale,1748,110390,0
1,7,animals,squid,2704,113094,0
1,7,animals,eagle,4168,117262,0
1,7,animals,dog,918,118180,0
1,7,animals,cat,1744,119924,0
1,8,supermarket items,water,6570,6570,0
1,8,supermarket items,makeup,8207,14777,0
1,8,supermarket items,pineapple,7763,22540,0
1,8,supermarket items,cake,3987,26527,0
1,8,supermarket items,cakebatter,5397,31924,0
1,8,supermarket items,whipcream,4043,35967,0
1,8,supermarket items,icing,2928,38895,0
1,8,supermarket items,icecream,2524,41419,0
1,8,supermarket items,wine,4024,45443,0
1,8,supermarket items,cheese,1803,47246,0
1,8,supermarket items,butter,1950,49196,0
1,8,supermarket items,lobster,8200,57396,0
1,8,supermarket items,fish,2201,59597,0
1,8,supermarket items,chiken,3552,63149,0
1,8,supermarket items,beef,1602,64751,0
1,8,supermarket items,tomato,6489,71240,0
1,8,supermarket items,potato,2438,73678,0
1,8,supermarket items,strawberry,5654,79332,0
1,8,supermarket items,raspberry,4753,84085,0
1,8,supermarket items,cherry,2199,86284,0
1,8,supermarket items,cooky,1733,88017,0
1,8,supermarket items,bread,4098,92115,0
1,8,supermarket items,magazine,8459,100574,0
1,8,supermarket items,toothpaste,4951,105525,0
1,8,supermarket items,vitamin,2197,107722,0
1,8,supermarket items,kale,3069,110791,0
1,9,animals,cat,4635,4635,0
1,9,animals,dog,906,5541,0
1,9,animals,hyena,2560,8101,0
1,9,animals,hippo,2978,11079,0
1,9,animals,rhino,2828,13907,0
1,9,animals,puma,4235,18142,0
1,9,animals,leopard,2151,20293,0
1,9,animals,tiger,1855,22148,0
1,9,animals,butterfly,5713,27861,0
1,9,animals,fox,1689,29550,0
1,9,animals,panda,2408,31958,0
1,9,animals,eagle,1632,33590,0
1,9,animals,parrot,4548,38138,0
1,9,animals,baby,11767,49905,0
1,9,animals,chimpanzee,5430,55335,0
1,9,animals,gorilla,3712,59047,0
1,9,animals,orangutan,4554,63601,0
1,9,animals,chipmunk,7015,70616,0
1,9,animals,rat,2333,72949,0
1,9,animals,mouse,2404,75353,0
1,9,animals,ant,2477,77830,0
1,9,animals,anteater,2209,80039,0
1,9,animals,whale,14146,94185,0
1,9,animals,dolphin,1922,96107,0
1,9,animals,bat,6153,102260,0
1,9,animals,squid,16749,119009,0
1,10,supermarket items,water,7296,7296,0
1,10,supermarket items,nutritionbar,10359,17655,0
1,10,supermarket items,plum,9470,27125,0
1,10,supermarket items,icecream,2880,30005,0
1,10,supermarket items,chocolatechip,4568,34573,0
1,10,supermarket items,chocolate,3003,37576,0
1,10,supermarket items,sugar,1646,39222,0
1,10,supermarket items,salt,1602,40824,0
1,10,supermarket items,milk,1408,42232,0
1,10,supermarket items,orangejuice,3737,45969,0
1,10,supermarket items,gummybear,11015,56984,0
1,10,supermarket items,gum,8352,65336,0
1,10,supermarket items,candybar,6463,71799,0
1,10,supermarket items,kale,9585,81384,0
1,10,supermarket items,spinach,2306,83690,0
1,10,supermarket items,yogurt,4004,87694,0
1,10,supermarket items,soup,5624,93318,0
1,10,supermarket items,bread,1808,95126,0
1,10,supermarket items,bakingsoda,5468,100594,0
1,10,supermarket items,cooky,12164,112758,0
1,11,animals,cat,6091,6091,0
1,11,animals,ant,1076,7167,0
1,11,animals,anteater,3350,10517,0
1,11,animals,snake,7376,17893,0
1,11,animals,dinosaur,5773,23666,0
1,11,animals,dolphin,3733,27399,0
1,11,animals,ferret,5157,32556,0
1,11,animals,fly,2593,35149,0
1,11,animals,giraffe,5426,40575,0
1,11,animals,hyena,3333,43908,0
1,11,animals,lion,11992,55900,0
1,11,animals,leopard,2606,58506,0
1,11,animals,whale,3213,61719,0
1,11,animals,elephant,2535,64254,0
1,11,animals,rat,1603,65857,0
1,11,animals,tiger,3191,69048,0
1,11,animals,opossum,10864,79912,0
1,11,animals,octopus,3785,83697,0
1,11,animals,platypus,3738,87435,0
1,11,animals,duck,3680,91115,0
1,11,animals,dog,2089,93204,0
1,11,animals,wolf,9674,102878,0
1,11,animals,ray,7096,109974,0
1,11,animals,marmoset,3372,113346,0
1,11,animals,bird,4680,118026,0
1,12,supermarket items,browny,9970,9970,0
1,12,supermarket items,butter,5914,15884,0
1,12,supermarket items,bakingsoda,4502,20386,0
1,12,supermarket items,salt,5753,26139,0
1,12,supermarket items,sugar,2291,28430,0
1,12,supermarket items,hotchocolate,4619,33049,0
1,12,supermarket items,chocolatebar,4566,37615,0
1,12,supermarket items,chocolatechip,4167,41782,0
1,12,supermarket items,pepper,6079,47861,0
1,12,supermarket items,soup,16237,64098,0
1,12,supermarket items,carrot,5098,69196,0
1,12,supermarket items,ale,5216,74412,0
1,12,supermarket items,garlic,2323,76735,0
1,12,supermarket items,fig,11900,88635,0
1,12,supermarket items,cheese,6948,95583,0
1,12,supermarket items,cheesegrater,5107,100690,0
1,12,supermarket items,juice,4113,104803,0
1,12,supermarket items,kale,4112,108915,0
1,12,supermarket items,lime,4475,113390,0
1,13,animals,cat,4813,4813,0
1,13,animals,zebra,2742,7555,0
1,13,animals,horse,1123,8678,0
1,13,animals,hyena,2888,11566,0
1,13,animals,bat,16174,27740,0
1,13,animals,human,3287,31027,0
1,13,animals,giraffe,2703,33730,0
1,13,animals,tiger,1562,35292,0
1,13,animals,lion,1619,36911,0
1,13,animals,leopard,1910,38821,0
1,13,animals,puma,2438,41259,0
1,13,animals,cheetah,2571,43830,0
1,13,animals,spider,6299,50129,0
1,13,animals,bee,2408,52537,0
1,13,animals,mountainlion,7554,60091,0
1,13,animals,snake,13445,73536,0
1,13,animals,rat,1865,75401,0
1,13,animals,bee,11264,86665,0
