method,simnum,listnum,hit,miss,fa,cr,cost,startseed
fe,0,25,36,289,38,4587,327.0,0
rw,0,26,312,13,1037,3588,1050.0,0
goni,0,26,161,164,62,4563,226.0,0
chan,0,26,67,258,32,4593,290.0,0
kenett,0,26,66,259,228,4397,487.0,0
fe,0,26,37,288,40,4585,328.0,0
rw,0,27,314,11,1062,3563,1073.0,0
goni,0,27,164,161,67,4558,228.0,0
chan,0,27,67,258,32,4593,290.0,0
kenett,0,27,61,264,233,4392,497.0,0
fe,0,27,39,286,41,4584,327.0,0
rw,0,28,316,9,1085,3540,1094.0,0
goni,0,28,168,157,74,4551,231.0,0
chan,0,28,66,259,33,4592,292.0,0
kenett,0,28,69,256,225,4400,481.0,0
fe,0,28,42,283,41,4584,324.0,0
rw,0,29,316,9,1114,3511,1123.0,0
goni,0,29,169,156,74,4551,230.0,0
chan,0,29,67,258,32,4593,290.0,0
kenett,0,29,72,253,222,4403,475.0,0
fe,0,29,43,282,43,4582,325.0,0
rw,0,30,318,7,1139,3486,1146.0,0
goni,0,30,181,144,74,4551,218.0,0
chan,0,30,69,256,30,4595,286.0,0
kenett,0,30,68,257,226,4399,483.0,0
fe,0,30,46,279,43,4582,322.0,0
rw,0,31,319,6,1163,3462,1169.0,0
goni,0,31,184,141,80,4545,221.0,0
chan,0,31,71,254,28,4597,282.0,0
kenett,0,31,70,255,224,4401,479.0,0
fe,0,31,46,279,46,4579,325.0,0
rw,0,32,321,4,1192,3433,1196.0,0
goni,0,32,188,137,75,4550,212.0,0
chan,0,32,71,254,28,4597,282.0,0
kenett,0,32,66,259,228,4397,487.0,0
fe,0,32,46,279,48,4577,327.0,0
rw,0,33,323,2,1217,3408,1219.0,0
goni,0,33,189,136,77,4548,213.0,0
chan,0,33,70,255,30,4595,285.0,0
kenett,0,33,70,255,224,4401,479.0,0
fe,0,33,47,278,50,4575,328.0,0
rw,0,34,323,2,1239,3386,1241.0,0
goni,0,34,190,135,76,4549,211.0,0
chan,0,34,68,257,32,4593,289.0,0
kenett,0,34,74,251,220,4405,471.0,0
fe,0,34,49,276,51,4574,327.0,0
rw,0,35,323,2,1268,3357,1270.0,0
goni,0,35,190,135,77,4548,212.0,0
chan,0,35,70,255,30,4595,285.0,0
kenett,0,35,80,245,214,4411,459.0,0
fe,0,35,49,276,54,4571,330.0,0
rw,0,36,323,2,1296,3329,1298.0,0
goni,0,36,195,130,78,4547,208.0,0
chan,0,36,72,253,27,4598,280.0,0
kenett,0,36,71,254,223,4402,477.0,0
fe,0,36,51,274,55,4570,329.0,0
rw,0,37,324,1,1327,3298,1328.0,0
goni,0,37,198,127,84,4541,211.0,0
chan,0,37,71,254,28,4597,282.0,0
kenett,0,37,72,253,222,4403,475.0,0
fe,0,37,53,272,56,4569,328.0,0
rw,0,38,324,1,1350,3275,1351.0,0
goni,0,38,200,125,90,4535,215.0,0
chan,0,38,73,252,26,4599,278.0,0
kenett,0,38,72,253,222,4403,475.0,0
fe,0,38,55,270,57,4568,327.0,0
rw,0,39,324,1,1371,3254,1372.0,0
goni,0,39,206,119,95,4530,214.0,0
chan,0,39,73,252,26,4599,278.0,0
kenett,0,39,69,256,225,4400,481.0,0
fe,0,39,56,269,59,4566,328.0,0
rw,0,40,325,0,1394,3231,1394.0,0
goni,0,40,213,112,96,4529,208.0,0
chan,0,40,72,253,27,4598,280.0,0
kenett,0,40,74,251,220,4405,471.0,0
fe,0,40,57,268,60,4565,328.0,0
rw,0,41,325,0,1414,3211,1414.0,0
goni,0,41,210,115,102,4523,217.0,0
chan,0,41,74,251,25,4600,276.0,0
kenett,0,41,70,255,224,4401,479.0,0
fe,0,41,58,267,62,4563,329.0,0
rw,0,42,325,0,1434,3191,1434.0,0
goni,0,42,217,108,104,4521,212.0,0
chan,0,42,77,248,22,4603,270.0,0
kenett,0,42,83,242,211,4414,453.0,0
fe,0,42,61,264,62,4563,326.0,0
rw,0,43,325,0,1454,3171,1454.0,0
goni,0,43,217,108,102,4523,210.0,0
