13,rat,elephant,1,1
13,snake,cat,1,1
13,alligator,eagle,1,1
13,fox,bunny,1,1
13,cow,ox,1,1
13,gazelle,otter,1,1
13,monkey,ox,1,1
13,panther,bat,1,0
13,chicken,pig,1,1
13,ox,meerkat,1,1
13,anteater,elephant,1,1
13,wildabeast,meerkat,1,1
13,tiger,meerkat,1,1
13,gazelle,emu,0,1
13,snake,emu,1,1
13,eagle,bird,1,1
13,warthog,mouse,1,1
13,monkey,kangaroo,1,1
13,grizzlybear,rat,1,1
13,iguana,frog,1,1
13,penguin,emu,1,1
13,gazelle,lion,1,1
13,monkey,chimpanzee,1,1
13,ostrich,bird,1,1
13,jaguar,cheetah,1,1
13,fox,bird,1,1
13,lion,fish,1,0
13,penguin,lion,1,1
13,mouse,hyena,1,1
13,sheep,rat,1,1
13,cheetah,dog,1,1
13,panther,tiger,1,1
13,emu,ostrich,1,1
13,alligator,emu,1,1
13,mouse,raccoon,1,1
13,elephant,hyena,1,1
13,mouse,elephant,1,1
13,rhinocero,giraffe,1,1
13,emu,pig,1,1
13,gazelle,elephant,1,1
13,anteater,aardvark,1,1
13,gazelle,monkey,1,1
13,giraffe,meerkat,1,1
13,leopard,hyena,1,1
13,peacock,hyena,1,1
13,guineapig,hyena,1,0
13,gazelle,snake,1,1
13,bat,zebra,1,1
13,snake,bird,1,1
13,alligator,fish,1,1
13,cat,mouse,1,1
13,snake,pig,1,1
13,polarbear,raccoon,1,1
13,alligator,cow,1,1
13,polarbear,penguin,1,1
13,monkey,alligator,1,1
13,gazelle,bunny,1,1
13,otter,tiger,1,1
13,gazelle,panther,0,1
13,gazelle,cheetah,1,1
13,monkey,cheetah,1,1
13,penguin,ox,1,1
13,bat,cheetah,0,1
13,chicken,dog,1,1
13,lion,elephant,1,1
13,guineapig,leopard,1,1
13,vulture,eagle,1,1
13,kangaroo,aardvark,1,1
13,iguana,hyena,1,1
13,cheetah,hyena,1,1
13,pig,cow,1,1
13,gazelle,wildabeast,1,1
13,fish,bunny,0,1
13,penguin,fish,1,0
13,panther,zebra,1,1
13,cat,raccoon,1,0
13,alligator,snake,1,1
13,chimpanzee,eagle,1,1
13,fox,ox,1,1
13,cat,dog,1,1
13,mouse,meerkat,0,1
13,otter,grizzlybear,1,1
13,polarbear,chimpanzee,1,1
13,panther,cheetah,1,1
13,lion,hyena,1,1
13,rat,mouse,1,1
13,monkey,anteater,1,1
13,mouse,bird,1,1
13,jaguar,lion,0,1
13,ostrich,meerkat,1,1
13,vulture,fox,1,1
13,panther,lion,1,1
13,porcupine,fox,1,1
13,anteater,bird,1,1
13,snake,aardvark,1,1
13,monkey,mouse,1,1
13,tiger,lion,1,1
13,snake,guineapig,1,1
13,polarbear,bunny,1,1
13,iguana,alligator,1,1
13,jaguar,hyena,1,0
13,panther,hyena,1,1
13,frog,bunny,1,1
13,cat,fox,1,1
13,bunny,bird,1,1
13,hyena,bird,1,1
13,otter,warthog,1,1
13,chimpanzee,ostrich,1,1
13,panther,penguin,1,1
13,polarbear,snake,1,1
13,otter,porcupine,1,1
13,aardvark,dog,1,1
13,otter,ox,1,1
13,monkey,meerkat,1,1
13,lion,cheetah,1,1
13,dog,ostrich,1,1
13,otter,hyena,0,1
13,otter,fox,1,1
13,cat,bunny,1,1
13,giraffe,elephant,1,1
13,peacock,dog,1,1
13,eagle,ostrich,1,1
13,otter,penguin,1,1
