max_converge,theta,numgraphs,edgestotweak,numkeep,jeff,numperseed,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt,hit_orig,miss_orig,fa_orig,cr_orig,bestval_irts,bestval_noirt,bestval_orig
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,0,5,1,0,0,9,0,0:08:27.906187,0,2fc6njun5n0ekw1olfvxtgi2gjbq57ydyi70qck3rtau,0,0,25,5,4,71,0,0,0,0,0,0,0,0,-84.5553662442,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,1,5,1,1,0,16,0,0:13:08.900129,0,2q8sdxo3fpw9vi6glv97q0g0tw2pp7d42ml9rduvod92,0,0,21,9,7,68,0,0,0,0,0,0,0,0,-93.9110148972,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,2,5,1,2,0,8,0,0:12:09.681037,0,140p7oafdgbbzn3jvl32n4m478aouh0l5ff1jh6hinly,0,0,25,5,3,72,0,0,0,0,0,0,0,0,-82.9079393215,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,3,5,1,3,0,16,0,0:07:45.106428,0,2tzceqqpvnxskp49dfws9qhbviw3do196tn9fj0evz9m,0,0,22,8,8,67,0,0,0,0,0,0,0,0,-87.2414099951,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,4,5,1,4,0,14,0,0:06:40.468414,0,1pveph5jj8gzhxgxxwj7vvkte3vch8shqe5nhtuhmc5i,0,0,22,8,6,69,0,0,0,0,0,0,0,0,-84.6150508861,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,5,5,1,5,0,18,0,0:11:30.230241,0,2onrwwxeip2drd8230vp4k35dl6t40qyqz7ee74js3wg,0,0,24,6,12,63,0,0,0,0,0,0,0,0,-98.4202127783,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,6,5,1,6,0,7,0,0:09:23.744523,0,elp29qs797kc2vjqcsgeckg0lihp5jf9o224tyjjfic,0,0,25,5,2,73,0,0,0,0,0,0,0,0,-83.4103172561,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,7,5,1,7,0,14,0,0:08:27.218076,0,17o52onchsxue3739tf4u8ivk0i8si7cx40o0nzgl9nc,0,0,21,9,5,70,0,0,0,0,0,0,0,0,-95.445102803,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,8,5,1,8,0,13,0,0:11:08.200240,0,11erwacoeh2t9svmus5g0auxost1a7q3g8rqehrk9tzc,0,0,21,9,4,71,0,0,0,0,0,0,0,0,-84.510365505,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,9,5,1,9,0,14,0,0:09:27.773079,0,elohp6ahkpnx3if9537ztwgh77zvaoyo5ye7nx1zj0o,0,0,22,8,6,69,0,0,0,0,0,0,0,0,-102.140980727,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,10,5,1,10,0,18,0,0:10:53.405814,0,2ffr044vxskktfzh3j2gwtrz0fn3pwo9gwimrbsx6rcy,0,0,19,11,7,68,0,0,0,0,0,0,0,0,-82.0566252161,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,11,5,1,11,0,7,0,0:07:36.640666,0,1n4njsd46whmae5vhhnsglp4ljah7bq31had26lv0mjs,0,0,25,5,2,73,0,0,0,0,0,0,0,0,-88.1158759881,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,12,5,1,12,0,11,0,0:08:41.664694,0,eors8hquc3yw4smagqlqqn7h70wmnekknh7dstm639i,0,0,23,7,4,71,0,0,0,0,0,0,0,0,-83.3654866745,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,13,5,1,13,0,14,0,0:10:15.838173,0,t8n9mw1oii4kog7ii95vf7vesu93333tqwl18jk59n8,0,0,22,8,6,69,0,0,0,0,0,0,0,0,-88.7909088124,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,14,5,1,14,0,16,0,0:07:30.926327,0,3n9awygj9g0bisges53m2o60dubtncdyd4vn8qsqbe4,0,0,21,9,7,68,0,0,0,0,0,0,0,0,-91.8657104109,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,15,5,1,15,0,11,0,0:09:55.526496,0,1m9xaud6s7ptcq9hcmno2hycfcbjt288h627vuh513bo,0,0,24,6,5,70,0,0,0,0,0,0,0,0,-85.4709509068,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,16,5,1,16,0,16,0,0:09:17.412358,0,j3mgvchf8mq9lizfdqe7vkc6b5nogo0gu9swyhnlswc,0,0,22,8,8,67,0,0,0,0,0,0,0,0,-94.8297468683,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,17,5,1,17,0,14,0,0:10:10.897792,0,2vp19emsryrdz2cdfka7zs1hn3fus4r7z78fi4um7oxw,0,0,22,8,6,69,0,0,0,0,0,0,0,0,-86.78276115,0,0
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.9,50,1,15,4,0.4,30,18,5,1,18,0,16,0,0:08:53.690983,0,qvz5atls12n0ti3xes71iolk1kf0yj477sacstjimk,0,0,21,9,7,68,0,0,0,0,0,0,0,0,-81.8256078638,0,0
