max_converge,theta,numgraphs,edgestotweak,numkeep,jeff,numperseed,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt,hit_orig,miss_orig,fa_orig,cr_orig,bestval_irts,bestval_noirt,bestval_orig
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,14,5,0.7,14,17,22,16,0:05:03.917538,0:01:06.541411,140oqi8wwu5uz0k7u5v4alze7yzf7my00ohn5rb3zbqk,awxthpwhvx6tyypelqv2cld5b9dl20s6nabwr01t1yk,0,23,7,15,60,19,11,5,70,23,7,10,65,-48.9502271628,-60.359681373,-64.0044264473
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,15,5,0.7,15,15,12,13,0:04:07.241019,0:00:46.650397,9893e4efolnlibt49slnn7ii089vtq7sjnskb1p1w,1m8wgsdusi1pzw7sl4emvc9gevxjsvr26k5hzsh4akwk,0,24,6,6,69,23,7,6,69,25,5,10,65,-50.1722829969,-61.1731117382,-62.2406502793
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,16,5,0.7,16,19,19,15,0:03:50.766821,0:00:54.665523,s7km8bcvs3jhextyt04nwuamfubjgy8kag2us3j65hq,j3m6ie68uxpu7eoxl61nsgrb4n2qkn0b39rtypd91ho,0,25,5,14,61,22,8,7,68,23,7,12,63,-51.3250748838,-63.4710761471,-65.4618291193
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,17,5,0.7,17,17,13,19,0:08:23.192759,0:00:43.149486,2w5ep0b9ceuoywcko5d652d71sh3gii9op1178a2u58k,2w5emd90sqsw2fp38hkmsr9nsml19p6rw88rj1iqonqc,0,26,4,9,66,20,10,9,66,24,6,11,64,-46.8740934127,-63.1380938303,-64.9730271095
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,18,5,0.7,18,15,17,14,0:03:11.886158,0:00:29.030933,uzdygqc6zcznu5m9jxtxxxmn9io5qn0clu4bw72f4c,uz66r01i9860q6jl1hlv9jf6gh5900lhevkwcdwxsc,0,22,8,9,66,22,8,6,69,23,7,8,67,-43.0388427891,-56.5610804158,-57.7609460848
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,19,5,0.7,19,26,14,24,0:08:35.300910,0:00:29.894640,1m7xcbu4ehe7zfosr8421ifvdqkaq3e4bgh85eq3iknm,2fbo28ogqnluh1kfbez0n8ryu7j7g4r7s47cszetpzbe,0,22,8,6,69,21,9,15,60,21,9,17,58,-53.106463237,-69.0247512761,-69.8472509059
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,20,5,0.7,20,23,21,22,0:07:17.195472,0:00:52.062822,1puv2qowh4bqd4y8109yi3a9az99uz8t6qjxg99xmy50,1m7w7deofsx9b1v0vdunkmqt172q8pc0679vaifmprmc,0,22,8,13,62,19,11,11,64,22,8,15,60,-52.3603268729,-62.7535296951,-64.5224508806
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,21,5,0.7,21,18,18,21,0:03:27.156494,0:00:41.366803,1tmgvfqpaawy2yfi7nv1isj7f55wiknvo6gtranc5slq,1tmgvfpux2xx8l461by5mrqwnvwr0tvkxrcwpp7gogzu,0,22,8,10,65,18,12,9,66,22,8,10,65,-47.8423376365,-58.5291285549,-59.4720464696
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,22,5,0.7,22,23,13,15,0:05:25.031473,0:00:55.950667,2fdor79g0wx6a9r8fehc9gawtc04e7iutdpakx3p8r2e,1m9xutoo5p2wvgx5qzp0u11hnehv465mcpk1bzmssdmu,0,22,8,5,70,20,10,5,70,20,10,13,62,-47.6230837546,-58.3090354477,-62.3511433374
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,23,5,0.7,23,14,20,17,0:04:42.000256,0:00:34.505108,1mp9sxvyt8kz2hmqbpa02nm3f5wjftt6pi830bwc8nri,1m8wl8aoga684rcfgqje53vzhjox3o9pl15z31j2yg5m,0,21,9,11,64,19,11,6,69,24,6,8,67,-45.5429040325,-56.8714562198,-60.4473684531
