uinvite_hierarchical,0,50,264,129,32,12295,161.0,0
uinvite_hierarchical,1,50,267,126,29,12298,155.0,150
uinvite_hierarchical,2,50,268,125,31,12296,156.0,300
uinvite_hierarchical,3,50,264,129,27,12300,156.0,450
uinvite_hierarchical,4,50,263,130,28,12299,158.0,600
uinvite_hierarchical,5,50,263,130,25,12302,155.0,750
uinvite_hierarchical,6,50,254,139,37,12290,176.0,900
uinvite_hierarchical,7,50,256,137,38,12289,175.0,1050
uinvite_hierarchical,8,50,262,131,33,12294,164.0,1200
uinvite_hierarchical,9,50,257,136,29,12298,165.0,1350
