id,cond,category,item,RT
S001,5,supermarket items,mozzarella,6319
S001,5,supermarket items,parmesan,4459
S001,5,supermarket items,basil,1610
S001,5,supermarket items,orgeano,3975
S001,5,supermarket items,cilantro,3437
S001,5,supermarket items,spinach,4743
S001,5,supermarket items,icebergsalaat,2800
S001,5,supermarket items,eggs,5555
S001,5,supermarket items,salt,3812
S001,5,supermarket items,pepper,1530
S001,5,supermarket items,cheese,9072
S001,6,supermarket items,cleanex,16210
S001,6,supermarket items,swiffer,2851
S001,6,supermarket items,dogsfood,9563
S001,6,supermarket items,wine,4393
S001,6,supermarket items,beer,1097
S001,6,supermarket items,vodka,4570
S001,6,supermarket items,gin,1244
S001,6,supermarket items,gingerale,7259
S001,6,supermarket items,cocacola,3046
S001,6,supermarket items,sprite,1234
S001,6,supermarket items,fanta,1153
S001,6,supermarket items,cocoa,3808
S001,6,supermarket items,grapefuits,10050
S001,6,supermarket items,lemon,948
S001,6,supermarket items,clementine,2560
S001,6,supermarket items,peach,4748
S001,6,supermarket items,guacamole,8325
S001,6,supermarket items,mayonese,2208
S001,6,supermarket items,ketchup,1756
S001,6,supermarket items,mustard,5719
S001,6,supermarket items,patties,7934
S001,6,supermarket items,hotdogsausages,3751
S001,6,supermarket items,parmesan,4828
S001,6,supermarket items,pesto,4033
S001,7,animals,labrador,8739
S001,7,animals,poodle,1618
S001,7,animals,chihauhau,8452
S001,7,animals,syberiantiger,7314
S001,7,animals,hedgehof,6163
S001,7,animals,mammut,11319
S001,7,animals,dinosaur,4584
S001,7,animals,seastar,14920
S001,7,animals,crab,2814
S001,7,animals,lobster,1595
S001,7,animals,flea,22123
S001,7,animals,bug,3750
S001,8,supermarket items,gauda,18331
S001,8,supermarket items,swisscheese,4103
S001,8,supermarket items,americancheese,3136
S001,8,supermarket items,salami,3159
S001,8,supermarket items,prosciutto,3699
S001,8,supermarket items,bacon,6506
S001,8,supermarket items,steak,2962
S001,8,supermarket items,potato,9157
S001,8,supermarket items,pickles,5867
S001,8,supermarket items,eggs,1626
S001,8,supermarket items,kale,11476
S001,8,supermarket items,brusselssprouts,10341
S001,8,supermarket items,orangejuice,12192
S001,8,supermarket items,cranberryjuice,5528
S001,8,supermarket items,pineapple,6957
S001,8,supermarket items,watermelon,4644
S001,8,supermarket items,honeymelon,2234
S001,8,supermarket items,dragonfruit,7370
S001,9,animals,cleanerfish,9436
S001,9,animals,goldenretriever,23702
S001,9,animals,orca,8667
S001,9,animals,bluewhale,11079
S001,9,animals,whaleshark,5104
S001,9,animals,hammershark,5275
