subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5,rating,numratings,gtom
S100,turkey,mouse,0,1,0,0,0,0,1,0,25.25,4,0.814814814815
S100,komododragon,flamingo,0,0,0,0,0,1,0,0,21.25,4,0.931034482759
S100,ostrich,polarbear,0,1,0,0,0,0,1,0,31.0,4,0.742857142857
S100,bluebird,lobster,0,0,0,0,0,1,0,0,17.25,4,0.827586206897
S100,goldfish,hamster,0,1,0,1,0,0,1,0,34.5,4,0.913043478261
S100,koala,kangaroo,1,1,0,1,1,0,1,1,53.75,4,0.625
S100,hippopotamus,fish,0,1,0,0,0,0,1,0,20.75,4,0.875
S100,waterbear,walrus,0,0,0,0,0,1,0,0,60.0,3,1.0
S100,tortoise,seal,0,1,0,0,0,0,1,0,45.75,4,0.961538461538
S100,shark,canary,0,1,0,0,0,0,1,0,14.5,4,0.822222222222
S100,tarantula,rattlesnake,1,1,0,0,0,0,1,1,30.25,4,0.852941176471
S100,fly,swan,0,0,0,1,0,0,0,0,35.75,4,0.852941176471
S100,elephant,canary,0,1,0,0,0,0,1,0,19.75,4,0.96
S100,canary,toucan,0,1,0,1,0,0,1,1,72.0,3,0.906976744186
S100,bobcat,jaguar,0,1,0,0,0,0,1,1,82.75,4,0.571428571429
S100,kinkajou,chicken,0,0,0,0,0,1,0,0,71,1,0.928571428571
S100,dog,rooster,0,1,0,0,0,0,1,0,26.5,4,0.769230769231
S100,capybara,camel,0,1,0,0,0,0,1,0,42.6666666667,3,0.923076923077
S100,cheetah,snake,0,1,0,0,0,0,0,0,21.75,4,0.878787878788
S100,butterfly,kangaroo,0,1,0,0,0,0,1,0,18.5,4,0.882352941176
S100,arcticfox,fox,1,1,0,0,1,0,1,1,86.5,4,0.6
S100,wolverine,fox,0,1,0,0,0,0,1,0,51.75,4,0.795918367347
S100,antelope,gorilla,0,1,0,1,0,0,1,0,43.0,4,0.891891891892
S100,kitten,crow,0,1,0,0,1,0,1,0,25.75,4,0.903225806452
S100,sparrow,sugarglider,0,0,0,0,0,0,0,0,78.5,2,0.454545454545
S100,sparrow,chinchilla,1,1,0,0,0,0,1,1,31.75,4,0.673913043478
S100,pelican,crab,0,1,0,0,0,0,1,0,22.0,4,0.935483870968
S100,pigeon,cat,0,0,0,0,0,1,0,0,30.25,4,1.0
S100,lamb,pig,0,1,0,1,0,0,1,0,53.75,4,0.428571428571
S100,nakedmolerat,carp,0,0,0,0,0,1,0,0,44.3333333333,3,0.777777777778
S100,tiger,wolf,0,1,0,0,0,0,1,0,60.0,4,0.814814814815
S100,sheep,elk,0,1,0,0,0,0,1,0,52.0,4,0.913043478261
S100,panda,grizzlybear,1,1,0,1,1,0,1,1,84.25,4,0.307692307692
S100,seagull,armadillo,0,0,0,0,0,1,0,0,32.0,4,0.923076923077
S100,possum,sugarglider,0,0,0,0,0,1,0,0,62.0,2,0.454545454545
S100,turtle,bobcat,0,0,0,0,0,1,0,0,31.0,4,0.843137254902
S100,goat,mosquito,0,1,0,0,0,0,1,0,10.5,4,1.0
S100,steer,bull,1,1,0,0,0,0,1,1,86.0,3,0.782608695652
S100,beetle,vole,1,1,0,0,0,0,1,1,41.3333333333,3,0.703703703704
S100,snake,rabbit,0,1,0,0,0,0,1,0,20.25,4,0.909090909091
S100,flamingo,penguin,0,1,0,0,0,0,1,0,58.75,4,0.655172413793
S100,mule,ox,0,1,0,1,0,0,1,0,62.25,4,0.916666666667
S100,grasshopper,wren,1,1,0,0,1,0,1,1,24.0,3,0.95
S100,elk,cassowary,0,0,0,0,0,0,0,0,37.0,3,0.863636363636
S100,hawk,pig,0,1,0,0,0,0,1,0,18.0,4,0.952380952381
S100,pheasant,parrot,1,0,0,0,0,0,0,0,66.3333333333,3,0.666666666667
S100,mantis,parrot,0,0,0,0,0,1,0,0,25.0,4,0.75
S100,fly,bird,0,1,0,0,0,0,1,1,39.25,4,0.916666666667
S100,raccoon,alligator,0,1,0,0,0,0,1,0,27.0,4,0.95652173913
S100,wolf,robin,0,0,0,0,0,1,0,0,32.25,4,0.893617021277
S100,fawn,magpie,0,0,0,0,0,1,0,0,36.6666666667,3,0.962962962963
S100,bull,seacucumber,0,0,0,0,0,1,0,0,9.0,4,0.9
S100,beetle,snail,1,1,0,0,0,0,1,1,56.25,4,0.842105263158
S100,bat,fox,0,1,0,0,0,0,1,0,26.75,4,0.707317073171
S100,llama,sheep,0,1,0,0,0,0,1,0,72.75,4,0.84
S100,gazelle,tapir,0,0,0,0,0,1,0,0,32.3333333333,3,0.882352941176
S100,waterbear,emu,0,0,0,0,0,1,0,0,31.5,2,0.807692307692
S100,hornet,isopod,0,0,0,0,0,0,0,0,66,1,0.888888888889
S100,hawk,pufferfish,1,1,0,0,0,0,1,1,35.25,4,0.757575757576
S100,crow,toucan,0,0,0,1,0,0,0,0,78.5,4,0.69696969697
S100,crow,squid,0,0,0,0,0,1,0,0,19.25,4,0.69696969697
S100,egret,ferret,1,1,0,0,1,0,1,1,79,1,0.875
S100,swallow,polarbear,0,0,0,0,0,1,0,0,20.5,4,0.789473684211
S100,meerkat,gorilla,0,1,0,0,0,0,1,0,26.25,4,0.790697674419
S100,dolphin,eagle,0,1,0,0,0,0,1,0,28.6666666667,3,0.777777777778
S100,hippopotamus,skunk,0,1,0,0,0,0,1,0,23.25,4,0.875
S100,mockingjay,orangutan,0,0,0,0,0,0,0,0,26.25,4,NA
S100,blowfish,barracuda,1,1,0,0,1,0,1,1,54.75,4,1.0
S100,fawn,ferret,1,0,0,0,0,0,0,1,41.3333333333,3,0.828571428571
S100,vole,eagle,0,0,0,0,0,0,0,0,39.0,2,0.814814814815
S100,bison,stallion,0,0,0,0,0,1,0,0,43.5,4,1.0
S100,whale,mussel,1,1,0,0,0,0,1,1,18.25,4,0.64
S100,swordfish,bull,0,1,0,0,0,0,1,1,18.5,4,0.823529411765
S100,crow,hawk,0,1,0,1,0,0,1,1,96.75,4,0.636363636364
S100,cardinal,squid,0,0,0,0,0,0,0,1,24.5,4,0.705882352941
S100,macaque,alligator,1,1,0,0,0,0,1,1,30.0,2,0.869565217391
S100,warthog,conure,0,0,0,0,0,1,0,0,25.0,2,0.894736842105
S100,bear,cat,0,1,1,0,0,0,1,0,26.5,4,0.916666666667
S100,hedgehog,porcupine,1,1,0,1,1,0,1,1,79.25,4,0.566666666667
S100,gazelle,moose,0,1,0,0,0,0,1,0,58.0,4,0.764705882353
S100,kitten,chicken,0,0,0,0,0,1,0,0,44.0,4,0.774193548387
S100,iguana,python,1,1,0,0,0,0,1,1,63.25,4,0.875
S100,ant,polarbear,1,1,0,0,0,0,1,1,17.75,4,0.746478873239
S100,sloth,fox,0,1,0,0,0,0,1,0,35.5,4,0.775862068966
S100,woodpecker,mockingbird,1,1,0,0,1,0,1,1,80.0,4,0.681818181818
S100,cricket,weevil,0,0,0,0,0,0,0,0,63.5,2,0.823529411765
S100,ant,capuchin,0,0,0,0,0,1,0,0,50,1,0.857142857143
S100,buzzard,rabbit,0,0,0,0,0,1,0,0,29.0,4,0.941176470588
S100,seagull,axolotl,0,0,0,0,0,1,0,0,28,1,0.628571428571
S100,tiger,panther,0,1,0,1,0,0,1,0,84.5,4,0.740740740741
S100,komododragon,parakeet,0,0,0,0,0,1,0,0,32.3333333333,3,0.935483870968
S100,aardvark,lobster,0,0,0,0,0,1,0,0,16.0,3,0.827586206897
S100,toucan,rabbit,0,0,0,0,0,1,0,0,30.25,4,0.772727272727
S100,wildebeest,hog,1,1,0,0,0,0,1,1,38.0,3,0.885714285714
S100,beaver,wombat,0,1,0,0,0,0,1,0,60.75,4,0.45
S100,lemur,salmon,0,0,0,0,0,1,0,0,33.3333333333,3,0.785714285714
S100,humpbackwhale,whale,0,1,0,0,0,0,1,1,92.5,4,0.757575757576
S100,elephant,squirrel,0,1,0,0,0,0,0,0,33.75,4,0.96
S100,moose,elk,1,1,0,1,0,0,1,1,84.25,4,0.652173913043
S100,bluejay,mosquito,0,0,0,0,0,1,0,0,35.0,4,0.909090909091
S100,pony,gorilla,0,0,0,0,0,1,0,0,25.75,4,0.9375
S100,beetle,ladybug,0,0,0,0,0,1,0,0,87.5,4,0.685714285714
S100,dog,ram,0,0,0,0,0,1,0,0,40.5,4,0.923076923077
S100,emu,raptor,0,0,0,0,0,1,0,0,44.3333333333,3,0.962962962963
S100,iguana,cow,0,1,0,0,0,0,1,0,24.75,4,0.916666666667
S100,carp,pig,0,0,0,0,0,1,0,0,19.6666666667,3,0.952380952381
S100,tyrannosaurusrex,millipede,0,0,0,0,0,1,0,0,13.5,4,1.0
S100,sparrow,beaver,0,1,0,0,0,0,1,0,43.0,4,0.629032258065
S100,mockingbird,bandicoot,1,1,0,0,1,0,1,1,31.25,4,0.923076923077
S100,panda,sloth,0,1,0,0,0,1,1,1,54.75,4,0.788461538462
S100,fawn,sealion,0,0,0,0,0,1,0,0,12.0,2,0.928571428571
S100,panda,squirrel,0,1,0,0,0,0,0,0,27.75,4,0.846153846154
S100,chihuahua,honeybadger,0,0,0,0,0,1,0,0,32.75,4,0.885714285714
S100,boar,meerkat,1,1,0,0,0,0,1,1,41.6666666667,3,0.717391304348
S100,tapir,oxen,1,1,0,0,0,0,1,1,40.6666666667,3,0.8
S100,prairiedog,chicken,0,1,0,0,0,0,1,0,33.5,4,0.971428571429
S100,mantis,condor,0,0,0,0,0,1,0,0,29.25,4,1.0
S100,spidermonkey,seagull,0,0,0,0,0,1,0,0,37.25,4,0.888888888889
S100,xerus,warthog,1,1,0,0,1,0,1,1,64,1,0.8
S100,sugarglider,falcon,0,0,0,0,0,1,0,0,58.5,2,0.818181818182
S100,flamingo,wombat,1,1,0,0,0,0,1,1,33.0,3,0.95
S100,flamingo,alligator,0,0,0,0,0,1,0,0,22.5,4,1.0
S100,koala,capybara,0,1,0,0,0,0,1,0,72.3333333333,3,0.65625
S100,dolphin,camel,0,1,0,0,0,0,1,0,33.25,4,0.884615384615
S100,bullfrog,ape,0,0,0,0,0,1,0,0,18.25,4,0.952380952381
S100,wolverine,clownfish,0,0,0,0,0,1,0,0,19.75,4,0.931818181818
S100,redpanda,nightingale,0,0,0,0,0,1,0,0,31.0,3,0.826086956522
S100,turkey,rooster,0,1,0,1,0,0,1,1,91.0,4,0.733333333333
S100,platypus,spider,0,1,0,0,0,0,1,0,33.0,4,0.756097560976
S100,dove,bison,0,0,0,0,0,1,0,0,23.5,4,0.884615384615
S100,hawk,tiger,0,1,0,0,0,0,1,0,18.25,4,0.925925925926
S100,lion,penguin,0,1,1,0,1,0,1,0,31.75,4,0.692307692308
S100,bull,bruin,1,1,0,0,1,0,1,1,27.3333333333,3,0.692307692308
S100,oriole,bulldog,0,0,0,0,0,0,0,0,22.75,4,0.941176470588
S100,grasshopper,toad,0,1,0,0,0,0,1,1,23.6,5,0.75
S100,hammerheadshark,parakeet,0,0,0,0,0,1,0,0,19.0,6,0.9
S100,lion,rattlesnake,0,1,1,0,0,0,1,0,24.6666666667,6,0.769230769231
S100,sparrow,alpaca,0,0,0,0,0,1,0,0,6.8,5,0.857142857143
S100,crocodile,lion,0,1,0,0,0,0,0,0,14.2,5,0.769230769231
S100,guineapig,reindeer,0,0,0,0,0,1,0,0,19.0,5,0.8
S100,pigeon,gerbil,0,1,0,0,0,0,1,0,21.1666666667,6,0.913043478261
S100,peacock,tarantula,0,1,0,0,0,0,1,1,6.0,5,0.810810810811
S100,spidermonkey,lemur,1,1,0,0,0,0,1,1,78.6,5,0.611111111111
S100,tuna,donkey,0,1,0,0,0,0,1,0,7.6,5,1.0
S100,owl,finch,0,1,0,0,0,0,1,0,70.2,5,0.578947368421
S100,gull,bluewhale,0,0,0,0,0,1,0,0,13.6,5,1.0
S100,chicken,falcon,0,1,0,0,0,0,1,0,62.3333333333,6,0.815789473684
S100,xerus,flamingo,0,0,0,0,0,1,0,0,,0,1.0
S100,crocodile,otter,0,1,0,0,0,0,1,0,12.2,5,0.827586206897
S100,koala,hyena,0,1,0,0,0,0,1,0,29.1666666667,6,0.833333333333
S100,komododragon,stork,1,1,0,0,1,0,1,1,12.2,5,0.9375
S100,eagle,owl,0,1,0,1,1,0,1,1,82.6666666667,6,0.571428571429
S100,beetle,ant,1,1,0,1,1,0,1,1,75.4,5,0.80487804878
S100,elephant,bat,0,1,0,0,1,0,1,0,23.1666666667,6,1.0
S100,elephant,camel,0,1,0,0,0,0,1,0,37.1666666667,6,1.0
S100,ferret,ewe,0,0,0,0,0,1,0,0,38.5,2,0.8
S100,tasmaniandevil,bass,0,0,0,0,0,1,0,0,12.1666666667,6,0.833333333333
S100,puma,mosquito,0,0,0,0,0,1,0,0,6.83333333333,6,0.818181818182
