numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_windowgraph,time_windowgraph,bestgraph_windowgraph,hit_windowgraph,miss_windowgraph,fa_windowgraph,cr_windowgraph,ll_windowgraph
6,0.3,steyvers,4,50,0.7,0,stationary,7,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,166,119,119,:q_O?K?AA_?OOM?@@?ocCH@@O?GSL?A`gOSR?A`wGOL?@A@KSN@@?okC\@@?okSKIEo?WSLA@`QKU?JGdG?CFIHOAsGaSJPPhGp?@@A[kgXLP`HGf@Ap@?qCDDO__StJJEWg[k\`@Q`gzMGQaPaAA@dCcC][POqHOlDBA@k_QZOpaPk|BCCALCgULO?O_YZ`@RQV,-620.5841985,,,,136,00:00.4,:q_P?SCD@_o?_YJJ?@O{QGHf`PC]AAArWoqDDEo@XCh@@bXGgd?JDwHCcUcdrC?CBdp`Ggf@Adx`MSNHDZTWr?AfZkw`IaOPyIEbQRSK`AaeBRq]OOQiDTOkYPRT{kgbS^,68,98,38,1021,-586.2875891
6,0.3,steyvers,4,50,0.7,0,stationary,7,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,187,120,120,:q_O?K?AA_?OOM?@@?ocGECAo_WOJ?@?okSKF_?pCCED_?o_SP@AaG?KOL``?g]ACDbWo_QL_?__aECEO__[RBA@p{GR?@@ASCCBBO?GGGJa@OocbBBcape?CLo?OKIPaDr[KGXMo_paAGEcZ[?IKa@P{Ou]_?PWsp@AAphAABBAAxe?AADwWS[b_?ohC~?EBaQDPBAFwg[kYaAQcSYORP?w_WmW^,-655.5537901,,,,155,00:00.3,:q`_?SIFF@OHOCPBe`WWu\CDqPkGPBEPgW]?ACo?GWQQ__okUKPba`pe?C`CQkOn_@@acCZZeFRsS^CHDb[COLdbR{_WXOo?_SSXfQaPq?MbARs[k^aDByQ_YcBEF,66,121,34,1004,-653.357112
6,0.3,steyvers,4,50,0.7,0,stationary,8,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-710.3097729,,,,156,00:00.3,:q`?WS?CB__wSOJFcPg?GOIboHcM?LFoosg`Lfo`Gm^?FCwogYPkTW?CIY_@wC[OIFQASGSLLRcCGy^ecrkg|JQOsCk_QPoP[W[OPrRSKS]baSam[OJEYxiGDMGH\[r,67,117,39,1002,-748.2415089
6,0.3,steyvers,4,50,0.7,0,stationary,8,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,167,118,118,:q_O?K?AA_?OOM?@@?oc?CC_?OWUGF_?o_YCCBO?g_RCCawOcT@Ao@COOJaAACSOH_?oguEHHoo_yUOGqQ[?ERIDw?cUQheG__UPHO?GOL?@`O{_QPMOow_zHHdxH\@BAbQyAb??_o_yEFNor@s~CFeBK?EWOOOOwwcccqyAQ`PIhGmcXRo_`PCg`?oxI?DEEwgsp,-675.0275637,,,,117,00:00.4,:q`_W?GF??_gS?FCBp_{CPGa@`KwBOBA@[_UOa`w?yERaAh@AeS_OJC_aQHqg?MQPMPpD[tHJgGgsgVgfgGwrLFfR|s~CFeJ@p@@@BbaQQRJhhHOm`cuRYPNBFiGPGma_@PcSZ,80,87,30,1028,-676.8218799
6,0.3,steyvers,4,50,0.7,0,stationary,8,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,178,119,120,:q_O?K?AA_?OOM?@@?ocKGD_?OWOJCBP@CKGECoO_]ECB@p?iACAoo_cT?A@pWuGN_@phAGGDBGxE?HEP?gi?BHo?SCCEEoOWSNFECW?CCCa@p{CGEBbgWOMGEO?_{aX_@Owk|CCbAk?QKbbBSkeYMQ@PPBBA@wWOMecdCkOKHDDXxEEHEBR[WSKIFd[?CBKpgWc[dUOpXCsbhebzB,-692.5153119,,,,139,00:00.4,:q_OoGIAB`PoCcPB_@?siVBDP@k}MOcBG{?RIecwC[nDbcWGWQPaCgWyGGfcAHM@CCcGyEMKLSAYAOKIGW{OITRQQcWQIIhi[gvIIOoxeLECbcidXJGvByPSo,69,109,30,1017,-698.1992642
6,0.3,steyvers,4,50,0.7,0,stationary,8,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,180,121,121,:q_O?K?AA_?OOM?@@?ocGED___WU?@_?OWUAA@`W?eAA@`wKCCBEOO_WNABagGO^?AawOSR?Caw@?f?HO?GSMK_AqsCECB@w@WpBAAQ`Sn@BbwHEACFcRkKGDFOOOkcSJo`XOm__A@Gt@?@?oo]GDCb@puGMMFWWS][`?scSKNPoPxyEMQHW_[a\Spp`cu^fcRkS]bSOO`yKbSJgOoe_,-674.1468583,,,,140,00:00.4,:q_OGCEKB`?ws?J@@@XgeELaO`SCGDdqW?[V?GCywCJCDdgo{d?JEGoggUbsWHuWP_bHXOmZOOP?cYZ``O{OIMeBbk{wb``qaQ]bggDCwqcaCRk[W_TsRhxTDGhDCOONMFcAuKg`BA^,77,103,37,1008,-703.7567745
6,0.3,steyvers,4,50,0.7,0,stationary,9,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-801.6876787,,,,156,00:00.4,:q`?WS?CB__ocIGDbqGGY?ACAg{ANBAo@g}EEdCHk}CHDrw?wfEDBQLaAT_@RS?N?_A@OyOQ`A`hi[_`FR{se\dFhYQE_dcAQMAHDp`qMQL`abs[QcTra@WrYMPBaAQJjeUF,69,115,41,1000,-873.036538
6,0.3,steyvers,4,50,0.7,0,stationary,9,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,194,118,118,:q_O?K?AA_?OOM?@@?oc?CBAoOWOL@A@gGOPCA`_{CEDCoP?cV??`gGGFA@`?gqACCagG_WO``?g}CCA`pHA?ACBW?CCDCag_cfCCcQc_WOHo__S`@CDw__SXa@OosgT__`@iGEEfG?U?AAfG?GEGMPpp?iYa@PPSxBCbPs?ACAcWWObAABqSSQT`?q@KmfgDSSWWZOo?_[UM_ABccaSLO_W|NABaqQ}IOKe~,-828.4908008,,,,154,00:00.5,:q_OGSSB@@PHGEJG`a@Gm[A`@HSCOKEqwOeZ@DBqKcfCDdI@MGGGQ@p?nCDEWgWYTdbws?IO_?q`qCDCBqheMMGDW?OTHEbhX}EX`@@xIcTMHWOScVRHxGyKKbbck_g[NIYHhJA@hwwwrDL~,79,115,39,992,-922.5642364
6,0.3,steyvers,4,50,0.7,0,stationary,9,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,162,119,119,:q_O?K?AA_?OOM?@@?oc?ACAo?GUCCB@w?KGE_@?s?GE_@@K?AC_`pk?GHaAW_WNEBaP[ORBA@Pk?ECCdGWgUT_@A`YGHaAWWOh@BcgOONCIDW?CIQ_ErsKSJJOOWSh@GcbcKiU``BSoaSJfG_s[ZaCwWSUKHp@HbCd_@@KKiUPoOOSua`dQqq?gaEDKcoo,-809.8058351,,,,137,00:00.5,:q`_W?ICBAOGKCHBA@gsWT@_OOwuQKFOpK[WNbp?s[d?IQ`hIGLITwc_n@Juw_kjDBCbXqoZNO@OklBIDjdSl@LGH`CgVMRPtkzJECwOOofmGh?o^TJGwGGYSNGgWSkgdIH@`ROKGdJB,71,91,46,1017,-831.1546841
6,0.3,steyvers,4,50,0.7,0,stationary,9,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,181,120,122,:q_O?K?AA_?OOM?@@?ocGECAoOOOJ@A@Os?CBA@g?OIFa`wWOKFCPOwgV??_owa?DBoP?o\BA@WguECCO?ggWR_`OpMSKGcwGGQN_``xEKKIoQK?IVKQpgw^?fDGggWR`@?wcb?DDBX}KGEDAsKGGLfwG_[O_APQAR@CCCcCOMNHG?L@MQPPOo{abEW?KIEBbwggWRNo`G}?DCJWWSQMU~,-787.1334941,,,,139,00:00.5,:q_O?KIB@`PG?QSFbopSi]?A`xCQIJEooccWP`aHxMREGtWHEbLFBzoqSJEDxGoa\_PhOwu^_baC?QUedwH@HGFFkCyIKNGgoorBBCDKSULIfsIMCECapxYIGUoogcaZU~,74,107,32,1012,-885.8022869
