subj,node1,node2,uinvite,rw,windowvalid,uinvite_prior
S101,lion,human,0,1,0,0
S101,lion,squid,0,1,0,0
S101,lizard,camel,0,1,0,0
S101,lizard,mouse,0,1,0,0
S101,lizard,pig,0,1,0,0
S101,lizard,whale,0,1,0,0
S101,llama,goat,0,1,0,0
S101,llama,sheep,0,1,0,0
S101,monkey,bear,0,1,0,0
S101,monkey,blackwidow,0,1,0,0
S101,monkey,cow,0,1,0,0
S101,mouse,marten,0,1,0,0
S101,opossum,lion,0,1,0,0
S101,oryx,giraffe,0,1,0,0
S101,ostrich,chicken,0,1,0,0
S101,panda,cricket,0,1,0,0
S101,panda,dog,0,1,0,0
S101,panda,hamster,0,1,0,0
S101,panda,leopard,0,1,0,0
S101,parrot,bear,0,1,0,0
S101,peacock,koala,0,1,0,0
S101,peacock,panther,0,1,0,0
S101,pigeon,chicken,0,1,0,0
S101,piranha,tiger,0,1,0,0
S101,platypus,koala,0,1,0,0
S101,polarbear,parakeet,0,1,0,0
S101,possum,koala,0,1,0,0
S101,possum,leopard,0,1,0,0
S101,prairiedog,snake,0,1,0,0
S101,prayingmantis,ocelot,0,1,0,0
S101,python,skunk,0,1,0,0
S101,rat,wolf,0,1,0,0
S101,redpanda,boar,0,1,0,0
S101,rhinoceros,horse,0,1,0,0
S101,rhinoceros,leopard,0,1,0,0
S101,robin,moth,0,1,0,0
S101,sealion,belugawhale,0,1,0,0
S101,sheep,alpaca,0,1,0,0
S101,sheep,boar,0,1,0,0
S101,sheep,chicken,0,1,0,0
S101,sheep,tapir,0,1,0,0
S101,snail,penguin,0,1,0,0
S101,snake,quail,0,1,0,0
S101,snake,yak,0,1,0,0
S101,spider,lion,0,1,0,0
S101,stork,hyena,0,1,0,0
S101,tasmaniandevil,kangaroo,0,1,0,0
S101,tiger,buffalo,0,1,0,0
S101,turtle,dog,0,1,0,0
S101,turtle,stork,0,1,0,0
S101,whale,goldeneagle,0,1,0,0
S101,wildebeast,elk,0,1,0,0
S101,woolymammoth,elephant,0,1,0,0
S101,worm,chipmunk,0,1,0,0
S101,worm,penguin,0,1,0,0
S101,zebra,fox,0,1,0,0
S101,zebra,mammoth,0,1,0,0
S101,zebra,polarbear,0,1,0,0
S101,zebra,tiger,0,1,0,0
S101,alligator,toad,0,1,0,1
S101,ant,emu,0,1,0,1
S101,anteater,falcon,0,1,0,1
S101,antelope,mouse,0,1,0,1
S101,armadillo,fox,0,1,0,1
S101,armadillo,gazelle,0,1,0,1
S101,armadillo,seal,0,1,0,1
S101,armadillo,skunk,0,1,0,1
S101,bear,hamster,0,1,0,1
S101,bear,penguin,0,1,0,1
S101,bear,raccoon,0,1,0,1
S101,beaver,antelope,0,1,0,1
S101,beaver,sloth,0,1,0,1
S101,beaver,wolf,0,1,0,1
S101,bison,squid,0,1,0,1
S101,blowfish,penguin,0,1,0,1
S101,bluejay,swallow,0,1,0,1
S101,chameleon,mole,0,1,0,1
S101,cheetah,donkey,0,1,0,1
S101,cheetah,turkey,0,1,0,1
S101,chicken,ba,0,1,0,1
S101,chicken,owl,0,1,0,1
S101,chicken,wolf,0,1,0,1
S101,cougar,puma,0,1,0,1
S101,coyote,penguin,0,1,0,1
S101,coyotee,bear,0,1,0,1
S101,coyotee,hyena,0,1,0,1
S101,crocodile,mouse,0,1,0,1
S101,dolphin,dog,0,1,0,1
S101,dolphin,hawk,0,1,0,1
S101,dolphin,manatee,0,1,0,1
S101,dolphin,penguin,0,1,0,1
S101,dolphin,sparrow,0,1,0,1
S101,donkey,orangutan,0,1,0,1
S101,donkey,wolf,0,1,0,1
S101,duck,crow,0,1,0,1
S101,eagle,swallow,0,1,0,1
S101,elephant,bear,0,1,0,1
S101,elephant,ostrich,0,1,0,1
S101,elk,caribou,0,1,0,1
S101,emu,lizard,0,1,0,1
S101,emu,penguin,0,1,0,1
S101,falcon,penguin,0,1,0,1
S101,fish,chicken,0,1,0,1
S101,fish,octopus,0,1,0,1
S101,fish,owl,0,1,0,1
S101,fish,raccoon,0,1,0,1
S101,flamingo,toad,0,1,0,1
S101,giraffe,bear,0,1,0,1
S101,guineapig,wolf,0,1,0,1
S101,hawk,ostrich,0,1,0,1
S101,hawk,parrot,0,1,0,1
S101,hedgehog,porcupine,0,1,0,1
S101,hedgehog,trout,0,1,0,1
S101,horse,penguin,0,1,0,1
S101,iguana,mouse,0,1,0,1
S101,koala,sloth,0,1,0,1
S101,lemur,marmoset,0,1,0,1
S101,monkey,eel,0,1,0,1
S101,monkey,hyena,0,1,0,1
S101,monkey,tiger,0,1,0,1
S101,moose,camel,0,1,0,1
S101,moose,ox,0,1,0,1
S101,mountainlion,bobcat,0,1,0,1
S101,orca,stingray,0,1,0,1
S101,otter,orca,0,1,0,1
S101,otter,polarbear,0,1,0,1
S101,pandabear,grizzlybear,0,1,0,1
S101,pandabear,platypus,0,1,0,1
S101,parrot,fish,0,1,0,1
S101,parrot,grizzlybear,0,1,0,1
S101,parrot,mouse,0,1,0,1
S101,platypus,sheep,0,1,0,1
S101,porcupine,pig,0,1,0,1
S101,possum,mouse,0,1,0,1
S101,rabbit,mouse,0,1,0,1
S101,rabbit,ox,0,1,0,1
S101,rat,mongoose,0,1,0,1
S101,rat,moose,0,1,0,1
S101,rat,penguin,0,1,0,1
S101,rat,raccoon,0,1,0,1
S101,rhinoceros,camel,0,1,0,1
S101,rhinoceros,flamingo,0,1,0,1
S101,rhinoceros,giraffe,0,1,0,1
S101,rhinoceros,mantis,0,1,0,1
S101,rhinoceros,panda,0,1,0,1
S101,rhinoceros,tiger,0,1,0,1
S101,seacow,kangaroo,0,1,0,1
S101,shark,rhinoceros,0,1,0,1
S101,shrew,gorilla,0,1,0,1
S101,skunk,racoon,0,1,0,1
S101,skunk,tiger,0,1,0,1
S101,snake,ferret,0,1,0,1
S101,snake,meerkat,0,1,0,1
S101,spidermonkey,snake,0,1,0,1
S101,sugarglider,monkey,0,1,0,1
S101,swan,elephant,0,1,0,1
S101,swan,hawk,0,1,0,1
S101,tiger,panther,0,1,0,1
S101,weasel,wolf,0,1,0,1
S101,whale,stingray,0,1,0,1
S101,yellowjacket,hyena,0,1,0,1
S101,zebra,warthog,0,1,0,1
S101,blackbear,bear,0,1,1,0
S101,cat,lovebird,0,1,1,0
S101,guineapig,gerbil,0,1,1,0
S101,hawk,bird,0,1,1,0
S101,llama,dog,0,1,1,0
S101,platypus,kangaroo,0,1,1,0
S101,squirrel,squid,0,1,1,0
S101,antelope,fish,0,1,1,1
S101,armadillo,brownbear,0,1,1,1
S101,bull,pig,0,1,1,1
S101,dog,slug,0,1,1,1
S101,eagle,crane,0,1,1,1
S101,ferret,boar,0,1,1,1
S101,mouse,hamster,0,1,1,1
S101,ostrich,alpaca,0,1,1,1
S101,otter,weasel,0,1,1,1
S101,starfish,whale,0,1,1,1
