subj,item1,item2,bb5,bb6,bb7,bb8,bb9,zibb5,zibb6,zibb7,zibb8,zibb9
S100,ibex,ox,1,1,0,0,0,1,1,0,0,0
S100,spidermonkey,lemur,1,1,0,0,0,1,1,0,0,0
S100,cheetah,dodo,0,0,0,0,0,1,0,0,0,0
S100,ibis,gazelle,1,1,0,0,0,0,0,0,0,0
S100,monkey,gorilla,1,0,0,0,0,1,1,1,1,1
S100,eagle,blueheron,1,1,0,0,0,1,1,0,0,0
S100,shrew,emu,1,1,0,0,0,1,1,0,0,0
S100,spider,centipede,0,0,0,0,0,1,0,0,0,0
S100,parrot,hamster,0,0,0,0,0,1,0,0,0,0
S100,bear,cod,1,1,0,0,0,1,1,0,0,0
S100,elephant,dodo,0,0,0,0,0,1,0,0,0,0
S100,dragon,frog,1,1,0,0,0,1,1,0,0,0
S100,nakedmolerat,lemur,1,1,0,0,0,1,1,0,0,0
S100,swordfish,bull,0,0,0,0,0,1,0,0,0,0
S100,peccary,alligator,1,1,0,0,0,0,0,0,0,0
S100,dingo,koala,0,0,0,0,0,1,0,0,0,0
S100,marmoset,gorilla,0,0,0,0,0,1,1,1,0,0
S100,shark,ox,0,0,0,0,0,1,0,0,0,0
S100,oxen,buffalo,1,1,0,0,0,1,1,0,0,0
S100,eagle,vulture,1,1,1,0,0,1,1,1,0,0
S100,serval,chimpanzee,1,1,0,0,0,1,1,0,0,0
S100,anaconda,manx,0,0,0,0,0,1,1,0,0,0
S100,rhinoceros,cattle,1,1,0,0,0,1,1,0,0,0
S100,mink,chinchilla,1,1,0,0,0,1,1,0,0,0
S100,stinkbug,carpetbeetle,1,1,0,0,0,1,1,0,0,0
S100,sheep,cow,1,0,0,0,0,1,1,1,1,1
S100,chameleon,newt,1,1,0,0,0,1,1,0,0,0
S100,weasel,marmot,1,1,0,0,0,1,1,0,0,0
S100,bear,weevil,0,0,0,0,0,1,1,0,0,0
S100,wasp,moth,1,1,0,0,0,1,1,0,0,0
S100,crow,raven,1,1,1,0,0,1,1,1,0,0
S100,piranha,clam,1,1,0,0,0,1,1,0,0,0
S100,anteater,sloth,1,0,0,0,0,1,1,0,0,0
S100,turkey,duck,1,1,1,1,0,1,1,1,1,0
S100,crow,buzzard,1,1,0,0,0,1,1,0,0,0
S100,bear,pika,1,1,0,0,0,1,1,0,0,0
S100,mountainlion,sheep,0,0,0,0,0,1,0,0,0,0
S100,skunk,wombat,0,0,0,0,0,1,1,0,0,0
S100,dinosaur,butterfly,1,1,0,0,0,1,1,0,0,0
S100,clownfish,owl,1,1,0,0,0,1,1,0,0,0
S100,ram,owl,0,0,0,0,0,1,0,0,0,0
S100,canary,spider,0,0,0,0,0,1,0,0,0,0
S100,bunny,rabbit,0,0,0,0,0,1,0,0,0,0
S100,grasshopper,honeybadger,1,1,0,0,0,1,1,0,0,0
S100,spidermonkey,wolf,1,1,0,0,0,1,1,0,0,0
S100,nightingale,moose,1,1,0,0,0,0,0,0,0,0
S100,rattlesnake,armadillo,1,1,0,0,0,1,1,0,0,0
S100,butterfly,moth,1,1,1,0,0,1,1,1,0,0
S100,iguana,bluejay,0,0,0,0,0,1,0,0,0,0
S100,dinosaur,lizard,1,1,0,0,0,1,1,0,0,0
S100,boar,meerkat,1,1,0,0,0,1,1,0,0,0
S100,monkey,ape,1,1,1,1,0,1,1,1,1,1
S100,wolf,millipede,1,1,0,0,0,1,1,0,0,0
S100,anteater,llama,0,0,0,0,0,1,0,0,0,0
S100,waterbear,koala,1,1,0,0,0,1,1,0,0,0
S100,groundhog,beaver,1,1,0,0,0,1,1,1,0,0
S100,groundhog,marmoset,0,0,0,0,0,1,0,0,0,0
S100,echidna,hedgehog,1,1,0,0,0,1,1,0,0,0
S100,carp,beaver,1,1,0,0,0,1,1,0,0,0
S100,rat,swallow,0,0,0,0,0,1,0,0,0,0
S100,tarantula,rattlesnake,1,1,0,0,0,1,1,0,0,0
S100,bird,duck,0,0,0,0,0,1,0,0,0,0
S100,salamander,bee,0,0,0,0,0,1,0,0,0,0
S100,bee,sparrow,0,0,0,0,0,1,0,0,0,0
S100,eagle,sparrow,0,0,0,0,0,1,0,0,0,0
S100,pony,horse,1,1,1,1,0,1,1,1,1,0
S100,tuna,salmon,1,1,1,0,0,1,1,1,0,0
S100,wallaby,gecko,1,1,0,0,0,1,1,0,0,0
S100,elephant,giraffe,0,0,0,0,0,1,1,1,1,1
S100,rat,gopher,1,1,1,0,0,1,1,1,0,0
S100,salamander,emu,1,1,0,0,0,1,1,0,0,0
S100,rhinoceros,giraffe,0,0,0,0,0,1,0,0,0,0
S100,goat,sheep,1,1,0,0,0,1,1,1,1,1
S100,chowchow,wolf,1,1,0,0,0,1,1,0,0,0
