method,simnum,listnum,hit,miss,fa,cr,cost
uinvite_irt,0,1,59,334,39,12288,373.0
uinvite_irt,0,2,107,286,66,12261,352.0
uinvite_irt,0,3,128,265,86,12241,351.0
uinvite_irt,0,4,149,244,105,12222,349.0
uinvite_irt,0,5,156,237,112,12215,349.0
