method,simnum,listnum,hit,miss,fa,cr,cost
uinvite_flat_irt,0,1,59,334,39,12288,373.0
uinvite_flat_irt,0,2,114,279,66,12261,345.0
uinvite_flat_irt,0,3,156,237,100,12227,337.0
uinvite_flat_irt,0,4,199,194,136,12191,330.0
uinvite_flat_irt,0,5,223,170,155,12172,325.0
uinvite_flat_irt,0,6,248,145,179,12148,324.0
uinvite_flat_irt,0,7,271,122,199,12128,321.0
