id,listnum,category,item,RT,RTstart,group
A102,3,animals,cheetah,21254,108886,Experiment1
A102,3,animals,leopard,2786,111672,Experiment1
A102,3,animals,jaguar,3287,114959,Experiment1
A102,3,animals,mountainlion,4264,119223,Experiment1
A102,3,animals,bobcat,8441,127664,Experiment1
A102,4,vegetables,tomato,6568,6568,Experiment1
A102,4,vegetables,greenpepper,3606,10174,Experiment1
A102,4,vegetables,greenbean,3687,13861,Experiment1
A102,4,vegetables,pea,3466,17327,Experiment1
A102,4,vegetables,corn,2541,19868,Experiment1
A102,4,vegetables,broccoli,3196,23064,Experiment1
A102,4,vegetables,cauliflower,2769,25833,Experiment1
A102,4,vegetables,lettuce,3656,29489,Experiment1
A102,4,vegetables,spinach,2289,31778,Experiment1
A102,4,vegetables,kale,1452,33230,Experiment1
A102,4,vegetables,carrot,4246,37476,Experiment1
A102,4,vegetables,cabbage,2613,40089,Experiment1
A102,4,vegetables,potato,8494,48583,Experiment1
A102,4,vegetables,squash,15661,64244,Experiment1
A102,4,vegetables,zucchini,4547,68791,Experiment1
A102,4,vegetables,beet,6802,75593,Experiment1
A102,4,vegetables,cucumber,55012,130605,Experiment1
A102,4,vegetables,pickle,13131,143736,Experiment1
A102,5,fruits,pear,3351,3351,Experiment1
A102,5,fruits,apple,2147,5498,Experiment1
A102,5,fruits,banana,2283,7781,Experiment1
A102,5,fruits,pineapple,4940,12721,Experiment1
A102,5,fruits,coconut,3607,16328,Experiment1
A102,5,fruits,grape,5327,21655,Experiment1
A102,5,fruits,watermelon,2650,24305,Experiment1
A102,5,fruits,honeydew,2956,27261,Experiment1
A102,5,fruits,cantaloupe,7887,35148,Experiment1
A102,5,fruits,strawberry,5031,40179,Experiment1
A102,5,fruits,lime,10052,50231,Experiment1
A102,5,fruits,lemon,2072,52303,Experiment1
A102,5,fruits,kiwi,8593,60896,Experiment1
A102,5,fruits,pomegranate,5737,66633,Experiment1
A102,5,fruits,orange,10600,77233,Experiment1
A102,5,fruits,tangerine,2181,79414,Experiment1
A102,5,fruits,avocado,26523,105937,Experiment1
A102,5,fruits,grapefruit,13161,119098,Experiment1
A102,6,animals,bear,4020,4020,Experiment1
A102,6,animals,fox,2099,6119,Experiment1
A102,6,animals,dog,2471,8590,Experiment1
A102,6,animals,cat,1637,10227,Experiment1
A102,6,animals,lion,2960,13187,Experiment1
A102,6,animals,tiger,2202,15389,Experiment1
A102,6,animals,elephant,2332,17721,Experiment1
A102,6,animals,cheetah,2678,20399,Experiment1
A102,6,animals,leopard,2663,23062,Experiment1
A102,6,animals,jaguar,2275,25337,Experiment1
A102,6,animals,bobcat,4377,29714,Experiment1
A102,6,animals,horse,9094,38808,Experiment1
A102,6,animals,donkey,2864,41672,Experiment1
A102,6,animals,llama,2724,44396,Experiment1
A102,6,animals,giraffe,2162,46558,Experiment1
A102,6,animals,cat,1066,47624,Experiment1
A102,6,animals,dog,1430,49054,Experiment1
A102,6,animals,monkey,3347,52401,Experiment1
A102,6,animals,turtle,5410,57811,Experiment1
A102,6,animals,wolf,8632,66443,Experiment1
A102,6,animals,hyena,3656,70099,Experiment1
A102,6,animals,coyote,6613,76712,Experiment1
A102,6,animals,fox,4487,81199,Experiment1
A102,6,animals,zebra,12442,93641,Experiment1
A102,6,animals,falcon,39444,133085,Experiment1
A102,6,animals,owl,2561,135646,Experiment1
A102,6,animals,turkey,3266,138912,Experiment1
A102,6,animals,ostrich,3581,142493,Experiment1
A102,7,fruits,pear,4752,4752,Experiment1
A102,7,fruits,banana,4066,8818,Experiment1
A102,7,fruits,apple,1420,10238,Experiment1
A102,7,fruits,orange,1811,12049,Experiment1
A102,7,fruits,tangerine,2309,14358,Experiment1
A102,7,fruits,coconut,8395,22753,Experiment1
A102,7,fruits,pineapple,8230,30983,Experiment1
A102,7,fruits,pomegranate,5305,36288,Experiment1
A102,7,fruits,orange,8871,45159,Experiment1
A102,7,fruits,tangerine,2583,47742,Experiment1
A102,7,fruits,watermelon,3236,50978,Experiment1
A102,7,fruits,honeydew,4084,55062,Experiment1
A102,7,fruits,grapefruit,4634,59696,Experiment1
A102,7,fruits,grape,2712,62408,Experiment1
A102,7,fruits,lime,11130,73538,Experiment1
A102,7,fruits,lemon,2076,75614,Experiment1
A102,7,fruits,kiwi,5490,81104,Experiment1
A102,7,fruits,peach,8007,89111,Experiment1
A102,7,fruits,plum,3329,92440,Experiment1
A102,7,fruits,strawberry,8626,101066,Experiment1
A102,8,vegetables,greenbean,5669,5669,Experiment1
A102,8,vegetables,pea,1183,6852,Experiment1
A102,8,vegetables,lettuce,2182,9034,Experiment1
A102,8,vegetables,kale,1838,10872,Experiment1
A102,8,vegetables,spinach,2118,12990,Experiment1
A102,8,vegetables,cucumber,2543,15533,Experiment1
A102,8,vegetables,squash,3616,19149,Experiment1
A102,8,vegetables,tomato,7642,26791,Experiment1
A102,8,vegetables,potato,2838,29629,Experiment1
A102,8,vegetables,corn,2411,32040,Experiment1
A102,8,vegetables,brusselsprout,10124,42164,Experiment1
A102,8,vegetables,broccoli,3429,45593,Experiment1
A102,8,vegetables,cauliflower,3152,48745,Experiment1
A102,8,vegetables,collardgreen,11587,60332,Experiment1
A102,8,vegetables,carrot,11298,71630,Experiment1
A102,8,vegetables,cabbage,1813,73443,Experiment1
A103,0,fruits,strawberry,5050,5050,Experiment1
A103,0,fruits,tomato,2459,7509,Experiment1
A103,0,fruits,banana,1068,8577,Experiment1
A103,0,fruits,pineapple,4270,12847,Experiment1
A103,0,fruits,apple,1286,14133,Experiment1
A103,0,fruits,blueberry,2693,16826,Experiment1
A103,0,fruits,raspberry,2011,18837,Experiment1
A103,0,fruits,kiwi,3687,22524,Experiment1
A103,0,fruits,melon,5317,27841,Experiment1
A103,0,fruits,mango,1372,29213,Experiment1
A103,0,fruits,pear,1126,30339,Experiment1
A103,0,fruits,peach,4527,34866,Experiment1
A103,0,fruits,plum,4960,39826,Experiment1
A103,0,fruits,blackberry,2748,42574,Experiment1
A103,0,fruits,blueberry,5098,47672,Experiment1
A103,0,fruits,cantaloupe,8170,55842,Experiment1
A103,0,fruits,lemon,4923,60765,Experiment1
A103,0,fruits,lime,1398,62163,Experiment1
A103,0,fruits,starfruit,13049,75212,Experiment1
A103,0,fruits,grapefruit,6617,81829,Experiment1
A103,0,fruits,grape,1316,83145,Experiment1
A103,0,fruits,apricot,20840,103985,Experiment1
A103,0,fruits,raisin,8408,112393,Experiment1
A103,0,fruits,pomegranate,29716,142109,Experiment1
A103,0,fruits,watermelon,17801,159910,Experiment1
A103,1,vegetables,corn,3617,3617,Experiment1
A103,1,vegetables,potato,13005,16622,Experiment1
A103,1,vegetables,lettuce,7329,23951,Experiment1
A103,1,vegetables,asparagus,6648,30599,Experiment1
A103,1,vegetables,broccolini,8957,39556,Experiment1
A103,1,vegetables,broccoli,5534,45090,Experiment1
A103,1,vegetables,cauliflower,5190,50280,Experiment1
A103,1,vegetables,pea,5692,55972,Experiment1
A103,1,vegetables,pumpkin,25065,81037,Experiment1
A103,1,vegetables,kale,7579,88616,Experiment1
A103,1,vegetables,carrot,10771,99387,Experiment1
A103,1,vegetables,cucumber,3534,102921,Experiment1
A103,1,vegetables,zucchini,3971,106892,Experiment1
A103,1,vegetables,rutabaga,13829,120721,Experiment1
A103,1,vegetables,beet,12138,132859,Experiment1
A103,1,vegetables,radish,1260,134119,Experiment1
A103,1,vegetables,swisschard,10273,144392,Experiment1
A103,1,vegetables,bokchoy,2863,147255,Experiment1
A103,1,vegetables,onion,11833,159088,Experiment1
A103,1,vegetables,garlic,1883,160971,Experiment1
A103,2,animals,dog,2792,2792,Experiment1
A103,2,animals,sloth,955,3747,Experiment1
A103,2,animals,cat,819,4566,Experiment1
A103,2,animals,human,3198,7764,Experiment1
A103,2,animals,cheetah,9056,16820,Experiment1
A103,2,animals,tiger,1480,18300,Experiment1
A103,2,animals,gorilla,1306,19606,Experiment1
A103,2,animals,zebra,5451,25057,Experiment1
A103,2,animals,lion,2283,27340,Experiment1
A103,2,animals,turtle,1974,29314,Experiment1
A103,2,animals,slowloris,4383,33697,Experiment1
A103,2,animals,rabbit,5479,39176,Experiment1
A103,2,animals,capybara,22256,61432,Experiment1
A103,2,animals,alpaca,2694,64126,Experiment1
A103,2,animals,llama,6385,70511,Experiment1
A103,2,animals,redpanda,2484,72995,Experiment1
A103,2,animals,panda,1183,74178,Experiment1
A103,2,animals,donkey,4800,78978,Experiment1
A103,2,animals,mule,6198,85176,Experiment1
A103,2,animals,giraffe,4404,89580,Experiment1
A103,2,animals,goat,1847,91427,Experiment1
A103,2,animals,rat,1637,93064,Experiment1
A103,2,animals,mouse,1870,94934,Experiment1
A103,2,animals,gerbil,1734,96668,Experiment1
A103,2,animals,hamster,2802,99470,Experiment1
A103,2,animals,ferret,1423,100893,Experiment1
A103,2,animals,weasel,2377,103270,Experiment1
A103,2,animals,mink,1037,104307,Experiment1
A103,2,animals,wolf,1102,105409,Experiment1
A103,2,animals,snake,5690,111099,Experiment1
A103,2,animals,goldfish,3687,114786,Experiment1
A103,2,animals,piranha,3161,117947,Experiment1
A103,2,animals,mantis,15329,133276,Experiment1
A103,2,animals,ocelot,3321,136597,Experiment1
A103,2,animals,octopus,6678,143275,Experiment1
A103,2,animals,raven,2632,145907,Experiment1
A103,2,animals,crow,4603,150510,Experiment1
A103,2,animals,cranefly,4769,155279,Experiment1
A103,2,animals,crane,3523,158802,Experiment1
A103,2,animals,eagle,2446,161248,Experiment1
A103,2,animals,parrot,1151,162399,Experiment1
A103,2,animals,hawk,2514,164913,Experiment1
A103,2,animals,tick,4626,169539,Experiment1
A103,2,animals,snail,893,170432,Experiment1
A103,2,animals,penguin,4978,175410,Experiment1
A103,3,vegetables,kale,4212,4212,Experiment1
A103,3,vegetables,lettuce,6161,10373,Experiment1
A103,3,vegetables,corn,4251,14624,Experiment1
A103,3,vegetables,babycorn,5571,20195,Experiment1
A103,3,vegetables,cabbage,10534,30729,Experiment1
A103,3,vegetables,spinach,2402,33131,Experiment1
A103,3,vegetables,bokchoy,4449,37580,Experiment1
A103,3,vegetables,cucumber,4680,42260,Experiment1
A103,3,vegetables,broccolini,6817,49077,Experiment1
A103,3,vegetables,broccoli,3414,52491,Experiment1
A103,3,vegetables,carrot,1085,53576,Experiment1
A103,3,vegetables,cauliflower,5454,59030,Experiment1
A103,3,vegetables,potato,5994,65024,Experiment1
A103,3,vegetables,pea,4936,69960,Experiment1
A103,3,vegetables,chard,1127,71087,Experiment1
A103,3,vegetables,radish,5094,76181,Experiment1
A103,3,vegetables,onion,2113,78294,Experiment1
A103,3,vegetables,garlic,1219,79513,Experiment1
A103,3,vegetables,shallot,1808,81321,Experiment1
A103,3,vegetables,pearlonion,5259,86580,Experiment1
A103,3,vegetables,greenonion,1937,88517,Experiment1
A103,3,vegetables,chive,1404,89921,Experiment1
A103,3,vegetables,bellpepper,8213,98134,Experiment1
A103,3,vegetables,jalapenopepper,8729,106863,Experiment1
A103,3,vegetables,zucchini,5430,112293,Experiment1
A103,3,vegetables,pumpkin,5309,117602,Experiment1
A103,3,vegetables,squash,1528,119130,Experiment1
A103,3,vegetables,snappea,59670,178800,Experiment1
A103,4,fruits,strawberry,4750,4750,Experiment1
A103,4,fruits,pineapple,2449,7199,Experiment1
A103,4,fruits,apricot,5016,12215,Experiment1
A103,4,fruits,blueberry,3269,15484,Experiment1
A103,4,fruits,raspberry,3335,18819,Experiment1
A103,4,fruits,blackberry,1845,20664,Experiment1
A103,4,fruits,salmonberry,5915,26579,Experiment1
A103,4,fruits,pear,5019,31598,Experiment1
A103,4,fruits,peach,1728,33326,Experiment1
A103,4,fruits,lemon,7823,41149,Experiment1
A103,4,fruits,lime,1065,42214,Experiment1
A103,4,fruits,orange,1197,43411,Experiment1
A103,4,fruits,tomato,2009,45420,Experiment1
A103,4,fruits,mango,7396,52816,Experiment1
