#word,val
drink,247.39
Dad,507.25
six,199.53
answer,176.2
feeling,168.18
hour,162.29
full,166.9
along,182.94
glad,171.37
speak,187.18
quite,202.59
buy,192.43
able,159.9
death,216.69
free,177.53
stupid,184.41
running,157.92
story,220.78
lose,164.35
send,179.78
trust,178.18
shot,227.43
hot,189.84
truth,192.18
honey,300.49
clear,171.82
till,166.73
lady,217.08
water,225.06
town,247.92
bed,187.12
living,156.53
seem,139.82
Mom,430.39
sound,143.39
happens,137.18
lives,139.69
save,162.31
taken,138.65
months,163.02
serious,148.35
touch,147.73
bet,171.82
news,164.69
office,203.9
leaving,141.39
body,195.53
dinner,202.67
married,238.49
fire,215.49
light,165.2
perfect,158.65
special,148.57
hang,147.75
luck,153.73
lucky,143.45
promise,153.12
uh,717.24
sick,165.43
weren,122.29
asking,128.35
sense,131.8
women,195.65
order,156.57
its,171.71
fast,137.45
brother,283.94
game,233.84
catch,135.51
sent,138
sort,148.71
himself,140.55
boys,224.16
alive,154.47
known,123.53
died,157.22
party,233.14
drive,153.14
playing,147.35
doctor,263.94
fight,201.08
kidding,133.76
figure,129.37
pull,146.45
throw,128.82
cool,195.88
calling,123.75
unless,113.69
looked,120.9
Hurry,173.65
girls,208.35
past,123.76
hair,153.55
takes,117.37
except,111.69
top,133.43
food,154.43
finally,117.43
straight,122.43
sweet,145.2
wonder,116.98
giving,110.06
drop,130.61
worked,115.24
small,124.96
plan,145.73
somewhere,111.53
less,111.1
blood,186.12
none,110.61
safe,143.2
sign,133.27
piece,124.49
cold,130.16
weeks,130.14
Bye,180.08
turned,105.65
clean,121.24
dear,223.43
Ah,206.57
follow,123.2
seeing,109.63
Mrs,310.94
learn,118.57
street,148.18
works,105.04
explain,111.18
ass,226.37
ain,436.24
husband,194.8
Wow,160
possible,114.04
police,236.16
wonderful,164
white,171.45
lie,120.25
felt,119.82
meant,104.24
step,118.67
air,139.02
fall,118.51
city,169.1
moving,119.69
scared,133.39
words,122.02
meeting,132.39
expect,103.9
rather,114.22
worth,109.2
country,161.84
absolutely,113.12
become,115.57
early,108.04
company,147.2
longer,98.94
children,175.1
thinks,102.65
ten,145
handle,108.41
shoot,164.94
control,130.63
careful,108.82
feet,120.73
worse,98.08
book,176.98
poor,129.08
forgot,98.92
eye,111.78
busy,106.53
beat,131.69
black,167.94
changed,100.94
talked,102.47
ones,101.51
picture,138.45
questions,117.96
broke,105
pass,108.12
tired,112.65
watching,99.63
em,251.94
quiet,117.22
anywhere,88.25
wear,109.33
finish,98.92
mistake,101.96
ride,135.37
fault,104.12
ladies,138.31
needed,94.47
quick,108.67
choice,97.55
act,109.12
cannot,126.76
given,95.12
hasn,90.69
child,157.65
caught,93.94
shall,185.12
worried,94.73
dog,192.84
sister,180.53
red,148.06
coffee,144.53
spend,93.27
kept,89.39
mouth,104.41
certainly,118.96
yesterday,96.76
sitting,94.39
attention,98.67
stick,97.12
daughter,171.35
date,141.53
power,149.02
gun,213.2
mad,113.41
loved,110.33
middle,89.2
gentlemen,154.39
decided,88.65
write,126.8
human,124.76
O,188.2
wake,105.22
Perhaps,136.06
missed,89.57
others,99.24
parents,140.73
month,95.18
across,94.14
Besides,84.86
table,105.63
appreciate,85.75
ran,84.24
simple,89.31
suppose,125.8
bitch,168.8
secret,109.51
personal,91.67
blow,97.57
short,85.63
instead,79.27
near,83.1
fair,94.75
terrible,94.02
dream,133.29
relax,96.78
evening,120.69
smart,96.25
happening,90.55
clothes,101.14
wearing,86.47
win,134.65
cover,94.27
seven,104.45
finished,83.71
enjoy,82.78
road,111.94
Um,219.55
interesting,86.69
tough,90.51
kiss,121.16
ma,185.8
surprise,88.9
forever,88.8
lying,87.69
floor,100.63
imagine,81.04
join,83.43
standing,78.31
music,151.65
bought,85.53
stopped,75.37
strong,86.86
eight,98.24
completely,84.37
charge,89.39
interested,85.76
state,107.84
count,89.96
certain,85.37
Daddy,185.08
paid,85.67
Dr,297.92
lunch,104.12
calls,80.33
future,103.49
dark,88.61
entire,79.8
missing,87.92
paper,103.35
team,147.61
present,89.45
proud,83.63
report,108
mess,78.14
hospital,124.2
return,91.69
realize,79.06
afternoon,91.49
weird,101.1
difference,79.73
swear,88.16
fix,86.78
pain,97.94
born,83.69
likes,76.25
war,174.75
pleasure,80.75
putting,67.98
figured,76.33
shit,474.65
strange,86.43
spent,70.08
million,120.49
neither,67.67
during,75.92
liked,78.76
law,116.31
lead,83.25
using,69.02
bag,94.04
situation,82.49
starting,69.76
age,79.2
sex,152.18
blue,102.39
lovely,95.16
Whoa,157.31
walking,75.02
feels,69.98
calm,89.04
dance,148.04
cute,87.75
especially,67.22
deep,76.39
class,117.35
seat,78.78
holding,69.22
window,86
hungry,77.08
sell,92.25
picked,69.29
problems,77.08
message,91.51
fell,73
history,83.92
building,99.57
broken,71.25
quit,90.1
service,79.92
smell,83.14
voice,86.16
record,85.59
moved,69.33
grab,70.86
definitely,75.45
slow,76.02
dangerous,74.84
bother,67.37
killing,77.75
single,72.08
information,89.35
offer,74.71
favor,70.76
fool,89.33
amazing,81.71
gives,64.51
trip,82.39
named,69.88
upset,74.51
box,89.75
owe,74.16
third,74.53
hide,69.69
share,69.51
forward,72.33
earth,99.49
saved,69.76
boss,124.29
honest,72.33
speaking,69.9
buddy,102.88
wondering,63.35
usually,63.02
stuck,66.65
loves,72.45
th,97.82
twice,62.57
totally,85.82
Jesus,161.18
whose,62.49
Goodbye,116.51
ground,72.47
respect,71.45
agree,64.67
driving,74.12
Tv,101.94
prove,70.39
private,75.96
whether,67.14
listening,62.84
Congratulations,70.9
beginning,63.12
system,91.51
lived,66.04
bar,85.98
mention,59.47
forgive,76.8
position,72.08
dress,87.2
seriously,64.12
carry,65.9
plenty,62.31
accident,81.29
list,80.59
notice,59.25
doubt,62.84
key,86.86
involved,67.94
kick,73.41
protect,70.25
promised,62.14
area,74.92
joke,73.02
club,98.78
upstairs,70.73
teach,72.84
idiot,66.22
obviously,60.43
store,81.92
hundred,78.73
gotten,54.27
normal,70.37
ya,150.27
sake,64.16
admit,59.2
nose,69.75
difficult,60.16
fly,85
ought,80.75
card,85.43
public,71.08
blame,58.78
bunch,58.88
eating,60.82
nervous,67.16
wall,70.69
rich,80.39
push,70.55
movie,122.96
station,79.08
surprised,55.06
group,73.76
test,84.08
Hmm,103.75
awful,63.41
visit,58.69
American,102.22
fit,57.59
knock,64.69
worst,56.35
staying,59.61
dying,66.98
York,138.61
ring,92.75
land,88.12
ball,104.96
extra,59.16
grow,59.49
miles,88.24
learned,58.12
dirty,66.45
impossible,59.12
lots,60.16
fighting,70.8
foot,64.92
fat,79.43
marry,104.35
murder,112.1
security,94.31
keeps,52.57
low,59.14
sleeping,59.35
soul,76.96
keeping,51.14
rid,59.84
spot,61.57
officer,103.24
hotel,103.22
wrote,71.16
shoes,74.16
often,57.35
drunk,76.55
losing,53.37
begin,56.98
English,74.06
sad,63.37
seconds,70.65
crap,61.78
John,193.67
cost,54.92
brain,77.02
Lord,138.16
reach,56.92
experience,60.55
ridiculous,55.61
reading,61.43
force,70.67
within,59.16
tells,52.25
favorite,59.45
ice,79.55
jump,69.82
places,53.06
C,91.67
double,62.71
nine,67.47
suddenly,55.96
breakfast,66.29
consider,52.47
hoping,49.88
neck,59.51
waste,53.25
attack,75.55
sun,69.67
folks,76.04
fresh,54.51
lay,58.24
bigger,54.22
girlfriend,76.1
song,93.69
arm,65.41
suit,68.61
helping,50.75
ourselves,52.47
everywhere,51.78
laugh,62.86
rules,67.41
seemed,54.25
college,85.18
ways,51.63
decide,50.41
hanging,53.63
cash,72.43
field,70.2
type,60.65
passed,51.59
roll,63.27
fear,69.08
green,72.47
darling,129.67
walked,53.67
rock,86.16
cry,65.65
turns,50.04
round,66.53
Holy,68.14
honor,96.31
arms,59.8
plans,56.22
smoke,65.43
machine,70.25
gift,64.51
warm,52.14
park,72.12
B,84.1
raise,55.2
relationship,67.69
feelings,57.61
Bill,118.45
peace,69.61
complete,51.69
lock,56.57
Uncle,124.06
angry,58.98
closed,54.08
accept,52.78
