subj,item1,item2,edge,
A101,beet,carrot,1,
A101,carp,cheetah,1,
A101,apple,pear,1,
A101,broccoli,carrot,1,
A101,carrot,cucumber,1,
A101,dragonfruit,mango,1,
A101,cheetah,lion,1,
A101,kiwi,strawberry,1,
