numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,startGraph,prune_limit,other_limit,triangle_limit,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,method,cost,ll,time,bestgraph,hit,miss,fa,cr
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,-434.804417027,uinvite,151.0,-292.035213991,0:00:34.481849,:q_O?KOCBb_W?GFD_?w?KIIe_?wiBCB@x_}CE`bAKSVECcxs[UQeBq@YACJq``]EPgdQsGIWcdggeAEHFg@WvEIp@PAGHLfBsOMHKfj{K]ONFw?R?b`@`?tDAIdcKSWSMhh_s_VTrrIHX?@fByUIESjgOgu[PGwWOm],87,103,48,987
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,185,2,7,:q_O?K?AA_?OOM?@@?oc?AA@o?GGJ?@`?kGIFCOOOKJ?@AWGMEC_?OOMOJ_?OkGEDBo?WSQM_@@?wb?AAAS[OMHCwOSSKFOOO[T??_`sOYPHPW?KIM___o[pBA`bc?EGIOOWqCCEcrKCMIabAsSSOGewWWw\_@Bs?IIFCRC?CCDCRs?EDFOPQECDCfCCGQia@OoaEKPQP{KQPHGg?[OOQpPPlF,-452.189510984,uinvite,170.0,-303.817322235,0:00:41.374591,:q_OG_?F@@OH??HF___W]RE`o?KWVCAo_gaKM_aPs[OQHo_w_QJFCwOWOR_`qCGEQaCZWUAABdwWo]OLQA{ojBEBPxeMLJop`AIIDcR@mKKMFW@Oq]abaHaCCGcrsSWOQHhh?c`RPpH_xHDP?gWOYPHTSok_PHJA]QQPO?`PIf`a`qLMg,81,104,66,974
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,177,8,8,:q_O?K?AA_?OOM?@@?oc?AB`oO[?AD__o_U?CA`gGM?@@`PK?EDBAg?GECDpPsGGECO_WOINacGGS\?BB@hQCCDo?GWUTa``OyISIo?GYGDCbGGGGFFOo_}ECFo?XUCU___huEWLgWwsc^_Bqp]EEDcWOKmY`DbaE?NJHH?gY[acwWOc\QP@ym?@FDwGOQJNoOXDRAAAD{CQJEesN,-436.922840819,uinvite,152.0,-298.75065685,0:00:46.434879,:q_OG_AABAOHGaBC`a@S?EDCA`[SKI_?`[mCCBAG?KGMFpPk?EMGrGSCGJEP`SW_TJoOhAGDCaqpiMZa@p{O]SMOp@S|AJOOOke\_`Ox[xFHDR{{kVOP`XXDQKtcKGGUQHh?gY[hfgX@IejHG?wiVQoPGk~EGhtKG{hVopGsu^O~,84,93,59,989
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,184,9,9,:q_O?K?AA_?OOM?@@?ocKH?@@WGGEDBp?kKIF___[GPA@aw?GECCoOOOIE_`@?iCBDo_giCDCAqC?CCEcgOKWRdDGGS]QHo_WgVDBA`hSpCFoow_X??__WYIEIeGGKK[aAqhmGNKfBhyIEKGGgc\?DFW_scS_`Q{CSN_`bqACDBBwh@LDBAahe?@@@Rsc[aaaBq]?OLFscKGX`aa@YSVQiTQv,-446.293427019,uinvite,160.0,-297.379983789,0:00:29.387854,:q_P?[QF?Ao_{CGD``wGGFL@AwWORAA@hCmCCAaGwmSOGcgGGKOHq@PQANHCwGGSPbb@hKpZA@PK?AIGdGgWiXgo?_kvChfgg[pIMp@h?tDdBwWWY]PhWgcYNHEwopEeSRQh_r@CfHgxDGIfd[?OOLFsaeUPKfsS?SOJEHQTT,82,102,58,983
6,0.3,steyvers,5,50,0.7,0.0,stationary,5,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,174,10,10,:q_O?K?AA_?OOM?@@?ocGECAo_cCCE`@?gaIHa@OsCCG_`OweAA@`@[SOI_`@CCGG``?wyIHDBw__WPbaWosfKIPOwuINJQ@PUIGDDXxWrAA`pKKGFcCX@C~GFcR{WOYLfwOc]PLFwhWq[fcRQMACCcGW{eZbDG?KIEFO?GOZAA@p?dF@A`pIiSRMSQa@BELfsS?K]RO_xGo\,-424.486150346,uinvite,132.0,-297.324468721,0:00:30.918996,:q`_?GICB`PGK]JD`@?gWN?@aGGSKF`?wg_SKg_Oc[\HDBwOKGKGppGiOLHrGW_ZEJTGggiYcDbKSQLHoo{}OPNoP@CcXNp`@gu^fcR|WqZMRqhhFOdDaxiAEJDwgWQMIEBya?CDo@HHF@@ATSgwjggSYaKFFeByI?EJHiPv,91,83,49,1002
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,-519.664358022,uinvite,143.0,-378.838728995,0:00:34.501974,:q_O?KICBb_W?GFDBO?[?EDDROwiBCB@x_}CDBOpGob?AapkWQRfPpWodKFcAsCGVdBA{Kb@ACQhYCDKQQXYADCegGWYQNOApmCEIfw_WSOaARXo|CBaRHyOONopx?{^_@?hIa_Po_o_ZAIdcKSWSMfcsoYOJixxdD?@fByUIESjgOgwb``A@[|,100,90,53,982
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,182,2,2,:q_O?K?AA_?OOM?@@?ocCCBAoOWQ?BBo?GI?BA@pK?CBA@g?KQI___gmCJEp@GiCBAAgOWML_?o_eECDCWW[f?@cA[KGDHo_scjBAaq{kZBCP?wc_R``@pct?BAbk?AMJp@O{fCBaRceEDHp@Pq?@DbscSOIGCasSQJFCWGOY^_bbQaGc`Aq`mCCBBT[?ABHjGGc]a``AhpL?BBd[kgZTkN,-506.010099141,uinvite,158.0,-371.864248066,0:00:55.471185,:q_OWSMAA`o?OQQ@A`w?QCDBO?weJA@`PkeCBDBwOYHCDBwxI?DGOo`ILHIo?gknJEp@?sb??`a[K[QIEWwcSQ_?XO{fCBaRcqqYmQ@Ok]YNHGgg_Uaapo{ad_bQx|HAFFtDhHBAAA@QKGEcRImASOHtIlXHEbrqHMlb@pYYGEFCa`xGdliuF,88,94,64,979
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,182,3,3,:q_O?K?AA_?OOM?@@?oc?CBa@W?M?AA`g?CKH__o_U?A@ag?GSK_?o_SVEDB@kCGDCbg?SQO_?pC?SKFoPOwf??awWOUS_a`pOl@DBacgeSJOo`YWRIEW@GeT_?OgcSK_?PKCSSJo__ww]_DAx}eXLoOWSN?IFsKKGYmFcCGw_RRAcCm^QO?_xJRRHxP_qZQO?Hx?e_@AQi?SUP@p?b?IJN,-531.661923767,uinvite,161.0,-380.361067466,0:00:42.943667,:q`?WSIEC`@Gk?BF_AWk?EDCaw?gXNBAgGyAHGO?OY?Ni_PcKGFDdGhOlIFTBCOUQJQaXOmX_?aXUIHDCAc?BFFdGGGGMGfHGoq^ccr[CEKGvsKOKMHEgGgm_Po_g[{cdDHP[}aQO?OwybQqppK{aRHyx_sa__qHx?eRvdSO|BABa@E?IFDAyR,86,96,65,978
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,187,4,5,:q_O?K?AA_?OOM?@@?oc?ABAO?OKIE`?o_YECBO?OSL?A@PKGIEBaw?KGFEO?o_R@A@OwqCDBAgOKGEBaw?OOHGp`CKGN``@WyCCB@pXEEEHdgWQEEHp?gYKRJeWW_QQIopxEMSKo?o_RJFDX@Kr?CAW?aIEDo?GKUKFoog_YQ_?ooeUMOPA`yERLfcKGEHHIWOWdCAaSc?WNQoohTQlaBaPqGIJ^,-535.207613096,uinvite,160.0,-396.757162632,0:00:38.628927,:q_OWgMF?BO__]J?@@OsOJAB@w?OMK_oOo[SK__`GgZ@@@@Wo^HcBG?K]OaapsKGEDAqCKKGHuQ[C[VhDwW_QTLOqLQ?GCcaheUMIqA[?AHHeb{_YSb@pW{|BAap_wq[_@Ow_QLGcbk?GECfHWwjCEdRsws``aQPpRKHFSYQGDCaaHHBIFgcYUCBAdSQdWlaBaPQGDEdbF,98,89,71,967
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,windowgraph,inf,inf,inf,avg,176,6,7,:q_O?K?AA_?OOM?@@?oc?CCAo?WOJ??_ggY?@@O?GGPDBAW?CGF_?Oo[X@A@wG]IHcA`o}?DEBg?s`HECW?ECIFdg?GOJab@sCkV_?OWUkVLPQXSrGDBaT[xGDBaPyCQKGGWOYNa```U?@BgggciX_A@XaAGDBxHCi\PoO{_SMOP`HTJ?DeCK?EMRqQHtPAA`d[CIFFECsKGLFDn,-535.132179835,uinvite,163.0,-383.911010115,0:00:38.604353,:q_OWKW?CAo__U?Ad??GUCGa``KKGFbb@kCGEBpO{eOKFO`_waQbBQ[emN`?og_UMb@pOwcT_bqp]?BAaQ[g_UJsqk_SMLta{OXLFCQP`@CAbQH]IKJO?GOMLHpQhkyc_?`@aABCA`yIQKGdRIMMHLGgogm__AQiTRJFhg?g[XTVTCWQPQhwpKkVPhCqdSl`BQ`XCe,89,87,76,973
