subj,node1,node2,u-invite,rw
S10,roadrunner,coyote,1,1
S10,turtle,pony,1,1
S10,racoon,moth,1,1
S10,crow,cow,1,1
S10,racoon,giraffe,1,1
S10,baboon,coyote,1,1
S10,crab,plankton,1,1
S10,manatee,monkey,1,1
S10,bear,giraffe,1,1
S10,spider,pig,1,1
S10,narwhale,turtle,1,1
S10,cougar,roadrunner,1,1
S10,ostrich,alpaca,1,1
S10,puffin,blue-footedbooby,1,1
S10,fly,butterfly,1,1
S10,panther,orca,1,1
S10,pony,buffalo,1,1
S10,puffin,hummingbird,1,1
S10,ox,tiger,1,1
S10,katydid,prayingmanti,1,1
S10,pig,butterfly,1,1
S10,ant,anteater,1,1
S10,shark,whale,1,1
S10,donkey,elephant,1,1
S10,spider,seal,1,1
S10,sealion,shark,1,1
S10,panther,leopard,1,1
S10,turtle,sealion,1,1
S10,cougar,meerkat,1,1
S10,monkey,giraffe,1,1
S10,lion,tiger,1,1
S10,katydid,prayingmantis,1,1
S10,maggot,orca,1,1
S10,eel,fox,1,1
S10,katydid,moth,1,1
S10,horse,jaguar,1,1
S10,baboon,anteater,1,1
S10,quail,jaguar,1,1
S10,penguin,narwhale,1,1
S10,wasp,bee,1,1
S10,goose,prayingmanti,1,1
S10,sloth,bear,1,1
S10,cat,dog,1,1
S10,leech,donkey,1,1
S10,raven,woodpecker,1,1
S10,pig,moth,1,1
S10,slug,fly,1,1
S10,alpaca,waterbuffalo,1,1
S10,donkey,bear,1,1
S10,hippo,anteater,1,1
S10,fox,bear,1,1
S10,crow,pig,1,1
S10,hippo,jaguar,1,1
S10,octopu,crab,1,1
S10,ox,mouse,1,1
S10,baboob,chimpanzee,1,1
S10,zebra,kangaroo,1,1
S10,rooster,rat,1,1
S10,pony,ferret,1,1
S10,cat,giraffe,1,1
S10,fly,moth,1,1
S10,orangutan,otter,1,1
S10,spider,butterfly,1,1
S10,llama,dodobird,1,1
S10,pig,ferret,1,1
S10,eel,alligator,1,1
S10,woodpecker,elephant,1,1
S10,pig,fly,1,1
S10,cat,butterfly,1,1
S10,wasp,slug,1,1
S10,maggot,leech,1,1
S10,walrus,sealion,1,1
S10,kiwi,leopard,1,1
S10,fish,monkey,1,1
S10,baboob,monkey,1,1
S10,eel,cow,1,1
S10,chimpanzee,jaguar,1,1
S10,maggot,snail,1,1
S10,lion,meerkat,1,1
S10,crow,seal,1,1
S10,anteater,giraffe,1,1
S10,anteater,hippopotamu,1,1
S10,ox,skunk,1,1
S10,meerkat,coyote,1,1
S10,bee,leech,1,1
S10,frog,rabbit,1,1
S10,worm,hippo,1,1
S10,monkey,ant,1,1
S10,walrus,seal,1,1
S10,ferret,skunk,1,1
S10,frog,dog,1,1
S10,crow,kangaroo,1,1
S10,ferret,giraffe,1,1
S10,fox,donkey,1,1
S10,turtle,alpaca,1,1
S10,quail,possum,1,1
S10,peacock,kiwi,1,1
S10,sloth,rabbit,1,1
S10,fish,prayingmantis,1,1
S10,eel,fish,1,1
S10,wasp,cat,1,1
S10,eel,sloth,1,1
S10,squirrel,starfish,1,1
S10,walrus,hippo,1,1
S10,cow,monkey,1,1
S10,ant,quail,1,1
S10,pony,butterfly,1,1
S10,chimpanzee,moth,1,1
S10,coyote,buffalo,1,1
S10,elephant,giraffe,1,1
S10,spider,ox,1,1
S10,orangutan,elephant,1,1
S10,chimpanzee,giraffe,1,1
S10,goose,duck,1,1
S10,katydid,spider,1,1
S10,kangaroo,pig,1,1
S10,walrus,rooster,1,1
S10,cow,ferret,1,1
S10,eagle,serpent,1,1
S10,rat,mouse,1,1
S10,cat,ferret,1,1
S10,narwhale,crab,1,1
S10,goose,donkey,1,1
S10,giraffe,buffalo,1,1
S10,orangutan,sloth,1,1
S10,narwhale,whale,1,1
S10,manatee,slug,1,1
S10,eel,ostrich,1,1
S10,quail,dog,1,1
S10,sloth,anteater,1,1
S10,walrus,tiger,1,1
S10,llama,ostrich,1,1
S10,cougar,toucan,1,1
S10,rooster,dog,1,1
S10,jellyfish,plankton,1,1
S10,owl,waterbuffalo,1,1
S10,horse,pony,1,1
S10,cat,jaguar,1,1
S10,baboob,cow,1,1
S10,crocodile,skunk,1,1
S10,zebra,dog,1,1
S10,walru,sealion,1,1
S10,sealion,whale,1,1
S10,eel,serpent,1,1
S10,coyote,snail,1,1
S10,starfish,snail,1,1
S10,chicken,butterfly,1,1
S10,liger,ant,1,1
S10,crocodile,hippo,1,1
S10,eel,snake,1,1
S10,dodobird,kiwi,1,1
S10,zebra,ostrich,1,1
S10,orangutan,hippo,1,1
S10,monkey,donkey,1,1
S10,anteater,butterfly,1,1
S10,rhino,rabbit,1,1
S10,spider,bat,1,1
S10,peacock,quail,1,1
S10,zebra,rabbit,1,1
