subj,node1,node2,u-invite,rw
S99,mountainlion,puma,1,1
S99,hyena,puma,1,1
S99,blackbear,grizzlybear,1,1
S99,whale,fox,1,1
S99,crocodile,reptile,1,1
S99,goat,gorilla,1,1
S99,skunk,chimpanzee,1,1
S99,skunk,hamster,1,1
S99,bird,meerkat,1,1
S99,dog,cat,1,1
S99,grizzlybear,bear,1,1
S99,monkey,manatee,1,1
S99,lion,bunny,1,1
S99,ostrich,panther,1,1
S99,wildebeest,bunny,1,1
S99,elephant,liger,1,1
S99,squirrel,alpaca,1,1
S99,possum,gecko,1,1
S99,turtle,sealion,1,1
S99,chipmunk,cow,1,1
S99,octopu,calamari,1,1
S99,kangaroo,manatee,1,1
S99,anteater,bird,1,1
S99,mountainlion,bird,1,1
S99,peacock,kangaroo,1,1
S99,rhinoceros,bear,1,1
S99,dog,goldenretriever,1,1
S99,panda,whale,1,1
S99,rabbit,horse,1,1
S99,emu,pig,1,1
S99,giraffe,hyena,1,1
S99,bat,seal,1,1
S99,wasp,panda,1,1
S99,woodpecker,hummingbird,1,1
S99,cat,fox,1,1
S99,eagle,falcon,1,1
S99,zebra,pelican,1,1
S99,beetle,bull,1,1
S99,ant,ladybug,1,1
S99,turtle,alligator,1,1
S99,fish,seal,1,1
S99,canary,jay,1,1
S99,polarbear,kodiakbear,1,1
S99,dolphin,crab,1,1
S99,goat,hyena,1,1
S99,elephant,monkey,1,1
S99,horse,buffalo,1,1
S99,goat,giraffe,1,1
S99,canary,parrot,1,1
S99,snail,gorilla,1,1
S99,rottweiler,germanshepherd,1,1
S99,dinosaur,pig,1,1
S99,snake,cat,1,1
S99,sloth,orangutan,1,1
S99,hyena,otter,1,1
S99,rat,lemming,1,1
S99,bird,owl,1,1
S99,chipmunk,lion,1,1
S99,hedgehog,aardvark,1,1
S99,crow,zebra,1,1
S99,hippopotamus,hummingbird,1,1
S99,shark,mantaray,1,1
S99,skunk,bear,1,1
S99,cricket,pig,1,1
S99,jellyfish,stingray,1,1
S99,zebra,lion,1,1
S99,serpent,eel,1,1
S99,gazelle,moose,1,1
S99,iguana,sabertoothedtiger,1,1
S99,blubberwhale,walrus,1,1
S99,cheetah,lion,1,1
S99,clownfish,eel,1,1
S99,dog,chicken,1,1
S99,germanshepherd,sheepdog,1,1
S99,maggot,orca,1,1
S99,otter,beaver,1,1
S99,caterpillar,hornet,1,1
S99,mouse,raccoon,1,1
S99,walrus,tadpole,1,1
S99,dolphin,octopu,1,1
S99,seaanemone,shark,1,1
S99,mammoth,piranha,1,1
S99,monkey,koala,1,1
S99,bear,walrus,1,1
S99,panda,buffalo,1,1
S99,panda,lion,1,1
S99,rabbit,dog,1,1
S99,panda,tortoise,1,1
S99,hedgehog,yak,1,1
S99,beagle,goldenretriever,1,1
S99,brownbear,polarbear,1,1
S99,chicken,flamingo,1,1
S99,turtle,crab,1,1
S99,snake,crab,1,1
S99,wildebeest,giraffe,1,1
S99,gibbon,chimpanzee,1,1
S99,wasp,slug,1,1
