# Animal scheme file for Italian
# First version
# Created by Sabia Costantini, 2023
# Schema "animali" in Italiano
# Prima versione
# Creato da Sabia Costantini, 2023"
# Additional information regarding this scheme is available at https://github.com/costantini-sabia/Italian_SNAFU_Scheme
BestiaDaSoma,giumenta
BestiaDaSoma,lama
BestiaDaSoma,mulo
BestiaDaSoma,mustang
BestiaDaSoma,pony
BestiaDaSoma,puledro
BestiaDaSoma,scottishshetlandpony
BestiaDaSoma,yak
BestiaDaSoma,zebu
Bovide,antilope
Bovide,bisonte
Bovide,bue
Bovide,buemuschiato
Bovide,bufalo
Bovide,bufalocafro
Bovide,bufalodiacqua
Bovide,bufaloindiano
Bovide,bufalonero
Bovide,capra
Bovide,dikdik
Bovide,gazzella
Bovide,gerenuk
Bovide,muflone
Bovide,pecora
Bovide,stambecco
Bovide,yak
Bovide,zebu
Canide,akita
Canide,alano
Canide,barboncino
Canide,bassotto
Canide,beagle
Canide,bovarodelbernese
Canide,boxer
Canide,bulldog
Canide,bullmastiff
Canide,cane
Canide,canecorso
Canide,canedavolpe
Canide,canedeipirenei
Canide,canelupo
Canide,carlino
Canide,chihuahua
Canide,chowchow
Canide,cockerspaniel
Canide,collie
Canide,corgi
Canide,coyote
Canide,dalmata
Canide,dingo
Canide,dobermanpinscher
Canide,fennec
Canide,frenchbulldog
Canide,goldenretriever
Canide,harrier
Canide,husky
Canide,labrador
Canide,levriero
Canide,lupo
Canide,pastoredelleshetland
Canide,pastoretedesco
Canide,pitbull
Canide,sanbernardo
Canide,schnauzer
Canide,sciacallo
Canide,segugio
Canide,shihtzu
Canide,terrier
Canide,volpe
Canide,volperossa
Canide,volpino
Canide,yorkshireterrier
Cervide,alce
Cervide,capriolo
Cervide,caribu
Cervide,cervo
Cervide,renna
Crostaceo,aragosta
Crostaceo,astice
Crostaceo,canocchia
Crostaceo,gamberetto
Crostaceo,gambero
Crostaceo,gamberone
Crostaceo,granchio
Crostaceo,granciporro
Crostaceo,granseola
Crostaceo,mazzancolla
Crostaceo,paguro
Crostaceo,scampo
Crostaceo,uca
Dinosauro,allosauro
Dinosauro,apatosauro
Dinosauro,brachiosauro
Dinosauro,brontosauro
Dinosauro,dinosauroo
Dinosauro,pterodattilo
Dinosauro,stegosauro
Dinosauro,trex
Dinosauro,triceratopo
Dinosauro,velociraptor
Fattoria,agnello
Fattoria,anatra
Fattoria,anatroccolo
Fattoria,ariete
Fattoria,asino
Fattoria,bardotto
Fattoria,bovino
Fattoria,bue
Fattoria,capra
Fattoria,caprapigmea
Fattoria,capretta
Fattoria,capretto
Fattoria,caprone
Fattoria,cavalla
Fattoria,cavallo
Fattoria,cavalloselvaggio
Fattoria,coniglio
Fattoria,donnola
Fattoria,equino
Fattoria,fagiano
Fattoria,faraona
Fattoria,furetto
Fattoria,gallina
Fattoria,gallo
Fattoria,giumenta
Fattoria,longhorn
Fattoria,maiale
Fattoria,maialino
Fattoria,maialinodomestico
Fattoria,maialinothailandese
Fattoria,maialinovietnamita
Fattoria,manza
Fattoria,manzo
Fattoria,minipony
Fattoria,montone
Fattoria,mucca
Fattoria,mulo
Fattoria,oca
Fattoria,ovino
Fattoria,papera
Fattoria,papero
Fattoria,pavone
Fattoria,pecari
Fattoria,pecora
Fattoria,piccione
Fattoria,pollame
Fattoria,pollo
Fattoria,pony
Fattoria,pulcino
Fattoria,puledro
Fattoria,scrofa
Fattoria,somaro
Fattoria,stallone
Fattoria,suino
Fattoria,tacchino
Fattoria,topo
Fattoria,vacca
Fattoria,vitella
Fattoria,vitello
Felide,caracal
Felide,coguaro
Felide,colocolo
Felide,felino
Felide,gatta
Felide,gatto
Felide,gattopardo
Felide,ghepardo
Felide,giaguaro
Felide,leone
Felide,leonessa
Felide,leopardo
Felide,leopardodellenevi
Felide,ligre
Felide,lince
Felide,lincerossa
Felide,ocelot
Felide,pantera
Felide,panteranera
Felide,puma
Felide,servalo
Felide,tigone
Felide,tigre
Felide,tigredelbengala
Felide,tigresiberiana
Giungla,bradipo
Giungla,camaleonte
Giungla,capibara
Giungla,cobra
Giungla,elefante
Giungla,formichiere
Giungla,giaguaro
Giungla,gorilla
Giungla,iguana
Giungla,ippopotamo
Giungla,lemure
Giungla,leone
Giungla,leopardo
Giungla,mandrillo
Giungla,okapi
Giungla,pantera
Giungla,pappagallo
Giungla,puma
Giungla,rinoceronte
Giungla,scimmia
Giungla,serpente
Giungla,tapiro
Giungla,tigre
Giungla,varanodikomodo
Insettivoro,armadillo
Insettivoro,formichiere
Insettivoro,oritteropo
Insettivoro,pangolino
Insettivoro,pipistrello
Insettivoro,riccio
Insettivoro,talpa
Insettivoro,toporagno
Insetto,afide
Insetto,ape
Insetto,baco
Insetto,blatta
Insetto,bombo
Insetto,bruco
Insetto,calabrone
Insetto,cavalletta
Insetto,cervovolante
Insetto,cicala
Insetto,cimice
Insetto,cimicedegliaceri
Insetto,coccinella
Insetto,cocciniglia
Insetto,coleottero
Insetto,falena
Insetto,farfalla
Insetto,fasmide
Insetto,forbicina
Insetto,formica
Insetto,formicacarpentiere
Insetto,formicaleone
Insetto,formicarossa
Insetto,fulgoralaternaria
Insetto,grillo
Insetto,grillotalpa
Insetto,insetto
Insetto,insettostecco
Insetto,larva
Insetto,libellula
Insetto,locusta
Insetto,lucciola
Insetto,maggiolino
Insetto,mantide
Insetto,mantidereligiosa
Insetto,millepiedi
Insetto,mosca
Insetto,moscerino
Insetto,pidocchio
Insetto,porcellinodisantantonio
Insetto,porcellinoditerra
Insetto,pulce
Insetto,scarabeo
Insetto,scarabeostercorario
Insetto,scarafaggio
Insetto,scorpione
Insetto,tafano
Insetto,tarma
Insetto,termite
Insetto,tignola
Insetto,tipula
Insetto,tonchio
Insetto,vespa
Insetto,zanzara
Leporide,coniglio
Leporide,coniglionano
Leporide,lepre
Leporide,minilepre
Mollusco,calamaro
Mollusco,cannolicchio
Mollusco,capasanta
Mollusco,cozza
Mollusco,lumacadimare
Mollusco,lumachinadimare
Mollusco,ostrica
Mollusco,patella
Mollusco,polpo
Mollusco,seppia
Mollusco,tartufodimare
Mollusco,totano
Mollusco,vongola
Montagna,acquila
Montagna,airone
Montagna,astore
Montagna,barbagianni
Montagna,camoscio
Montagna,cervo
Montagna,civetta
Montagna,codirossone
Montagna,corvo
Montagna,coturnice
Montagna,culbianco
Montagna,ermellino
Montagna,falco
Montagna,folaga
Montagna,fringuelloalpino
Montagna,gattoselvatico
Montagna,germano
Montagna,gheppio
Montagna,gipeto
Montagna,gracchioalpino
Montagna,gracchiocorallino
Montagna,gufo
Montagna,lepre
Montagna,lince
Montagna,lupo
Montagna,marmotta
Montagna,merlo
Montagna,orso
Montagna,pernice
Montagna,picchio
Montagna,poiana
Montagna,riccio
Montagna,serpente
Montagna,sparviero
Montagna,stambecco
Montagna,talpa
Montagna,toporagno
Montagna,tritonealpino
Montagna,vipera
Montagna,volpe
Mustelide,donnola
Mustelide,ermellino
Mustelide,faina
Mustelide,furetto
Mustelide,ghiottone
Mustelide,lincodonte
Mustelide,lontra
Mustelide,martora
Mustelide,puzzola
Mustelide,ratele
Mustelide,tasso
Mustelide,visone
Mustelide,volverina
Mustelide,zibellino
NordAmerica,aquila
NordAmerica,tasso
NordAmerica,alce
NordAmerica,antilocapraamericana
NordAmerica,atalanta
NordAmerica,balenafranca
NordAmerica,bighorn
NordAmerica,bisciadalcollare
NordAmerica,bisonte
