#Categoría,#spanish
Birds,pollo
Birds,pollos
Birds,quetzal
Birds,quetzales
Birds,raton
Birds,ratones
Birds,ruiseñor
Birds,ruiseñores
Birds,somormujo
Birds,somormujos
Birds,tangara
Birds,tangaras
Birds,trompetero
Birds,trompeteros
Birds,tucan
Birds,tucanes
Birds,urogallo
Birds,urogallos
Birds,zopilote
Birds,zopilotes
Birds,zorzal
Birds,zorzales
Bovine,becerro
Bovine,becerros
Bovine,bisonte
Bovine,bisontes
Bovine,bovillo
Bovine,bovillos
Bovine,buey
Bovine,bueyes
Bovine,bufalo
Bovine,bufalo de auga
Bovine,bufalo de augas
Bovine,bufalos
Bovine,ganado
Bovine,ganados
Bovine,lagarto
Bovine,lagartos
Bovine,novillo/buey
Bovine,novillo/bueyes
Bovine,vaca
Bovine,vacas
Bovine,vaquilla
Bovine,vaquillas
Bovine,yak
Bovine,yakes
Canine,akita
Canine,akitas
Canine,bulldog
Canine,bulldoges
Canine,cachorro
Canine,cachorros
Canine,canino
Canine,caninos
Canine,chacal
Canine,chacales
Canine,chihuahua
Canine,chihuahuas
Canine,corgi
Canine,corgis
Canine,coyote
Canine,coyotes
Canine,dalmata
Canine,dalmatas
Canine,galgo
Canine,galgos
Canine,golden retriever
Canine,golden retrieveres
Canine,gran danes
Canine,gran daneses
Canine,harrier
Canine,harrieres
Canine,hiena
Canine,hienas
Canine,husky
Canine,husky siberiano
Canine,husky siberianos
Canine,huskyes
Canine,labrador
Canine,labrador negro
Canine,labrador negros
Canine,labradores
Canine,lobo
Canine,lobo gris
Canine,lobo grises
Canine,lobos
Canine,malamute
Canine,malamutes
canine,guauguau
Canine,guagua
Canine,bebeperro
Canine,perro
Canine,perro salchicha
Canine,perro salchichas
Canine,perro salvaje
Canine,perro salvajes
Canine,perros
Canine,poodle
Canine,poodles
Canine,pug
Canine,puges
Canine,puggle
Canine,puggles
Canine,sabueso
Canine,sabuesos
Canine,shihtzu
Canine,shihtzus
Canine,terrier
Canine,terrieres
Canine,zorro
Canine,zorros
Deers,alce
Deers,alce
Deers,alces
Deers,alces
Deers,antilope
Deers,antilopes
Deers,ciervo macho
