animal1,animal2,similarity,uinvite,priming,rw,windowgraph
gerbil,kangaroo,51,0,0,1,0
polarbear,koalabear,87,1,1,1,1
lynx,dog,56,0,0,0,0
woodpecker,panda,31,0,0,0,0
raccoon,buffalo,52,0,0,0,0
anteater,trout,21,0,0,1,0
bear,llama,57,1,1,0,0
pig,parrot,46,0,0,0,0
woolymammoth,redpanda,54,0,0,0,0
turkey,cheetah,53,0,0,1,0
lemur,cougar,66,0,1,0,0
hyena,hippopotamus,55,0,0,1,0
sheep,dolphin,3,0,0,0,0
ostrich,cat,42,1,1,1,1
lion,dolphin,45,1,1,1,1
squid,squirrel,22,1,1,1,1
lion,tiger,97,0,0,1,0
horse,fish,6,0,0,0,0
squirrel,opossum,81,1,1,1,1
orca,panda,22,1,1,0,1
ocelot,mantis,12,0,0,1,0
meerkat,hedgehog,61,1,1,1,1
goose,tortoise,15,0,0,0,0
frog,giraffe,18,0,0,0,0
elephant,cheetah,54,1,1,1,1
tiger,polarbear,53,1,1,1,1
cow,panda,54,0,0,0,0
crocodile,tadpole,40,1,1,1,1
brownbear,grizzlybear,98,1,1,1,1
buffalo,wildebeest,82,1,1,1,1
cougar,mouse,53,0,0,0,0
gorilla,sheep,56,0,0,0,0
elephant,dog,54,1,0,0,0
cod,gerbil,4,0,0,0,0
sheep,goat,82,1,1,1,1
fox,chameleon,4,0,0,1,0
leopard,panda,53,0,0,1,0
polarbear,blackbear,97,1,1,1,1
leopard,tick,4,0,0,0,0
duck,koala,39,0,0,0,0
rat,weasel,93,0,0,0,0
turtle,kangaroo,32,0,0,0,0
penguin,seal,75,1,1,1,1
armadillo,blackbear,14,1,1,0,1
chipmunk,crocodile,7,0,0,0,0
worm,beetle,53,0,0,1,0
badger,koala,66,0,0,0,0
lynx,mink,77,1,1,1,1
hyena,antelope,50,1,1,1,1
rattlesnake,toad,46,1,1,0,1
fly,spider,57,0,0,1,0
squirrel,monkey,52,0,0,0,0
chicken,deer,53,1,1,0,1
bear,polarbear,95,0,0,1,0
rat,goat,52,1,1,1,1
platypus,kangaroo,54,1,1,1,1
jaguar,cheetah,96,0,0,1,0
bear,goose,53,0,0,0,0
cat,wolf,42,0,0,0,0
ant,spider,82,1,1,1,1
squirrel,dog,59,1,0,0,0
ostrich,turtle,30,0,0,0,0
goat,killerwhale,9,0,0,0,0
gopher,donkey,62,1,1,1,1
cat,koala,55,1,0,0,0
mouse,pelican,45,0,0,0,0
leopard,dog,54,0,0,0,0
frog,rhinoceros,28,0,0,0,0
donkey,cheetah,60,1,1,1,1
lamb,kangaroo,54,0,0,0,0
grasshopper,llama,12,0,0,0,0
giraffe,bear,53,1,1,1,1
crane,mouse,19,1,1,1,1
bat,goose,52,0,0,0,0
zebra,panda,44,0,0,0,0
zebra,dog,50,1,1,0,0
penguin,turtle,54,0,0,0,0
redpanda,raptor,11,0,0,0,0
persian,russianblue,93,1,1,1,1
goat,weasel,52,0,0,0,0
tarantula,swallow,4,0,0,0,0
fish,spider,15,1,1,1,1
octopus,goose,34,0,0,0,0
stingray,blowfish,86,1,1,1,1
fish,dog,9,0,1,0,0
fish,shrimp,76,1,1,1,1
bee,crow,54,0,0,0,0
giraffe,deer,69,0,0,1,0
chicken,goose,87,0,0,1,0
dog,horse,53,1,1,1,1
elephant,wildebeest,58,0,0,1,0
duck,cat,40,1,0,0,0
ocelot,bat,44,0,0,0,0
skunk,squirrel,95,0,0,0,0
bluewhale,octopus,61,0,0,0,0
elephant,greatwhiteshark,42,1,1,1,1
grizzlybear,polarbear,97,0,0,1,0
leopard,cat,94,1,0,0,0
scorpion,platypus,22,0,0,1,0
donkey,turtle,23,0,0,0,0
trout,hedgehog,14,1,1,1,1
pig,ferret,59,0,0,1,0
hyena,bear,65,0,0,0,0
dolphin,monkey,16,0,0,1,0
parrot,dog,46,0,1,0,0
armadillo,kangaroo,55,0,0,0,0
leopard,giraffe,52,0,0,0,0
meerkat,dog,55,1,0,0,0
hyena,cheetah,59,0,0,1,0
mouse,rat,83,1,1,1,1
waterbuffalo,porpoise,46,1,1,1,1
lion,cougar,84,1,1,0,1
fish,raccoon,25,0,0,1,0
bull,pigeon,45,0,0,0,0
polarbear,shark,23,0,0,0,0
starfish,skunk,13,0,0,0,0
eagle,cat,56,0,1,0,0
llama,donkey,84,0,0,1,0
bunny,dog,57,0,0,0,0
squirrel,pig,57,0,0,1,0
possum,mouse,57,1,1,1,1
duck,lizard,15,1,1,1,1
groundhog,opossum,94,1,1,0,1
lion,wolf,80,0,0,1,0
giraffe,horse,56,0,0,1,0
seacow,goldfish,53,0,0,0,0
ape,turtle,8,1,1,1,1
bird,lion,56,0,0,1,0
koala,panda,95,0,0,1,0
pig,boar,72,0,0,1,0
koala,yellowjacket,4,0,0,0,0
cow,chicken,61,1,1,1,1
hyena,pig,53,0,0,1,0
cat,lemur,54,0,0,0,0
hamster,panther,55,0,0,0,0
lion,polarbear,70,1,1,1,0
peacock,rhinoceros,34,0,0,0,0
lion,dog,66,1,0,0,0
bird,deer,53,0,0,1,0
woolymammoth,raven,19,0,0,0,0
whale,dog,9,1,0,0,0
grasshopper,crab,55,1,1,1,1
hippopotamus,rhinoceros,93,1,1,1,1
bat,eagle,56,1,1,1,1
panther,wolf,65,0,0,0,0
seal,sealion,70,1,1,1,1
cheetah,lizard,14,0,0,0,0
wolf,anteater,39,0,0,0,0
horse,crocodile,34,0,0,0,0
eagle,dove,90,0,0,0,0
robin,giraffe,29,1,1,1,1
cheetah,ocelot,92,1,1,0,1
orangutan,rhinoceros,56,0,0,0,0
ant,elephant,37,0,0,1,0
wolfhound,fox,85,1,1,1,1
moose,horse,54,0,0,0,0
hippopotamus,mouse,32,0,0,1,0
falcon,wolf,36,0,0,0,0
gerbil,snake,22,0,0,0,0
grizzlybear,crab,4,0,0,0,0
hyena,monkey,55,0,0,1,0
lizard,dog,6,1,0,0,0
cow,ram,60,0,0,1,0
rat,swallow,5,1,1,1,1
lemur,badger,63,0,0,1,0
tiger,zebra,53,0,0,0,0
sugarglider,turtle,10,0,0,0,0
antelope,wolf,53,1,1,1,1
cougar,ant,9,0,0,0,0
buffalo,baldeagle,36,0,0,1,0
cow,bear,54,0,0,0,0
wolf,donkey,65,0,0,0,0
rat,penguin,23,1,1,1,1
penguin,worm,16,1,1,1,1
lemur,blackheadedgull,25,0,0,0,0
ox,rabbit,50,0,0,1,0
bull,kangaroo,47,1,1,1,1
elephant,rhinoceros,95,0,0,0,0
gorilla,koala,28,0,0,0,0
kangaroo,swan,33,0,0,1,0
human,bird,7,0,0,1,0
gerbil,hamster,98,1,1,1,1
sealion,belugawhale,56,0,0,1,0
giraffe,elephant,63,0,0,1,0
mongoose,turtle,5,0,0,0,0
goose,whale,18,0,0,0,0
dog,chicken,54,0,0,0,0
walrus,alligator,53,0,0,1,0
turtle,ferret,8,1,1,1,1
bee,spider,57,1,1,1,1
monkey,turtle,14,0,0,1,0
rhinoceros,mantis,4,1,1,1,1
hawk,walrus,10,1,1,1,1
manatee,cow,74,1,1,1,1
pony,moose,44,0,0,0,0
octopus,cat,6,0,1,0,0
cat,possum,59,1,0,0,0
owl,dungbeetle,15,0,0,0,0
mouse,walrus,36,0,0,0,0
raptor,deer,21,1,1,1,1
hawk,falcon,97,1,1,1,1
emu,dog,39,1,0,0,0
rat,bat,76,0,0,0,0
dog,snake,36,1,1,0,0
tiger,whale,21,0,0,0,0
chimpanzee,eagle,54,0,0,0,0
wolf,rabbit,55,0,0,0,0
sparrow,chipmunk,65,0,0,0,0
anteater,falcon,16,0,0,1,0
cat,giraffe,43,1,0,0,0
possum,dog,55,0,1,0,0
horse,bear,54,0,0,0,0
lemur,panda,56,0,0,1,0
cat,redpanda,53,1,0,0,0
duck,horse,31,1,1,1,1
scorpion,deer,5,0,0,1,0
fox,salmon,5,1,1,1,1
owl,falcon,89,0,0,1,0
skunk,crow,54,0,0,0,0
grouper,shark,53,1,1,1,1
shark,snake,8,1,1,1,1
giraffe,mule,57,1,1,1,1
cat,coyote,66,0,0,0,0
orangutan,donkey,42,0,0,1,0
fish,buffalo,6,1,1,1,1
parrot,parakeet,86,0,0,1,0
gorilla,bat,45,0,0,0,0
cockroach,mouse,30,1,1,1,1
python,skunk,12,0,0,1,0
mantis,seal,6,1,1,1,1
dolphin,robin,8,0,0,1,0
badger,cheetah,65,0,0,0,0
tiger,bat,53,1,1,1,1
cat,sheep,53,0,0,0,0
polarbear,alpaca,59,1,1,1,1
bear,woodpecker,47,0,0,0,0
llama,alpaca,94,1,1,1,1
cheetah,orangutan,55,0,0,0,0
monkey,gorilla,95,1,1,1,1
piranha,chipmunk,5,0,0,0,0
mongoose,boar,54,0,0,0,0
bull,mouse,53,0,0,0,0
caribou,elk,96,1,1,1,1
humpbackwhale,narwhal,82,0,0,1,0
coyote,walrus,37,1,1,1,1
chicken,panther,56,0,0,0,0
polarbear,tick,4,0,0,0,0
sloth,hamster,66,1,1,1,1
ant,dog,10,1,1,0,0
mouse,parrot,35,1,1,1,1
hippopotamus,cat,44,1,1,0,0
ostrich,monkey,40,0,0,0,0
cow,cat,58,0,1,0,0
hawk,fox,74,0,0,1,0
dog,penguin,33,1,0,0,0
dog,wolf,79,1,1,1,1
rat,ostrich,22,0,0,0,0
owl,cat,55,0,0,0,0
snake,rat,15,1,1,0,1
cow,koala,34,1,0,0,0
turkey,duck,81,0,0,1,0
horse,skunk,19,0,0,0,0
camel,crocodile,14,1,1,1,1
rabbit,gerbil,79,0,0,1,0
deer,sheep,64,0,0,1,0
cat,antelope,42,1,0,0,0
octopus,python,15,0,0,0,0
kangaroo,dog,33,0,0,0,0
cat,porpoise,23,1,0,0,0
mouse,mole,42,0,0,0,0
wasp,rhinoceros,3,0,0,0,0
tiger,alligator,14,1,1,1,1
python,gerbil,6,0,0,0,0
beaver,elephant,34,0,0,0,0
wolf,sheep,52,1,1,1,1
lemur,fox,43,0,0,1,0
bull,ox,96,0,0,1,0
tortoise,lemur,4,1,1,1,1
sloth,gorilla,55,0,0,1,0
raccoon,deer,25,1,1,1,1
hornet,bee,100,1,1,1,1
turkey,sparrow,62,1,1,1,1
polarbear,zebra,7,0,0,1,0
polarbear,raccoon,57,1,0,0,0
bear,seagull,7,0,0,0,0
fox,warthog,52,0,0,0,0
mountainlion,jaguar,82,1,1,1,1
hamster,panda,40,1,1,1,1
bat,groundhog,36,0,0,0,0
panda,turkey,46,1,1,0,1
greatwhiteshark,hammerheadshark,98,1,1,1,1
dog,fly,6,0,0,0,0
meerkat,opossum,71,0,0,0,0
crocodile,snake,67,0,0,0,0
elephant,alpaca,44,0,0,1,0
donkey,horse,81,1,1,1,1
fish,rooster,4,1,1,1,1
ocelot,bee,5,0,0,0,0
alpaca,mouse,24,1,1,0,0
polarbear,elephant,39,0,0,0,0
orca,koala,12,1,1,1,1
raven,elephant,9,0,0,0,0
elephant,bluebird,8,0,0,0,0
wallaby,platypus,59,0,0,1,0
otter,leopard,74,0,0,0,0
boxturtle,tiger,5,0,0,0,0
skunk,giraffe,45,0,0,0,0
chipmunk,ape,54,0,0,0,0
puma,caribou,43,1,1,1,1
panther,cheetah,98,1,1,1,1
elephant,rat,41,0,0,1,0
bear,lion,62,1,1,1,1
guineapig,koalabear,53,0,0,0,0
groundhog,cow,57,1,1,1,1
cat,bobcat,96,0,0,0,0
rat,gerbil,99,1,1,1,1
shark,orca,58,0,0,0,0
prairiedog,snake,4,0,0,1,0
possum,skunk,96,1,1,1,1
prairiedog,sloth,68,0,0,0,0
owl,cow,42,1,1,1,1
hippopotamus,zebra,53,1,1,1,1
whale,belugawhale,96,1,1,1,1
squirrel,cat,65,0,1,0,0
hyena,deer,63,1,1,1,1
gerbil,elephant,36,1,1,1,1
fly,frog,35,0,0,0,0
lion,horse,54,1,1,1,1
cougar,tiger,83,1,1,1,0
dog,mouse,37,0,0,0,0
cow,pig,61,1,1,1,1
hippopotamus,ostrich,53,0,0,1,0
tiger,ocelot,92,0,0,1,0
rhinoceros,ant,23,0,0,0,0
walrus,manatee,78,1,1,1,1
monkey,leopard,58,0,0,0,0
piranha,tiger,2,0,0,1,0
crow,grasshopper,5,0,0,0,0
platypus,deer,21,1,1,1,1
tarantula,frog,43,0,0,0,0
meerkat,cat,60,0,1,0,0
cat,bird,45,0,1,1,1
dolphin,trout,59,1,1,1,1
emu,ostrich,82,1,1,1,1
ocelot,prayingmantis,6,1,1,1,1
moose,grizzlybear,56,1,1,1,1
cheetah,seal,34,0,0,1,0
grasshopper,cricket,85,1,1,1,1
dingo,panda,59,1,1,1,1
leopard,elephant,43,0,0,1,0
crab,wolverine,5,0,0,0,0
polarbear,hamster,45,0,0,0,0
lynx,hamster,46,0,0,0,0
cat,emu,35,0,1,0,0
koala,greatwhiteshark,2,0,0,0,0
hyena,stork,3,0,0,1,0
crab,penguin,34,0,0,0,0
mink,tiger,77,0,0,0,0
donkey,dog,54,0,1,0,0
mouse,eagle,33,0,0,0,0
pig,chipmunk,55,1,1,1,1
bobcat,mountainlion,93,0,0,1,0
tiger,cat,88,1,0,0,0
baldeagle,woodpecker,63,1,1,1,1
falcon,salmon,4,1,1,1,1
bat,squirrel,31,1,1,1,1
narwhal,toad,38,0,0,0,0
falcon,ostrich,62,0,0,1,0
mink,weasel,75,0,0,1,0
octopus,tiger,7,0,0,1,0
horse,wolf,42,0,0,0,0
kangaroo,lion,23,0,0,0,0
dog,dolphin,5,0,0,1,0
grasshopper,pig,6,0,0,0,0
panda,dolphin,29,0,0,0,0
elephant,lion,28,1,1,1,1
monkey,jaguar,55,1,0,1,0
kangaroo,crocodile,18,0,0,1,0
bear,dog,57,1,1,0,0
cat,crocodile,8,1,0,0,0
gorilla,beetle,11,0,0,0,0
orca,otter,13,0,0,1,0
bird,squid,5,1,1,1,1
