animal1,animal2,similarity,uinvite,priming,rw,windowgraph
panther,monkey,26,0,0,0,0
cow,mouse,60,0,0,0,0
zebra,warthog,30,1,1,1,1
wolfhound,beagle,75,1,1,1,1
kangaroo,tadpole,14,0,0,0,0
llama,goat,66,0,0,1,0
chicken,pig,55,1,1,1,1
quail,whale,4,0,0,0,0
hippopotamus,chicken,30,0,0,0,0
elephant,wolf,38,0,0,0,0
pigeon,parakeet,87,1,1,1,1
eagle,hawk,98,1,1,1,1
parrot,weasel,34,0,0,0,0
penguin,bear,42,0,0,1,0
snake,fox,31,0,0,0,0
cat,panda,37,1,0,0,0
chicken,turkey,98,1,1,1,1
ox,camel,60,1,1,1,1
camel,pony,43,0,0,0,0
rooster,llama,25,0,0,0,0
deer,parrot,27,1,1,1,1
lion,sloth,41,0,0,0,0
polarbear,fox,41,1,1,1,1
hedgehog,kangaroo,59,1,1,0,0
puma,moose,42,0,0,0,0
lizard,opossum,9,1,1,1,1
squid,cat,7,0,1,0,0
hyena,elephant,42,0,0,1,0
horse,goose,32,0,0,0,0
dingo,wallaby,91,1,1,1,1
gopher,bee,16,0,0,0,0
hamster,cat,44,1,1,1,1
hippopotamus,giraffe,53,1,1,1,1
frog,toad,97,1,1,1,1
beetle,cat,5,0,1,0,0
bulldog,toad,19,0,0,0,0
horse,chicken,23,1,1,0,1
armadillo,fox,5,1,1,1,1
whale,crab,54,1,1,1,1
donkey,monkey,52,0,0,1,0
zebra,elephant,59,0,0,1,0
possum,sloth,82,0,0,0,0
mouse,elephant,57,0,0,0,0
parrot,rabbit,26,0,0,0,0
seal,rabbit,12,1,1,1,1
gorilla,puma,23,1,1,1,1
lynx,porpoise,27,1,0,0,0
hawk,swan,94,1,1,1,1
platypus,dingo,46,1,1,1,1
gazelle,lion,53,0,0,1,0
walrus,donkey,4,0,0,0,0
hamster,rat,96,0,0,1,0
moose,cheetah,25,0,0,0,0
falcon,cheetah,23,0,0,0,0
squirrel,raccoon,88,1,1,1,1
lobster,jellyfish,12,1,1,1,1
donkey,rhinoceros,16,0,0,0,0
eagle,seal,9,0,0,0,0
lamb,rat,38,0,0,0,0
rhinoceros,cheetah,43,1,1,1,1
scorpion,coyote,9,0,0,1,0
fish,camel,13,0,0,0,0
cheetah,cod,6,0,0,0,0
boar,lemur,53,1,1,1,1
dinosaur,goldfish,34,0,0,0,0
coyote,giraffe,39,1,1,1,1
chicken,cat,56,0,0,0,1
panda,chicken,43,1,1,1,1
alligator,scorpion,55,1,1,1,1
giraffe,dolphin,16,1,1,0,0
monkey,hippopotamus,18,1,1,1,1
deer,vulture,13,0,0,0,0
hedgehog,porcupine,85,0,0,1,0
skunk,cow,8,0,0,0,0
camel,donkey,85,1,1,1,1
wolf,seal,5,1,1,0,1
bear,leopard,54,0,0,1,0
tiger,leopard,94,0,0,1,0
mammoth,manatee,19,0,0,0,0
dog,ape,18,0,0,0,0
pig,hedgehog,19,1,1,1,1
seagull,raptor,13,0,0,0,0
deer,bear,12,0,0,0,0
parrot,hippopotamus,13,0,0,1,0
donkey,goat,86,0,0,1,0
chicken,penguin,64,0,0,0,0
jaguar,leopard,94,1,1,1,1
bear,bat,20,0,0,0,0
hawk,cat,54,1,1,0,0
fox,hedgehog,42,1,1,0,0
giraffe,crocodile,11,0,0,1,0
pandabear,platypus,19,0,0,1,0
elephant,alligator,23,1,1,1,1
leopard,hyena,62,1,1,1,1
gazelle,toad,12,0,0,0,0
koala,clownfish,2,0,0,0,0
mouse,armadillo,26,1,1,1,1
lion,cat,83,0,0,0,0
bee,cheetah,8,1,1,1,1
alligator,platypus,55,1,1,1,1
cheetah,bear,55,1,1,1,1
lion,sealion,42,0,0,1,0
ape,chicken,30,0,0,0,0
moose,deer,89,1,1,1,1
lion,leopard,88,0,0,1,0
bear,parrot,12,1,1,1,1
jaguar,elephant,34,0,0,0,0
dog,pig,53,1,1,0,0
gazelle,armadillo,33,1,1,1,1
bluejay,iguana,23,0,0,0,0
elk,python,11,0,0,0,0
koalabear,opossum,72,0,0,0,0
horse,chimpanzee,9,1,1,1,1
ape,gorilla,100,1,1,1,1
bear,bird,34,1,1,1,1
deer,dog,45,1,1,0,0
cheetah,owl,23,0,0,0,0
peacock,koala,19,0,0,1,0
swallow,elephant,16,0,0,1,0
crab,giraffe,6,0,0,0,0
wolf,cow,33,0,0,1,0
camel,bull,58,0,0,1,0
elephant,tiger,22,1,1,1,1
antelope,beaver,26,0,0,1,0
hare,porcupine,62,1,1,1,1
polarbear,dog,15,1,1,0,0
zebra,badger,30,0,0,0,0
scorpion,spider,63,1,1,1,1
sloth,koalabear,82,1,1,1,1
blackwidow,tarantula,73,1,1,1,1
bunny,deer,34,0,0,0,0
salmon,hamster,6,0,0,0,0
lemur,leopard,58,0,0,0,0
weasel,wolf,66,0,0,0,0
whale,wolf,6,0,0,0,0
pig,penguin,23,0,0,1,0
rat,pony,27,1,1,1,1
crocodile,rabbit,11,0,0,1,0
pigeon,giraffe,42,0,0,1,0
tiger,gazelle,57,1,1,0,1
falcon,zebra,9,1,1,1,1
panther,cod,7,0,0,0,0
seal,walrus,93,1,1,1,1
chicken,pigeon,55,0,0,1,0
hamster,weasel,37,0,0,0,0
chameleon,civet,4,0,0,0,0
gazelle,koala,28,1,1,1,1
lemur,chicken,16,0,0,0,0
shark,donkey,8,0,0,0,0
sheep,parrot,15,0,0,0,0
eagle,stork,78,0,0,1,0
cheetah,antelope,54,1,1,1,1
human,rabbit,11,0,0,0,0
bear,porpoise,27,1,0,0,0
tuna,whale,61,1,1,1,1
sealion,manatee,77,0,0,1,0
bear,cat,58,1,0,0,0
mouse,bird,33,1,1,1,1
panda,squirrel,52,0,0,0,0
hippopotamus,wolf,43,0,0,0,0
sheep,rat,40,0,0,0,0
dolphin,hyena,12,1,1,1,1
zebra,fox,31,1,1,1,1
tuna,salmon,97,0,0,1,0
gopher,crab,8,0,0,1,0
panda,bear,81,0,0,1,0
sheep,ox,66,1,1,0,1
panda,ferret,56,0,0,1,0
seal,hyena,22,0,0,0,0
sealion,rattlesnake,16,0,0,0,0
dolphin,orca,95,1,1,1,1
platypus,zebra,52,0,0,0,0
shark,jaguar,17,0,0,1,0
sloth,koala,90,0,0,1,0
catfish,whale,73,1,1,1,1
cow,bunny,54,1,1,1,1
dolphin,squirrel,13,0,0,0,0
horse,gazelle,62,0,0,1,0
zebra,beaver,54,0,0,0,0
mouse,cat,62,1,0,0,0
rhinoceros,bear,54,0,0,0,0
turkey,bison,58,0,0,0,0
ape,human,78,0,0,1,0
buffalo,parrot,32,0,0,1,0
greatwhiteshark,panther,3,0,0,0,0
jaguar,giraffe,61,0,0,0,0
koala,mouse,52,1,1,1,1
flamingo,gecko,23,0,0,0,0
dog,rat,50,0,0,0,0
dog,giraffe,40,0,0,1,0
owl,chipmunk,39,0,0,1,0
lemur,dog,54,1,1,0,0
hawk,greatwhiteshark,1,0,0,0,0
lizard,cat,6,0,1,0,0
bison,pig,64,1,1,1,1
goat,penguin,34,1,1,1,1
otter,crow,24,0,0,0,0
cheetah,cat,95,0,0,0,0
cat,boar,65,1,0,0,0
chicken,snake,9,0,0,0,0
antelope,mouse,27,1,0,1,0
cat,sealion,32,1,0,0,0
crocodile,ferret,11,0,0,1,0
orca,narwhal,98,1,1,0,1
fox,owl,56,0,0,1,0
spider,grizzlybear,2,0,0,0,0
bluejay,robin,100,1,1,1,1
cheetah,wolf,64,0,0,1,0
grizzlybear,tiger,62,0,0,0,0
pig,rabbit,58,0,0,0,0
lion,squirrel,40,0,0,1,0
grizzlybear,antelope,24,1,0,1,0
turtle,robin,10,0,0,0,0
fish,hamster,4,1,1,1,1
donkey,bear,53,1,1,0,0
panda,cricket,10,0,0,1,0
weasel,robin,56,0,0,1,0
giraffe,raven,54,0,0,0,0
moose,goldfish,8,0,0,0,0
penguin,falcon,53,0,0,1,0
mouse,skunk,64,0,0,0,0
rabbit,moose,28,0,0,0,0
lion,chicken,52,0,0,0,0
chicken,sheep,64,0,0,1,0
