word,freq,aoa_mean,aoa_sd
ducker,0.02,8.27,2.91
duckling,0.76,4.95,2.61
ducktail,0.02,10.71,3.65
duckweed,0.02,13.2,4.02
ducky,1.96,7.44,4.93
duct,3.14,10.74,2.86
ductile,0.02,14.22,2.77
ductless,0.08,14.69,3.7
ductwork,0.08,12.6,3.31
dud,1.25,8.55,2.72
dude,99.43,7.89,2.83
dudgeon,0.12,11.55,3.67
due,44.61,7.53,3.03
duel,2.35,9.45,2.67
dueler,0.02,10.81,3.53
duenna,0.02,16.14,2.97
duet,1.29,8.82,2.76
duffel,1.49,10.11,2.94
duffer,0.63,11,4.92
dugout,0.9,8.68,3.64
duh,3.98,8.58,5.01
duke,25.04,7.89,2.96
dukedom,0.1,11.08,2.57
dulcet,0.14,15.17,4.73
dulcimer,0.1,14,2.58
dull,12.08,8.05,2.46
dullard,0.41,12.77,2.77
dullness,0.14,8.9,2.07
duly,1.35,11.4,4.03
duma,0.8,14.5,0.71
dumb,46.96,4.5,1.5
dumbbell,0.49,7.56,2.87
dumbfound,0.06,10.47,3.5
dumbness,0.14,7.58,2.43
dumbstruck,0.06,11.26,3.59
dumbwaiter,0.31,11.47,4.9
dummy,9.8,5.17,1.86
dump,28.82,6.58,2.5
dumper,0.16,9.56,2.63
dumpling,0.88,8.5,3.7
dumpster,3.98,9.06,4.61
dumpy,0.27,8.28,2.35
dun,0.25,13,2.92
dunce,0.49,9.21,2.99
dunderhead,0.18,11.91,3.94
dune,1,9.65,2.6
dung,1.76,11.05,5.41
dungaree,0.06,12.47,3.86
dungeon,2.57,7.55,1.79
dunghill,0.08,12.25,4.84
dungy,0.02,10.5,4.6
dunk,2.59,6.58,4.07
duo,1.51,7.94,2.46
duodenal,0.04,13.86,4.45
duodenum,0.27,14.5,4.75
dup,0.02,14.4,2.41
dupe,0.65,11.81,2.07
duplex,0.47,11.05,3.25
duplicate,2.29,8.95,2.82
duplication,0.14,12.11,2.79
duplicator,0.02,9.68,2.63
duplicitous,0.2,13.83,2.9
duplicity,0.22,12.42,2.81
durability,0.22,10.05,3.72
durable,0.35,11.79,4.18
duration,1.59,10.32,2.96
durbar,0.06,17,3
duress,1.16,14,1.89
durian,0.14,15.5,3.15
during,75.92,6.8,1.66
dusk,1.2,8.74,1.82
dusky,0.41,8.88,1.41
dust,23.84,5.06,1.39
dustbin,0.14,9.28,2.65
duster,0.39,8.11,4
dustman,0.08,10.93,3.87
dustpan,0.25,6.47,2.5
dustup,0.04,11.58,2.23
dusty,5.55,4.74,1.41
dutiable,0.02,13.27,1.95
dutiful,0.29,10.84,2.32
duty,50.96,7.15,2.06
duvet,0.24,15,3.95
dwarf,3.08,7.65,2.81
dwarfish,0.04,13.25,4.04
dwarfism,0.02,11.06,2.41
dweeb,0.55,9,3.69
dwell,2.78,10.78,3.61
dweller,0.18,9.84,1.89
dwelling,1.33,9.05,3.63
dwindle,0.1,11.25,3.6
dwindling,0.25,11.83,2.33
dybbuk,0.04,16,NA
dye,3.86,7.56,2.41
dyke,2.59,13.67,2.91
dynamic,2.1,12,2.38
dynamism,0.02,14.94,3.81
dynamite,10.1,7.11,2.69
dynamiter,0.08,10.91,4.06
dynamo,0.51,12.32,3.27
dynamotor,0.02,14.09,4.23
dynastic,0.02,13.93,3.28
dynasty,2.55,10.5,3
dysentery,0.9,13.63,3.22
dysfunction,1.2,11.21,3.63
dysfunctional,1.53,11.47,3.31
dysgenics,0.04,18.4,4.39
dyslexia,0.25,12.32,3.32
dyslexic,0.33,13.26,2.23
dyslogistic,0.02,13.12,5.57
dyspeptic,0.08,17.45,2.7
dysphasia,0.02,16.4,4.17
dysplasia,0.12,16.2,4.51
dysprosium,0.02,12.33,4.04
dystopia,0.02,16.81,4.12
dystrophy,0.22,12.8,2.76
each,253.25,4.95,1.53
eager,6.86,8.5,3.03
eagerness,0.25,10.94,3.37
eagle,11.49,5.83,1.86
ear,32,3.63,1.92
earache,0.29,6.06,2.86
eardrop,0.04,9.24,5.01
eardrum,0.29,7.95,3.47
earful,0.43,8.32,2.98
earl,20.43,10.59,3
earldom,0.06,12.3,2.87
earless,0.08,9.33,2.72
earlobe,0.33,6,2.47
early,108.04,5.31,2.24
earmark,0.06,11.83,4
earmuff,0.06,7,1.79
earn,15.35,7.57,2.56
earner,0.35,10.84,3.95
earnest,1.57,10.22,2.62
earnestness,0.06,11.94,3.62
earnings,0.94,8.06,3.42
earphone,0.12,9.45,2.5
earpiece,0.53,10.28,3.95
earplug,0.06,7.58,1.89
earring,2.71,7.17,2.43
earshot,0.37,10.48,3.54
earth,99.49,5.37,1.26
earthbound,0.31,11.94,3.54
earthen,0.06,12.82,3.76
earthlight,0.02,14.17,3.3
earthling,0.69,11.63,4.74
earthly,1.49,9.38,3.37
earthman,0.33,9.06,2.79
earthquake,6.37,7.53,2.04
earthworm,0.14,5.35,2.48
earthy,0.41,9.11,3.83
earwax,0.18,6.39,1.79
earwig,0.1,10.71,4.61
ease,19.1,9.11,2.49
easeful,0.04,12.56,3.44
easel,0.27,7,1.41
easement,0.16,11.69,2.5
easer,0.02,9.6,4.64
easiness,0.02,8.44,3.22
east,49.55,6.94,3.56
eastbound,0.78,9.72,2.54
easterly,0.14,13.25,3.62
eastern,8.12,8.61,3.42
easternmost,0.02,11.5,5.16
easting,0.02,10.33,1.53
easy,265.71,5.43,1.89
easygoing,0.43,9.4,2.06
eat,251.88,2.78,1.48
eatable,0.06,8.93,4.27
eater,1.57,5.94,2.44
eatery,0.2,10.61,3.09
eau,0.47,14.71,3.4
eaves,0.1,12.4,4.66
eavesdrop,0.78,8.86,2.41
eavesdropper,0.08,9.45,3.17
ebb,0.35,11.12,3.69
ebonite,0.02,11.38,4.1
ebony,0.86,11.18,3.11
ebullient,0.04,16.5,4.44
ebullition,#N/A,16.67,2.08
eccentric,3.51,12.6,3.69
eccentricity,0.2,13.74,3.23
ecclesiastical,0.22,13.79,4.32
echelon,0.88,13.5,3.3
echo,6.86,8,2.99
echocardiogram,0.04,17.5,3.9
echogram,0.04,16.19,4.43
echolocate,0.02,14.57,3.41
echolocation,0.1,10.15,4.45
eclair,0.2,10.76,3.61
eclectic,0.39,12.83,4.74
eclipse,2.82,10.21,3.12
ecological,0.45,13.39,3.53
ecologist,0.04,12.65,3.15
ecology,0.29,12.72,3.98
economic,4.96,12,2.62
economical,0.33,11.56,2.04
economics,2.47,12.3,3.63
economist,0.22,12.32,3.33
economize,0.24,14.55,2.35
economy,5.8,12.56,2.15
ecosystem,0.63,11.06,2.35
ecru,0.14,12.17,4.04
ecstasy,3.18,13.47,3.58
ecstatic,1.35,13.26,3.6
ectoderm,0.02,15.5,3.11
ectopic,0.16,15.06,4.39
ectoplasm,0.37,13.15,4.79
ecumenical,0.18,14.56,4.67
eczema,0.18,13.05,4.29
eczematous,#N/A,16.5,5.01
edam,0.04,16,3.38
edelweiss,0.41,13.44,4.63
edema,1.06,15.07,4.35
edematous,0.06,19.2,2.68
edge,23.51,6.17,2.31
edgeways,0.06,12.29,3.39
edgewise,0.33,10.53,3.2
edginess,0.02,12.78,3.59
edgy,2.27,9.22,2.96
edibility,0.02,11,3.27
edible,1.37,8.68,3.13
edibles,0.04,11.17,3.59
edict,0.31,14.53,3.1
edification,0.29,14.44,3.76
edifice,0.41,14.07,3.56
edify,0.06,12.87,4.14
edifying,0.1,13.44,3.29
edit,1.51,9.57,2.93
editing,2.12,10.21,2.99
edition,4.88,8.42,2.04
editor,12.41,10.11,2.54
editorial,2.18,13.7,2.83
editorialize,0.08,12.94,5.05
editorship,0.02,12.47,3.04
educable,#N/A,16.33,4.8
educate,2.04,7.84,2.43
education,19.53,6.7,1.92
educational,3.27,8.26,3.26
educator,0.47,8.55,2.68
educe,#N/A,15.33,3.93
eel,1.43,6.47,2.2
eerie,1.75,9.37,2.93
effable,0.04,16.69,3.73
efface,0.02,13.2,3.23
effacement,0.02,15.56,2.22
effect,23.9,9.26,2.45
effective,10.51,10.83,3.43
effectively,2.27,10.12,2.75
effectiveness,0.53,12.3,2.45
effectual,0.06,11.89,2.87
effeminacy,0.02,15.5,3.5
effeminate,0.29,13.47,4.75
effendi,0.33,15.86,5.46
effervesce,0.02,14,4
effervescence,0.12,13.5,3.86
effervescent,0.2,14.63,2.81
effete,0.06,15.67,4.56
efficacious,0.2,16.36,3.01
efficacy,0.29,14.94,4.63
efficiency,2.73,9.67,3.18
efficient,4.96,11.53,2.32
effigy,0.27,13.76,2.08
effleurage,0.06,18.5,4.93
effluent,0.08,15.73,4.76
effluvium,0.02,16,3.03
effort,19.35,8.16,2.65
effortless,0.41,9.78,2.39
effrontery,0.43,12.86,2.19
effulgence,0.02,13.62,4.1
effulgent,0.14,13.5,7.68
effusion,0.31,14.29,4.84
effusive,0.14,13.27,3.17
egalitarian,0.08,15.58,3.29
egg,26.04,3.89,1.85
eggbeater,0.24,9.05,3.75
eggcup,0.02,7.69,3.5
egghead,1.12,8.63,3.18
eggless,0.04,11.61,4.06
eggnog,1.55,7.45,3.25
eggplant,1.1,8.3,3.45
eggroll,0.02,8.47,3.64
eggshell,0.45,7.11,2.85
eglantine,#N/A,18,NA
ego,7.49,10.89,2.97
egocentric,0.24,14.27,3.06
egoism,0.04,15.62,3.18
egoist,0.1,13.5,3.56
egoistic,0.02,13.75,3.05
egomania,0.04,15,3.58
egomaniac,0.69,11.95,3.49
egomaniacal,0.18,14.12,3.03
egotism,0.16,13.68,3.67
egotist,0.14,13.38,3.28
egotistic,0.04,13,4.2
egotistical,0.69,14.18,4.05
egregious,0.33,14.55,2.21
egress,0.2,17.46,4.14
egret,0.04,13.75,3.68
eider,0.04,14.38,3.74
eiderdown,0.06,13,3.46
eidetic,0.06,16.75,4.03
eight,98.24,5.36,1.72
eightfold,0.06,12.71,3.69
eighth,6.86,6.05,1.27
eighty,2.53,5.87,1.91
einsteinium,0.02,14.33,2.06
eisteddfod,#N/A,25,NA
either,182.51,6.28,2.64
ejaculate,0.47,13.32,1.86
ejaculation,0.57,13.18,1.81
ejaculator,0.12,14.32,3.32
ejaculatory,0.04,14.05,2.93
eject,1.41,8.05,2.7
ejection,0.59,10.53,2.78
ejector,0.29,9.86,2.5
eke,0.08,13.5,4.31
elaborate,4.75,11.53,2.22
elaboration,0.08,13.63,2.87
eland,0.02,16.2,3.55
elastic,1.04,8.85,3.07
elasticity,0.35,11.61,3.7
elated,0.27,11.89,2.64
elation,0.35,11.41,4.43
elbow,6.14,4.78,1.7
elder,7.04,7.67,4.06
elderberry,0.24,11.28,4.07
elderly,4.1,8.17,2.85
eldritch,0.06,13,5.39
elect,1.41,7.28,2.78
electability,0.02,14.53,3.47
election,10.98,9.17,2.81
elective,1.02,12.11,1.94
electoral,0.51,12,2.73
electorate,0.18,13.8,2.18
electric,17.14,6.36,2.38
electrical,8.63,8.1,3.04
electrician,1.49,8.75,2.49
electricity,11.45,6.6,2.58
electrics,0.25,7.95,1.88
electrification,0.02,10.89,2.31
electrify,0.1,9.8,3.24
electro,0.33,12.5,3.2
electrocardiogram,0.08,13.29,3.83
electrochemical,0.06,13,2.83
electrochemist,0.02,12.43,3.39
electrochemistry,0.02,14.53,1.81
electroconvulsive,0.08,12.15,4.93
electrocute,0.57,8.94,3.32
electrocution,0.98,9.24,2.73
electrode,0.29,13.11,2.3
electroencephalograph,0.02,15.85,2.44
electrolysis,0.16,14.94,3.04
electrolyte,0.22,13.63,2.52
electromagnet,0.1,12.94,3.15
electromagnetic,1.88,13.4,4.58
electromagnetism,0.06,13.89,3.67
electrometer,0.12,15.12,2.68
electromyography,0.02,16.38,2.2
electron,0.73,12.4,1.82
electronic,6.86,7.3,2.03
electronics,2.73,9.21,3.52
electrophoresis,0.06,17.38,2.45
electroplate,0.02,12.75,4.85
electroshock,0.37,12.16,3.69
electrostatic,0.2,12.78,3.12
electrostatics,0.02,14.54,1.76
electrotherapy,0.02,15.2,4.42
elegance,1.27,9.61,2.59
elegant,6.27,9.72,2.44
elegy,0.06,12.62,4.32
element,6.63,10.5,2.63
elemental,0.67,12.12,3.9
elementary,4.75,6.11,2.33
elephant,11.37,4.8,1.74
elephantine,0.08,14.27,4.2
elevate,0.84,9.11,2.47
elevation,0.92,9.95,2.66
elevator,24.41,5.47,1.68
eleven,12.98,5.78,1.67
elf,3.78,4.32,2.4
elfin,0.16,12.57,5.02
elicit,0.49,14.26,3.75
eligibility,0.25,11.39,2.64
eligible,3.31,10.84,3.06
eliminate,5.98,10.21,3.38
elimination,1.29,11.44,2.33
eliminator,0.06,11.17,2.83
elite,2.96,12.39,2.66
elitism,0.04,13.87,3.64
elitist,0.45,13.86,3.06
elixir,0.9,11.53,2.91
elk,6,7.05,4.68
ell,1.82,12.5,5.93
ellipsis,0.18,14.41,4.74
elliptical,0.24,11.81,3.69
elm,1.43,9.06,4.35
elocution,0.27,13.85,5.6
elocutionary,0.02,16.17,1.6
elongate,0.02,11.79,3.21
elongated,0.31,10.67,3.14
elongation,0.04,12.32,2.83
elope,1.31,11.37,3.3
elopement,0.24,13.47,2.4
eloquence,0.53,11.71,2.93
eloquent,0.96,11.74,2.31
else,449.16,6.53,1.77
elucidate,0.12,15.57,3.13
elucidation,0.04,16.15,4.41
elude,0.41,12.21,3.26
elusion,0.02,12.06,2.64
elusive,1.41,12.76,3.17
elutriation,0.02,15.33,2.08
elysian,0.37,15.86,3.72
email,2.08,11.52,3.28
emanate,0.24,12.19,2.99
emanation,0.1,16,1.8
emancipate,0.16,12.21,3.63
emancipation,0.47,12.15,2.13
emancipationist,0.02,13.06,2.34
emancipator,0.04,13.67,3.12
emasculate,0.16,14.5,4.34
emasculated,0.18,16.44,2.62
emasculation,0.02,14.6,3.89
embalm,0.08,12.76,3.66
embalmer,0.35,13.61,2.45
embankment,0.47,11.53,2.5
embarcadero,0.16,16.11,3.14
embargo,0.47,12.95,1.76
embark,1.25,11.05,3.73
embarkation,0.2,14.62,2.96
embarrass,8.82,6.11,2.6
embarrassed,21.43,7.83,2.64
embarrassing,22.84,8.6,2.8
embarrassment,4.84,6.28,1.96
embassy,7.78,12,2.77
embed,0.08,12.53,2.79
embellish,0.29,11.76,3.54
embellishment,0.04,13.22,3.75
ember,0.22,10.5,3.5
embezzle,0.16,12.21,3.36
embezzlement,0.94,14.74,2.28
embezzler,0.41,13.24,3.17
embitter,0.04,16.21,4.58
emblem,0.65,10.32,2.31
emblematic,0.08,12.71,4.08
embodiment,0.57,13.45,4.16
embody,0.31,10.83,2.79
embolden,0.02,14.27,2.55
embolic,0.04,14.56,2.85
embolism,0.65,14.07,4.75
embolus,0.1,17,3.42
emboss,0.02,11.33,3.9
embouchure,0.1,13,2.65
embrace,7.57,7.05,3.41
embraceable,0.04,12.12,2.2
embrangle,0.04,15.44,5.57
embrasure,0.06,13.67,2.34
embroider,0.24,11,4.72
embroidery,0.49,10.17,2.62
embroil,0.02,13.19,3.31
embryo,0.76,11.68,2.71
embryologist,0.02,17.18,2.13
embryology,0.02,16.44,3.76
embryonic,0.12,12.44,4.45
emcee,0.51,12.94,3.96
emend,0.04,14.92,3.32
emerald,2.57,8.26,2.75
emerge,1.73,9.76,2.12
emergence,0.2,10.47,3.29
emergency,54.43,5.94,2.41
emergent,0.29,13.47,2.67
emeritus,0.16,16.22,1.92
emersion,0.02,12.68,2.29
emery,1.9,10.86,2.93
emesis,0.1,17.6,3.36
emetic,0.04,15.75,3.37
emigrate,0.27,11.79,2.74
emigration,0.25,11.42,3.2
emigrational,0.02,13.36,2.9
eminence,1.88,14.59,4.24
eminency,0.04,11.93,3.2
eminent,1.65,12.53,3.04
emir,0.63,15.75,2.87
emissary,1,12.64,3
emission,0.49,13.26,3.72
emit,0.39,10.33,3.33
emitter,0.14,13.62,3.24
emolument,0.02,18.11,4.17
emote,0.06,13.35,2.37
emotion,8.29,6.37,2.48
emotional,21.2,9.45,4.57
emotionalism,0.08,14.88,4.03
emotionality,0.02,11.26,3.14
emotionless,0.06,11.68,2.98
emotive,0.06,12.71,3.44
empanada,0.02,11.36,5.97
empathetic,0.22,13.32,5.11
empathic,0.22,14.11,3.97
empathize,0.63,12.84,3.11
empathy,1.14,14.32,2.52
empennage,0.04,16,2.16
emperor,13.53,7.44,2.45
empery,0.02,15,3.94
emphasis,1.27,10.72,2.16
emphasize,1.1,11.26,2.58
emphatic,0.29,12.38,3.16
emphysema,0.55,13.55,4.42
empire,12.67,8.44,2.87
empiric,0.04,15.91,3.33
empirical,0.45,14.29,2.62
empiricism,0.02,14.06,3.73
empiricist,0.06,16,3.19
emplacement,0.02,14.06,1.73
employ,3.35,11.41,2.98
employable,0.04,11.53,4.25
employee,11.57,7.84,1.74
employer,5.37,10.15,3.62
employment,5.33,9.5,3.79
emporium,0.86,13.78,2.92
empower,0.31,12.1,3.42
empowerment,0.1,14.32,3.23
empress,2.88,9.61,3.33
emptiness,1.8,9.44,3.75
emption,0.02,9.5,3.54
empty,47.24,4.79,2.25
empyrean,0.04,15.22,2.68
emu,0.43,9,3.71
emulate,0.55,12.05,3.39
emulation,0.02,13.83,3.93
emulsification,0.02,13.29,2.64
emulsifier,#N/A,14.13,3.09
emulsify,0.04,13.75,2.53
emulsion,0.16,15.47,2.4
enable,1.47,10.42,3.59
enablement,0.02,13.32,3.97
enabler,0.12,14.26,3.26
enact,0.18,11.5,1.98
enactment,0.02,10.82,3.3
enamel,0.57,12.9,3.43
enamelware,0.02,12.44,4.99
encamp,0.02,13.31,2.47
encampment,0.31,12.76,2.7
encapsulate,0.06,13.88,4.23
encase,0.04,10.37,2.56
encasement,0.04,12.71,2.66
encephalitic,0.02,18,2.49
encephalitis,0.22,16.85,3.16
encephalogram,0.06,15.82,4.19
encephalographic,0.02,18.55,4.01
encephalography,0.02,18.4,2.07
encephalon,#N/A,11.04,5.92
encephalopathy,0.12,14.86,3.34
enchant,0.37,7.94,2.73
enchanted,2.76,6.95,2.44
enchanter,0.02,11.88,3.26
enchanting,2.04,9.21,3.38
enchantment,0.57,10.16,3.61
enchantress,0.57,12.3,3.79
enchilada,0.67,11.28,4.56
encircle,0.14,9.78,3.14
encirclement,0.06,12.69,3.34
enclave,0.06,14.29,2.31
enclose,0.33,8.85,3.17
enclosure,0.39,9.72,2.52
encode,0.1,13.21,4.2
encoder,0.22,13,3.64
encompass,0.2,11.89,3.54
encore,2.47,10.84,4.8
encounter,5.57,8.63,2.77
encourage,6.04,8.5,2.5
encouragement,2.2,7.7,2.13
encourager,0.02,9.94,3.15
encouraging,3.24,7.89,1.94
encroach,0.06,13.6,2.32
encroachment,0.04,13.06,3.9
encrust,0.02,13.94,2.75
encrustation,0.02,11.67,2.5
encrypt,0.22,13.16,4.22
encryption,1.63,14,2.97
encumbrance,0.02,14.93,2.89
encyclopedia,1.59,7.17,1.25
encyclopedic,0.12,9.47,3.56
end,265.86,4.28,2.61
endanger,1.67,9.37,2.95
endangerment,0.61,10.44,2.85
endear,0.12,11.94,2.6
endearing,0.86,13.89,4.85
endearment,0.27,12.16,3.1
endeavor,1.49,13.41,3.48
endemic,0.14,15.5,5.85
endgame,0.55,10.11,4.86
ending,15.92,5.25,2.53
endive,0.14,15.25,4.09
endless,6.63,8.89,2.65
endlessness,0.02,10.79,3.12
endocentric,0.02,16.54,2.7
endocrine,0.14,14.44,2.31
endocrinologist,0.04,16.62,3.59
endocrinology,0.08,15.88,3.38
endogenous,0.06,13.67,4.03
endometrial,0.02,16.64,3.39
endomorph,0.02,15.18,2.27
endoplasmic,0.06,14.73,3.29
endorphin,0.1,15.65,3.92
endorse,1.73,12.06,3.08
endorsement,1.39,12.22,2.07
endoscope,0.08,16.06,4.34
endoscopic,0.08,14.31,2.24
endoscopy,0.25,15.69,4.74
endoskeleton,0.04,11.72,2.99
endosperm,#N/A,13.88,5.32
endothermic,0.04,15.69,2.69
endow,0.22,13.17,3.49
endowment,0.55,13.61,2.35
endplate,0.02,11.73,3.95
endpoint,0.02,10.68,3.86
endurable,0.04,11.06,2.38
endurance,1.33,10.53,2.65
endure,4.41,10.7,3.01
enduring,0.94,11.21,2.68
enema,1.41,13.56,4.09
enemy,48.51,7.26,2.62
energetic,1.29,6.9,2.98
energize,0.39,9.44,2.28
energizer,0.25,8.95,3.61
energumen,0.02,15,NA
energy,32.9,6.52,2.36
enfant,0.04,14.9,3.84
enfilade,0.02,15.2,7.82
enflame,0.06,13.69,3.84
enfold,0.29,10.35,3.66
enforce,1.69,9.11,2.38
enforceable,0.12,11.11,2.49
enforcement,6.65,9.83,3.2
enforcer,0.67,10.5,2.59
enfranchisement,0.02,16.73,4.04
engage,6.16,10.42,3.1
engagement,13.06,8.89,1.73
engender,0.14,16.09,4.41
engine,31.88,6.28,2.37
engineer,11.69,9.89,4.34
engineering,6.53,12.06,2.6
engorgement,0.02,15,3.74
engraft,#N/A,14.83,3.66
engrave,0.29,10.89,2.77
engraver,0.2,10.11,2.05
engraving,0.45,10.58,4.15
engross,0.02,11.56,2.48
engulf,0.1,9.94,2.13
enhance,2.45,9.95,2.63
enhancement,0.45,11.24,3.33
enhancer,0.18,11.95,3.15
enigma,0.92,14.17,3.03
enigmatic,0.22,14,2.77
enigmatical,0.02,14.67,3.66
enjoin,0.16,13.15,4.78
enjoy,82.78,5.75,2.17
enjoyable,1.94,8.44,2.57
enjoyment,1.35,8.85,2.7
enkindle,0.04,15.88,4.32
enlarge,0.88,8.26,2.13
enlargement,0.41,9.5,2.7
enlarger,0.14,11.17,2.73
enlighten,2.12,12.17,2.75
enlightening,0.73,12.47,3.36
enlightenment,1.45,11.33,2.66
enlist,1.57,11.3,2.72
enlistment,0.29,11.35,3.52
enliven,0.02,12.21,3.09
enmesh,0.02,13.38,2.2
enmity,0.31,15.67,4.29
ennoble,0.08,15.92,2.64
ennui,0.37,14.83,4.34
enormity,0.25,12.81,2.07
enormous,10.31,6.53,2.87
enormousness,0.02,8.95,3.31
enough,501.33,6.96,2.69
enplane,0.02,12.2,3.05
enrage,0.27,9.58,2.41
enrapture,0.02,12.12,3.96
enraptured,0.16,14.82,2.86
enrich,0.27,10.89,3.32
enrichment,0.14,11.14,3.4
enroll,0.67,10.3,3.22
enrolls,0.02,7.94,1.92
enrolment,0.14,9.31,2.39
ensconce,#N/A,14.58,2.57
ensconced,0.22,14.77,3.27
ensemble,1.12,12.25,2.61
enshrine,0.04,12.29,2.76
enshrinement,0.02,13.97,2.66
enshroud,0.02,13.71,4.38
ensign,3.55,13.58,5.91
enslave,0.67,9.58,2.48
enslavement,0.18,10.58,3.08
enslaver,0.06,11.22,2.56
ensnare,0.12,11.35,3.36
ensue,0.2,12.11,2.99
ensuing,0.2,12.72,3.37
ensure,4.96,11.11,2.81
entail,0.57,11.69,3.18
entangle,0.12,11,4.1
entanglement,0.16,10.79,2.88
entendre,0.2,14.85,2.61
entente,0.02,14,3.92
enter,29.73,5.67,1.97
enteritis,0.02,16.2,3.91
enterprise,8.1,12.89,2.05
enterpriser,0.06,13.06,4.13
enterprising,0.51,12.67,3.66
entertain,6.14,7.5,2.48
entertainer,1.65,7.85,2.08
entertaining,5.65,8.84,2.61
entertainment,12.55,7.39,2.4
enthralling,0.14,13.72,3.89
enthronement,0.08,14.21,2.89
enthusiasm,4.49,9.05,2.32
enthusiast,0.57,8.78,2.53
enthusiastic,2.78,9.17,2.12
entice,0.51,12.47,3.1
enticement,0.08,11.89,3.64
entire,79.8,7.22,2.39
entirety,0.47,9.9,2.92
entitle,0.43,12.37,3.3
entitlement,0.24,12.62,3.67
entity,1.69,9.5,2.94
entomb,0.1,12.89,4.19
entombment,0.06,12.11,3.48
entomological,0.08,14.12,2.78
entomologist,0.37,14.86,2.85
entomology,0.24,12.8,3.14
entourage,1.35,12.06,2.13
entrails,0.88,14.06,4.67
entrainment,0.02,12.17,5.04
entrance,15.69,6.84,1.95
entranceway,0.02,10.37,4.07
entrant,0.02,12.41,4.64
entrap,0.18,11.11,3.79
entrapment,0.84,15,4.8
entreat,0.41,13.25,2.6
entreaty,0.04,13.6,4.32
entrechat,0.02,15,0
entree,0.82,11.22,4.14
entrepreneur,1.08,12.16,2.01
entrepreneurial,0.18,13.67,2.99
entropy,0.22,15.42,5.48
entrust,0.73,11.89,3.93
entry,12.16,7,1.84
entryway,0.16,8.17,2.09
entwine,0.16,11.18,2.32
enucleated,0.02,14.7,2.79
enumerate,0.02,12.72,2.76
enumeration,0.02,14.53,3.11
enunciate,0.14,11.64,3.32
enunciation,0.1,12.24,4.44
envelop,0.08,9.28,3.54
envelope,10.06,6.25,2
enviable,0.22,12.53,2.76
envious,1.25,9.26,2.58
environment,12.78,9.85,2.56
environmental,3.27,9.83,3.05
environmentalism,0.06,13.5,3.45
environmentalist,0.25,12.89,3.36
environs,0.2,13.87,2.75
envisage,0.02,12.64,4.11
envision,0.53,11.72,2.35
envoy,0.86,13.11,3.54
envy,9.55,8.37,2.95
enzymatic,0.06,14.14,2.54
enzyme,1.06,13.77,2.76
eohippus,0.04,16,3.7
eon,0.25,14.06,4.41
eosin,0.02,15,1.41
eparch,0.04,16.75,0.5
epaulet,0.06,15.45,3.01
epaulette,#N/A,13.75,3.58
epergne,#N/A,18,NA
ephedrine,0.14,14.82,4.08
ephemera,0.04,15.36,2.24
ephemeral,0.2,14.47,3.54
epic,2.35,10.86,3.95
epical,0.02,14.17,4.73
epicenter,0.31,12.35,3.33
epicure,0.04,17.17,3.66
epicurean,0.02,16.25,3.77
epidemic,3.41,11.05,2.95
epidemiological,0.04,15.33,2.61
epidemiologist,0.06,15.6,2.87
epidemiology,0.14,16.2,2.86
epidermal,0.2,12.12,3.02
epidermis,0.29,13.44,2.85
epidiascope,0.04,17.43,5.44
epidural,0.55,13,3.94
epiglottis,0.12,15.67,4.5
epigram,0.06,12.67,3.35
epilepsy,1.04,12.39,3.09
epileptic,1.2,12.35,3.69
epilogue,0.12,12.41,3.22
epinephrine,1.16,14.85,4.22
epiphany,1.29,13.74,3.8
epiphenomenalism,0.02,16.4,3.21
epiphyte,0.02,14.4,5.5
episiotomy,0.02,18.57,3.5
episode,12.29,7.83,1.92
episodic,0.02,12.87,2.75
epistemic,0.16,16.22,3.67
epistemological,0.02,17.67,4.36
epistle,0.1,12.62,4.09
epitaph,0.51,12.59,4
epithalamium,#N/A,17.25,1.67
epithelial,0.12,15,3.52
epithelium,0.04,17,2.8
epithet,0.14,14.62,3.23
epitome,0.43,13.88,3.16
epitomize,0.04,16.06,2.82
epoch,0.14,13.13,4.09
epochal,0.06,15.8,4.39
epoxy,0.18,12.12,2.92
epsilon,0.33,15.67,3.03
equability,#N/A,13.79,3.26
equal,13.37,6.47,1.58
equality,1.9,10.27,3.11
equalization,0.06,11,3.34
equalize,0.2,10.06,3.04
equalizer,0.41,11.5,2.7
equalizing,0.08,12.61,3.16
equanimity,0.06,12.67,3.91
equate,0.39,10.67,3.97
equation,3.49,8.79,2.25
equator,0.61,8.59,2.4
equatorial,0.33,11.5,2.5
equerry,0.02,14.57,6.19
equestrian,0.39,12.76,3.01
equestrienne,#N/A,14.67,3.5
equidistant,0.14,14.67,3.2
equilateral,0.04,12.72,2.93
equilibrator,0.02,16.09,4.09
equilibrium,0.9,12.67,2.74
equine,0.14,12.28,3.87
equinoctial,#N/A,15,1.41
equinox,0.37,13.17,3.38
equip,0.33,10.82,2.3
equipage,#N/A,15.4,3.21
equipment,25.45,7.5,1.62
equipoise,0.16,15.67,3.01
equitable,0.35,13.84,3.2
equitation,0.04,15.31,2.98
equity,1.31,15.53,4.41
equivalency,0.22,11.06,1.76
equivalent,2.63,10.26,2.38
equivocal,0.16,14.24,4.07
equivocate,0.1,14.62,3.75
equivocation,0.1,13.79,3.51
era,5.71,11.14,2.48
eradicate,0.53,14.75,3.21
eradication,0.29,13.67,2.99
