probRewire,numNodesInput,numlinks,theta,numX,propX,startNode,numsamples,numgraphs,xlen,spearman,rank,numnodesPost,time
0.2,25,4,0.5,1,0.5,fixed,100,100,13,-0.39074760638082195,33,13,8.801898002624512
0.2,25,4,0.5,1,0.6,random,100,100,15,-0.21839281631694113,53,15,10.659138917922974
0.2,25,4,0.5,1,0.6,fixed,100,100,15,-0.49044297148452792,43,15,10.846952199935913
0.2,25,4,0.5,1,0.7,random,100,100,18,-0.25573746771860723,46,18,13.978956937789917
0.2,25,4,0.5,1,0.7,fixed,100,100,18,-0.17242465478864955,86,18,13.558294773101807
0.2,25,4,0.5,1,0.8,random,100,100,20,-0.38230950552455029,39,20,15.63049602508545
0.2,25,4,0.5,1,0.8,fixed,100,100,20,-0.43515262889700779,42,20,17.17435598373413
0.2,25,4,0.5,1,0.9,random,100,100,23,-0.16933695050015299,75,23,19.378043174743652
0.2,25,4,0.5,1,0.9,fixed,100,100,23,-0.310770450874712,80,23,19.4553439617157
0.2,25,4,0.5,1,1.0,random,100,100,25,-0.4209316415133505,50,25,20.900434970855713
0.2,25,4,0.5,1,1.0,fixed,100,100,25,-0.21031021832235411,68,25,22.283824920654297
0.2,25,4,0.5,2,0.3,random,100,100,8,-0.16671270338906735,84,16,9.574105978012085
0.2,25,4,0.5,2,0.3,fixed,100,100,8,-0.60323775524051892,25,11,9.216912031173706
0.2,25,4,0.5,2,0.4,random,100,100,10,-0.42192718307544913,46,16,17.854881048202515
0.2,25,4,0.5,2,0.4,fixed,100,100,10,-0.5995688775128023,31,15,14.533572912216187
0.2,25,4,0.5,2,0.5,random,100,100,13,-0.39314296828176798,50,18,19.311017990112305
0.2,25,4,0.5,2,0.5,fixed,100,100,13,-0.3826689296707631,49,19,19.81373405456543
0.2,25,4,0.5,2,0.6,random,100,100,15,-0.43525019363372119,16,23,22.090157985687256
0.2,25,4,0.5,2,0.6,fixed,100,100,15,-0.36288128340059711,30,19,23.12928009033203
0.2,25,4,0.5,2,0.7,random,100,100,18,-0.33121108831771739,20,23,28.293538808822632
0.2,25,4,0.5,2,0.7,fixed,100,100,18,-0.48813009962015352,19,25,21.237959146499634
0.2,25,4,0.5,2,0.8,random,100,100,20,-0.47901421598716315,30,25,25.12674307823181
0.2,25,4,0.5,2,0.8,fixed,100,100,20,-0.39149482742002467,65,23,23.0590181350708
0.2,25,4,0.5,2,0.9,random,100,100,23,-0.51501908349030667,10,25,27.998143911361694
0.2,25,4,0.5,2,0.9,fixed,100,100,23,-0.37227351503631884,1,25,29.37736487388611
0.2,25,4,0.5,2,1.0,random,100,100,25,-0.54637747425820371,4,25,28.41805100440979
0.2,25,4,0.5,2,1.0,fixed,100,100,25,-0.58379852926666587,1,25,27.92731213569641
0.2,25,4,0.5,3,0.3,random,100,100,8,-0.31952809794791537,86,18,16.432686805725098
0.2,25,4,0.5,3,0.3,fixed,100,100,8,-0.38486746854227932,31,17,19.98373293876648
0.2,25,4,0.5,3,0.4,random,100,100,10,-0.62859173315023142,52,22,27.715250968933105
0.2,25,4,0.5,3,0.4,fixed,100,100,10,-0.28974845365355445,46,21,19.50962495803833
0.2,25,4,0.5,3,0.5,random,100,100,13,-0.5366585890748129,14,24,24.575850009918213
0.2,25,4,0.5,3,0.5,fixed,100,100,13,-0.58713230923493509,9,19,25.588825941085815
0.2,25,4,0.5,3,0.6,random,100,100,15,-0.59055177395775393,26,25,26.813761949539185
0.2,25,4,0.5,3,0.6,fixed,100,100,15,-0.50870383409050912,24,23,53.565102100372314
0.2,25,4,0.5,3,0.7,random,100,100,18,-0.56381264735582792,2,25,40.73200511932373
0.2,25,4,0.5,3,0.7,fixed,100,100,18,-0.46966466708052301,4,23,38.541714906692505
0.2,25,4,0.5,3,0.8,random,100,100,20,-0.57006252360309484,3,25,30.40877890586853
0.2,25,4,0.5,3,0.8,fixed,100,100,20,-0.61458377107896112,1,25,34.15687680244446
0.2,25,4,0.5,3,0.9,random,100,100,23,-0.28536348119790933,1,25,38.796590089797974
0.2,25,4,0.5,3,0.9,fixed,100,100,23,-0.4754701765011542,1,25,39.0025098323822
0.2,25,4,0.5,3,1.0,random,100,100,25,-0.49055045339955144,1,25,37.773163080215454
0.2,25,4,0.5,3,1.0,fixed,100,100,25,-0.42452831616370701,1,25,39.61660718917847
0.2,25,4,0.5,4,0.3,random,100,100,8,-0.54686750635185333,16,19,24.62629008293152
0.2,25,4,0.5,4,0.3,fixed,100,100,8,-0.35849425973584231,72,21,30.95415496826172
0.2,25,4,0.5,4,0.4,random,100,100,10,-0.43953831389753573,37,22,36.35003590583801
0.2,25,4,0.5,4,0.4,fixed,100,100,10,-0.41550409329793486,3,19,28.13036298751831
0.2,25,4,0.5,4,0.5,random,100,100,13,-0.3619671883393234,1,22,34.650578022003174
0.2,25,4,0.5,4,0.5,fixed,100,100,13,-0.41734198211019413,1,23,41.45225286483765
0.2,25,4,0.5,4,0.6,random,100,100,15,-0.4477277136114356,1,24,33.88647699356079
0.2,25,4,0.5,4,0.6,fixed,100,100,15,-0.58954679574121449,1,24,48.84224319458008
0.2,25,4,0.5,4,0.7,random,100,100,18,-0.49806234231124724,1,24,36.59252882003784
0.2,25,4,0.5,4,0.7,fixed,100,100,18,-0.42150104427197876,1,25,37.689558029174805
0.2,25,4,0.5,4,0.8,random,100,100,20,-0.43940376330838066,1,25,55.2105278968811
0.2,25,4,0.5,4,0.8,fixed,100,100,20,-0.49709709151290449,1,25,52.59371495246887
0.2,25,4,0.5,4,0.9,random,100,100,23,-0.28690151987296142,1,25,45.65992307662964
0.2,25,4,0.5,4,0.9,fixed,100,100,23,-0.42220378158479643,1,25,44.67890405654907
0.2,25,4,0.5,4,1.0,random,100,100,25,-0.4318795534670859,1,25,50.78426909446716
0.2,25,4,0.5,4,1.0,fixed,100,100,25,-0.42891390619089609,1,25,50.525378942489624
0.2,30,4,0.5,1,0.3,random,100,100,9,0.055104718933322944,86,9,5.607197999954224
0.2,30,4,0.5,1,0.3,fixed,100,100,9,-0.23094510803113849,37,9,5.421499013900757
0.2,30,4,0.5,1,0.4,random,100,100,12,-0.47637889946203521,36,12,7.9475929737091064
0.2,30,4,0.5,1,0.4,fixed,100,100,12,-0.3219787163060408,59,12,8.953248023986816
0.2,30,4,0.5,1,0.5,random,100,100,15,-0.28767880461518103,27,15,10.795316934585571
0.2,30,4,0.5,1,0.5,fixed,100,100,15,-0.45253330188660013,58,15,10.509403944015503
0.2,30,4,0.5,1,0.6,random,100,100,18,-0.45957906779064173,66,18,13.813199043273926
0.2,30,4,0.5,1,0.6,fixed,100,100,18,-0.15759253310522062,77,18,14.456664085388184
0.2,30,4,0.5,1,0.7,random,100,100,21,-0.5598165367260779,41,21,17.043829917907715
0.2,30,4,0.5,1,0.7,fixed,100,100,21,-0.42903019823719435,39,21,17.24196195602417
0.2,30,4,0.5,1,0.8,random,100,100,24,-0.37639379327816819,36,24,20.162420988082886
0.2,30,4,0.5,1,0.8,fixed,100,100,24,-0.38226010273573646,17,24,20.358955144882202
0.2,30,4,0.5,1,0.9,random,100,100,27,-0.42543132211406348,50,27,23.641124963760376
0.2,30,4,0.5,1,0.9,fixed,100,100,27,-0.51081580201694565,70,27,24.53620719909668
0.2,30,4,0.5,1,1.0,random,100,100,30,-0.27154501617818899,67,30,25.871812105178833
0.2,30,4,0.5,1,1.0,fixed,100,100,30,-0.43031377560838863,86,30,25.576863050460815
0.2,30,4,0.5,2,0.3,random,100,100,9,-0.41077050707371504,58,13,11.922132015228271
0.2,30,4,0.5,2,0.3,fixed,100,100,9,-0.47017586847978643,37,15,12.707765102386475
0.2,30,4,0.5,2,0.4,random,100,100,12,-0.6126989071966481,31,18,13.453438997268677
0.2,30,4,0.5,2,0.4,fixed,100,100,12,-0.46819448619720894,60,19,13.154223918914795
0.2,30,4,0.5,2,0.5,random,100,100,15,-0.54563326929240707,5,22,16.216207027435303
0.2,30,4,0.5,2,0.5,fixed,100,100,15,-0.47838628271032169,1,19,19.838130950927734
0.2,30,4,0.5,2,0.6,random,100,100,18,-0.53337192260356603,2,24,18.447048902511597
0.2,30,4,0.5,2,0.6,fixed,100,100,18,-0.54222416965154574,34,25,37.10716509819031
0.2,30,4,0.5,2,0.7,random,100,100,21,-0.41888277290188947,12,27,23.99129009246826
0.2,30,4,0.5,2,0.7,fixed,100,100,21,-0.58184167068581361,16,27,24.741577863693237
0.2,30,4,0.5,2,0.8,random,100,100,24,-0.40874747532775463,3,25,39.65604901313782
0.2,30,4,0.5,2,0.8,fixed,100,100,24,-0.48519435779951658,4,28,33.41704201698303
0.2,30,4,0.5,2,0.9,random,100,100,27,-0.53685450441123073,9,30,49.08375811576843
0.2,30,4,0.5,2,0.9,fixed,100,100,27,-0.44344816866608794,7,29,31.115800142288208
0.2,30,4,0.5,2,1.0,random,100,100,30,-0.43090931706942437,1,30,35.49307680130005
0.2,30,4,0.5,2,1.0,fixed,100,100,30,-0.26003803555679178,2,30,34.89356589317322
0.2,30,4,0.5,3,0.3,random,100,100,9,-0.50857211901989707,10,19,14.9860999584198
0.2,30,4,0.5,3,0.3,fixed,100,100,9,-0.46069508375536,13,14,20.97017812728882
0.2,30,4,0.5,3,0.4,random,100,100,12,-0.36115935682568157,7,20,27.028038024902344
0.2,30,4,0.5,3,0.4,fixed,100,100,12,-0.28485232876817229,5,23,22.022085905075073
0.2,30,4,0.5,3,0.5,random,100,100,15,-0.51622012611906332,1,22,30.855990171432495
0.2,30,4,0.5,3,0.5,fixed,100,100,15,-0.50362484895639759,3,24,37.44892501831055
0.2,30,4,0.5,3,0.6,random,100,100,18,-0.44413431888225374,1,29,32.98576307296753
0.2,30,4,0.5,3,0.6,fixed,100,100,18,-0.62416348676620026,2,28,30.56895899772644
0.2,30,4,0.5,3,0.7,random,100,100,21,-0.5656794902382043,6,30,36.1245219707489
0.2,30,4,0.5,3,0.7,fixed,100,100,21,-0.40930057389690827,1,28,53.70597290992737
0.2,30,4,0.5,3,0.8,random,100,100,24,-0.55801402847888137,1,30,43.20573306083679
0.2,30,4,0.5,3,0.8,fixed,100,100,24,-0.56065999475411898,1,29,46.89585590362549
0.2,30,4,0.5,3,0.9,random,100,100,27,-0.41384003271577574,1,30,43.85328817367554
0.2,30,4,0.5,3,0.9,fixed,100,100,27,-0.60136268959667094,1,30,45.357210874557495
0.2,30,4,0.5,3,1.0,random,100,100,30,-0.49270619406413418,1,30,50.356247901916504
0.2,30,4,0.5,3,1.0,fixed,100,100,30,-0.47376083006416164,1,30,49.0773229598999
0.2,30,4,0.5,4,0.3,random,100,100,9,-0.47575368612963531,23,24,33.16577100753784
0.2,30,4,0.5,4,0.3,fixed,100,100,9,-0.5799947642644584,5,21,29.510662078857422
0.2,30,4,0.5,4,0.4,random,100,100,12,-0.27214435675469895,6,24,37.08004379272461
0.2,30,4,0.5,4,0.4,fixed,100,100,12,-0.53986102923802304,7,25,52.44703698158264
0.2,30,4,0.5,4,0.5,random,100,100,15,-0.54618913047992201,8,29,52.10146713256836
0.2,30,4,0.5,4,0.5,fixed,100,100,15,-0.4830920218239142,1,24,41.76142907142639
0.2,30,4,0.5,4,0.6,random,100,100,18,-0.45353641739567113,1,29,46.212910890579224
0.2,30,4,0.5,4,0.6,fixed,100,100,18,-0.60093727071275194,1,30,39.162577867507935
0.2,30,4,0.5,4,0.7,random,100,100,21,-0.40230508002695897,1,30,47.70172595977783
0.2,30,4,0.5,4,0.7,fixed,100,100,21,-0.36930632749342818,1,29,51.98884987831116
0.2,30,4,0.5,4,0.8,random,100,100,24,-0.53487749789616468,1,30,49.580042123794556
0.2,30,4,0.5,4,0.8,fixed,100,100,24,-0.37807402539169832,1,30,54.226142168045044
0.2,30,4,0.5,4,0.9,random,100,100,27,-0.60890772269936677,1,30,60.12716102600098
0.2,30,4,0.5,4,0.9,fixed,100,100,27,-0.10180429109767121,1,30,59.83897686004639
0.2,30,4,0.5,4,1.0,random,100,100,30,-0.47248959287627984,1,30,64.69523882865906
0.2,30,4,0.5,4,1.0,fixed,100,100,30,-0.35895011302477908,1,30,64.6012008190155
0.2,35,4,0.5,1,0.3,random,100,100,11,-0.4371676087434217,20,11,8.499459981918335
0.2,35,4,0.5,1,0.3,fixed,100,100,11,-0.48629843451939464,70,11,8.434407949447632
0.2,35,4,0.5,1,0.4,random,100,100,14,-0.40561046180868471,58,14,11.429553985595703
0.2,35,4,0.5,1,0.4,fixed,100,100,14,-0.50432270065349294,44,14,10.815751075744629
0.2,35,4,0.5,1,0.5,random,100,100,18,-0.41650427886389468,53,18,15.223011016845703
0.2,35,4,0.5,1,0.5,fixed,100,100,18,-0.19434537407204866,67,18,13.83594298362732
0.2,35,4,0.5,1,0.6,random,100,100,21,-0.50874767469659521,47,21,17.669466972351074
0.2,35,4,0.5,1,0.6,fixed,100,100,21,-0.33776520208029143,20,21,17.0064799785614
0.2,35,4,0.5,1,0.7,random,100,100,25,-0.29675606394368464,53,25,20.754472017288208
0.2,35,4,0.5,1,0.7,fixed,100,100,25,-0.36706193341378102,35,25,20.26470398902893
0.2,35,4,0.5,1,0.8,random,100,100,28,-0.25085548429685262,49,28,23.27609419822693
0.2,35,4,0.5,1,0.8,fixed,100,100,28,-0.41898678028366626,68,28,24.563786029815674
0.2,35,4,0.5,1,0.9,random,100,100,32,-0.38056215532299825,70,32,26.98445415496826
0.2,35,4,0.5,1,0.9,fixed,100,100,32,-0.35475201074517682,76,32,27.345929861068726
0.2,35,4,0.5,1,1.0,random,100,100,35,-0.46513485678911226,56,35,31.301898956298828
0.2,35,4,0.5,1,1.0,fixed,100,100,35,-0.2505837457800732,57,35,30.720473051071167
0.2,35,4,0.5,2,0.3,random,100,100,11,-0.52953588755718939,33,20,17.03238797187805
0.2,35,4,0.5,2,0.3,fixed,100,100,11,-0.42254720852100408,31,15,14.88267207145691
0.2,35,4,0.5,2,0.4,random,100,100,14,-0.37254963268086538,29,25,31.652843952178955
0.2,35,4,0.5,2,0.4,fixed,100,100,14,-0.52679108980831768,54,19,24.01619291305542
0.2,35,4,0.5,2,0.5,random,100,100,18,-0.47045293303709912,17,29,26.59075403213501
0.2,35,4,0.5,2,0.5,fixed,100,100,18,-0.44103529388959456,7,21,24.351940870285034
0.2,35,4,0.5,2,0.6,random,100,100,21,-0.44301737922386158,12,29,29.844599962234497
0.2,35,4,0.5,2,0.6,fixed,100,100,21,-0.37898138130232306,24,29,35.01382112503052
0.2,35,4,0.5,2,0.7,random,100,100,25,-0.39534335873462823,4,32,43.71811890602112
0.2,35,4,0.5,2,0.7,fixed,100,100,25,-0.61076932203886813,4,31,34.81155204772949
0.2,35,4,0.5,2,0.8,random,100,100,28,-0.35767641540024336,1,30,34.447847843170166
0.2,35,4,0.5,2,0.8,fixed,100,100,28,-0.48377538325091196,2,32,41.311996936798096
0.2,35,4,0.5,2,0.9,random,100,100,32,-0.54530894954033116,1,34,41.04541301727295
0.2,35,4,0.5,2,0.9,fixed,100,100,32,-0.30662958238789834,1,35,39.4984929561615
0.2,35,4,0.5,2,1.0,random,100,100,35,-0.39319307699967915,1,35,41.1038761138916
0.2,35,4,0.5,2,1.0,fixed,100,100,35,-0.56808272684399885,1,35,43.39015984535217
0.2,35,4,0.5,3,0.3,random,100,100,11,-0.47870480709380064,3,23,20.898415088653564
0.2,35,4,0.5,3,0.3,fixed,100,100,11,-0.52248014792009312,9,16,21.393080949783325
0.2,35,4,0.5,3,0.4,random,100,100,14,-0.47692263457254652,2,22,34.15174603462219
0.2,35,4,0.5,3,0.4,fixed,100,100,14,-0.59582996049477455,4,18,25.72379493713379
0.2,35,4,0.5,3,0.5,random,100,100,18,-0.43203686574319444,2,29,45.40587091445923
0.2,35,4,0.5,3,0.5,fixed,100,100,18,-0.42087617831254404,2,32,36.56666088104248
0.2,35,4,0.5,3,0.6,random,100,100,21,-0.51977226882847016,3,34,56.3893780708313
0.2,35,4,0.5,3,0.6,fixed,100,100,21,-0.36325539878660001,1,32,51.167104959487915
0.2,35,4,0.5,3,0.7,random,100,100,25,-0.37367534449089113,1,33,61.14327788352966
0.2,35,4,0.5,3,0.7,fixed,100,100,25,-0.53262008962729468,1,35,66.19400119781494
0.2,35,4,0.5,3,0.8,random,100,100,28,-0.32283976743508058,1,35,51.77078604698181
0.2,35,4,0.5,3,0.8,fixed,100,100,28,-0.5044193436793486,1,35,57.36156487464905
0.2,35,4,0.5,3,0.9,random,100,100,32,-0.33188803636352465,1,35,60.11006999015808
0.2,35,4,0.5,3,0.9,fixed,100,100,32,-0.46132054956025376,1,35,53.4790940284729
0.2,35,4,0.5,3,1.0,random,100,100,35,-0.43443420963086182,1,35,58.59112095832825
0.2,35,4,0.5,3,1.0,fixed,100,100,35,-0.47765829407885191,1,35,63.59831380844116
0.2,35,4,0.5,4,0.3,random,100,100,11,-0.46262649609761797,13,29,47.76135587692261
0.2,35,4,0.5,4,0.3,fixed,100,100,11,-0.47409765208323928,4,23,33.03537702560425
0.2,35,4,0.5,4,0.4,random,100,100,14,-0.61935484029446031,1,28,38.02580499649048
0.2,35,4,0.5,4,0.4,fixed,100,100,14,-0.48354969629627642,2,24,35.536550998687744
0.2,35,4,0.5,4,0.5,random,100,100,18,-0.38354522584624973,1,32,69.06014704704285
0.2,35,4,0.5,4,0.5,fixed,100,100,18,-0.60976663391063046,1,33,43.83036804199219
0.2,35,4,0.5,4,0.6,random,100,100,21,-0.4378465608341921,1,35,50.99270701408386
0.2,35,4,0.5,4,0.6,fixed,100,100,21,-0.53526630603936953,1,32,52.02416920661926
0.2,35,4,0.5,4,0.7,random,100,100,25,-0.38114838228744125,1,35,63.38287901878357
0.2,35,4,0.5,4,0.7,fixed,100,100,25,-0.46787391889205565,1,33,56.77540397644043
0.2,35,4,0.5,4,0.8,random,100,100,28,-0.43372567129569245,1,35,69.7645058631897
0.2,35,4,0.5,4,0.8,fixed,100,100,28,-0.47048809156858334,1,34,69.8157250881195
0.2,35,4,0.5,4,0.9,random,100,100,32,-0.4452057521571402,1,35,71.3660478591919
0.2,35,4,0.5,4,0.9,fixed,100,100,32,-0.62003116210887188,1,35,77.2467999458313
0.2,35,4,0.5,4,1.0,random,100,100,35,-0.46741909936366349,1,35,79.7564148902893
0.2,35,4,0.5,4,1.0,fixed,100,100,35,-0.40445211297613026,1,35,85.74919986724854
0.2,40,4,0.5,1,0.3,random,100,100,12,-0.41778628457264944,51,12,9.074995994567871
0.2,40,4,0.5,1,0.3,fixed,100,100,12,-0.56224103460964858,52,12,9.16537594795227
0.2,40,4,0.5,1,0.4,random,100,100,16,-0.27032028076290066,56,16,12.311944961547852
0.2,40,4,0.5,1,0.4,fixed,100,100,16,-0.38005522375886147,34,16,12.043958187103271
0.2,40,4,0.5,1,0.5,random,100,100,20,-0.28646920010398974,63,20,16.735647916793823
0.2,40,4,0.5,1,0.5,fixed,100,100,20,-0.45484301479935763,22,20,16.680628061294556
0.2,40,4,0.5,1,0.6,random,100,100,24,-0.24630426227269453,78,24,19.71161699295044
0.2,40,4,0.5,1,0.6,fixed,100,100,24,-0.22730321646703477,83,24,20.613409996032715
0.2,40,4,0.5,1,0.7,random,100,100,28,-0.41630980309949223,28,28,24.723366022109985
0.2,40,4,0.5,1,0.7,fixed,100,100,28,-0.46464548698943747,35,28,24.09797692298889
0.2,40,4,0.5,1,0.8,random,100,100,32,-0.34330783848564117,53,32,29.153017044067383
0.2,40,4,0.5,1,0.8,fixed,100,100,32,-0.50887481719955785,20,32,30.522642135620117
0.2,40,4,0.5,1,0.9,random,100,100,36,-0.38485283409720605,54,36,34.583317041397095
0.2,40,4,0.5,1,0.9,fixed,100,100,36,-0.43659981989272034,37,36,34.13476610183716
0.2,40,4,0.5,1,1.0,random,100,100,40,-0.33573924407254119,60,40,38.30838489532471
0.2,40,4,0.5,1,1.0,fixed,100,100,40,-0.21894426481840606,48,40,40.62884879112244
0.2,40,4,0.5,2,0.3,random,100,100,12,-0.66092022124268501,8,15,12.895398139953613
0.2,40,4,0.5,2,0.3,fixed,100,100,12,-0.39770653852212656,26,18,17.63125205039978
0.2,40,4,0.5,2,0.4,random,100,100,16,-0.55100591369341545,51,29,31.38790011405945
0.2,40,4,0.5,2,0.4,fixed,100,100,16,-0.60826871770579483,10,21,31.619500875473022
0.2,40,4,0.5,2,0.5,random,100,100,20,-0.51226492578932648,9,31,31.173216819763184
0.2,40,4,0.5,2,0.5,fixed,100,100,20,-0.46274304081156609,56,26,24.79383897781372
0.2,40,4,0.5,2,0.6,random,100,100,24,-0.47401739973710749,3,32,30.224722862243652
0.2,40,4,0.5,2,0.6,fixed,100,100,24,-0.39545765444165942,9,32,53.7159149646759
0.2,40,4,0.5,2,0.7,random,100,100,28,-0.28701426880839281,41,40,66.74997305870056
