word,aoa_mean,aoa_sd
adamantine,15.91,2.3
adapt,9,2.83
adaptability,11.65,3.04
adaptable,9.37,2.63
adaptation,11.39,2.7
adapter,11.79,2.72
adaption,12.4,4.32
adaptive,11.33,3.53
adaptor,10.21,2.55
add,5.1,1.48
addendum,15.65,3.14
adder,12.13,4.87
addict,11.17,3.17
addiction,12.11,4.2
addictive,10.33,3.01
addictiveness,11.61,2.99
addition,5.76,2.18
additional,9,2.62
additive,12.28,2.32
addle,13.08,3.35
addled,12,2.83
address,5.15,1.57
addressee,9.95,3.19
adduce,13,5.1
adductor,14.18,4.87
adenoidal,15.33,5.35
adenoma,13.78,3.93
adenosine,16.29,2.98
adept,12.5,3.08
adeptness,14.37,2.11
adequacy,12.5,2.66
adequate,10.35,2.46
adhere,10.78,2.21
adherence,12.22,3.26
adherent,14.17,2.77
adhesion,13.5,2.63
adhesive,9.17,2.73
adiabatic,18.5,3.87
adipose,15.7,3.27
adiposity,15.86,3.44
adjacent,11.05,3.29
adjective,8.6,2.06
adjoining,11.85,2.58
adjourn,12.59,2.81
adjournment,14.26,3.91
adjudge,15.2,4.52
adjudicate,15.25,2.08
adjudication,16.33,3.7
adjudicator,16.47,3.98
adjunct,13.06,5.08
adjuration,16,4.24
adjure,13.1,2.77
adjust,8.43,3.33
adjustability,12.05,2.48
adjustable,8.95,2.53
adjuster,11.28,3.77
adjustment,9.74,3.05
adjustor,13.29,3.08
adjutant,13.91,4.21
adjuvant,14.25,2.26
admin,13.89,3.77
administer,9.42,3.22
administrate,12.5,2.77
administration,11.11,2.51
administrative,11.5,2.62
administrator,12.22,3.15
admirable,11.42,3.55
admiral,8.72,2.67
admiralty,11.41,3.37
admiration,8.95,3.79
admire,7.42,2.14
admirer,8.78,2.13
admissibility,13.79,3.7
admissible,13.1,2.79
admission,8.84,2.85
admit,7.56,2.23
admittance,10.39,3.03
admixture,14.1,3.67
admonish,13.4,3.53
admonition,13.86,3.57
ado,11.88,3.98
adobe,12.22,3.59
adolescence,10.42,1.92
adolescent,11.05,2.44
adopt,7.83,3.29
adoptable,9.22,3.06
adopter,10.16,3.11
adoption,7.79,3.08
adoptive,9.16,2.69
adorability,11.76,2.59
adorable,6.94,2.62
adorableness,8.32,4.04
adoration,11.8,3.52
adore,7.95,3.31
adoring,8.53,1.87
adorn,11.65,3.28
adornment,12.32,3.11
adrenal,14.24,3.61
adrenalin,11.65,2.89
adrenaline,11.63,4.47
adrift,11.21,3.38
adroit,12.75,2.76
adroitness,15.21,3.72
adulation,12.72,3.25
adult,4.68,2.26
adulterant,12.86,3.55
adulterate,13.76,3.72
adulterer,11.63,2.97
adulteress,12.22,3.23
adulterous,11.65,2.3
adultery,11.84,2.93
adulthood,9.95,3.49
adumbration,16.5,0.71
advance,8.35,2.83
advanced,9.05,3.43
advancement,10.89,3.14
advantage,9.32,3.06
advantageous,12.62,2.68
advent,10.38,4.26
adventure,5.67,1.81
adventurer,7.79,2.27
adventuresome,10.38,3.25
adventuress,10.44,4.33
adventurist,8.68,2.69
adventurous,10,3.68
adventurousness,11.81,4.41
adverb,8.14,1.96
adverbial,13.14,2.71
adversarial,14,3.11
adversary,12.67,3.31
adverse,10.72,3.75
adversity,11.79,3.61
advert,14.22,3.8
advertise,9.63,2.19
advertisement,7.67,2.91
advertiser,11,3.67
advertising,9.95,2.94
advice,8.61,2.15
advisable,10.75,2.92
advise,8.89,2.35
advisee,12.89,2.72
advisement,12.5,3.1
adviser,10.78,3.12
advisor,11.24,2.83
advisory,11.55,2.91
advocacy,14.06,3.54
advocate,11.11,2.3
aegis,17,3.37
aerate,13.44,3.5
aeration,12.35,3.06
aerial,11.5,2.74
aerialist,14.08,3.68
aerie,13,3.69
aero,11.4,2.68
aerobatics,9.53,3.64
aerobic,10.24,3.6
aerobics,11,3.05
aerodynamic,13.4,3.98
aerodynamics,11.5,3.03
aeronaut,12.92,3.92
aeronautical,14.35,3.39
aeronautics,12.35,3.2
aerosol,9.47,3.81
aerospace,12.06,2.7
aesthete,14.9,4.61
aesthetic,15.74,3.45
aesthetics,15.06,3.62
afar,8.21,2.34
afeard,10.86,4.3
affability,14.07,3.77
affable,13.4,2.8
affair,10.94,3.08
affaire,11.45,3.3
affect,9.6,2.56
affectation,13.82,3.89
affection,8.53,2.97
affectionate,8.5,2.35
affective,11.74,3.51
affectless,13.6,4.12
affiant,14,2.05
affidavit,15.69,3.57
affiliate,12,3.46
affiliation,12.28,3.58
affinity,12.22,2.96
affirm,12.24,2.22
affirmation,12.56,3.29
affirmative,10.67,3.69
affix,11.94,3.1
afflict,11.5,2.66
affliction,11.32,2.54
afflictive,14.4,3.44
affluence,13.88,3.62
affluent,13.16,3.27
afford,7.47,2.17
affordability,10.89,3.46
affordable,8.15,3.5
affray,13,4.06
affright,12.77,2.86
affront,12.44,2.48
afghan,9.11,4.3
aficionado,13.86,2.51
afire,11.87,3.48
aflame,11.22,3.3
afloat,9.33,3.22
afoot,11.48,4.74
aforementioned,14.58,4.6
aforesaid,14.44,3.28
aforethought,13.72,3.74
afoul,11.81,3.89
afraid,4.42,1.71
afro,9.58,2.83
aft,13.88,3.72
after,6,1.43
afterbirth,14.06,2.57
afterburner,10.69,2.73
aftercare,11.62,4.53
afterdeck,15.86,3.53
aftereffect,12.06,2.38
afterglow,12.53,4.81
afterimage,13.67,4.21
afterlife,8.11,2.51
aftermarket,14.2,4.47
aftermath,12.05,2.57
afternoon,4.65,1.93
afterschool,6.89,3.45
aftershave,10.42,2.85
aftershock,10.33,3.24
aftertaste,10,2.7
afterthought,12.78,3.49
afterwards,7.71,2.85
afterworld,10.41,2.62
again,5.78,1.31
against,7.97,1.67
agate,13,3.51
agave,14.57,4.85
age,4.38,1.36
ageism,17.07,3.69
ageist,15.79,1.72
ageless,10.3,4.07
agency,10.58,3.39
agenda,9.95,3.19
agent,9.55,2.84
ageratum,13.29,6.05
agglomerate,15.67,3.61
agglutinate,14.89,5.11
aggrandize,14.83,4.24
aggrandizement,14.75,4.71
aggravate,8.32,2.58
aggravated,8.61,2.18
aggravation,9.11,2.56
aggregate,13.67,4.56
aggregation,14.56,3.15
aggress,12.13,3.25
aggression,9.3,1.98
aggressive,8.32,2.45
aggressiveness,11.06,3.13
aggressor,11.47,3.49
aggrieved,12.38,3.01
aghast,12,3.45
agile,11.94,3.98
agility,10.06,3.15
aging,7.35,2.58
agitate,10.17,2.79
agitated,10.12,4.44
agitation,11.5,2.87
agitator,11.84,2.95
agitprop,16.6,3.05
agleam,14.71,5.28
aglitter,13.67,3.89
aglow,10.06,4.19
agnate,16.5,4.51
agnostic,13.8,3.41
ago,7.12,2.28
agog,14.73,2.57
agonist,15.06,4.39
agonize,11.58,2.41
agonizing,10.89,3.31
agony,9.22,2.65
agora,13.73,3.93
agoraphobia,14.44,4.42
agoraphobic,14.64,2.24
agrarian,14.83,3.04
agree,7.68,2.36
agreeable,8.41,2.09
agreement,8.16,2.77
agribusiness,18.07,4.14
agricultural,10.11,2.26
agriculturalist,12.78,3.14
agriculture,10.32,2.08
ague,15.2,5.94
ahead,5.45,1.6
ahoy,7.61,2.85
aid,7.33,2.2
aide,7.83,3.31
aider,12.92,3.15
aids,8.89,2.51
aigrette,15,NA
aikido,14.08,3.17
ail,9.71,2.37
aileron,14.71,3.73
ailing,10.63,2.19
ailment,10.37,3.77
aim,6.72,2.11
aimer,9.85,1.91
aimless,10.32,3.58
air,3.94,1.55
airbag,12.26,3.48
airbase,10.35,3.34
airboat,10.75,3.65
airborne,9.85,2.32
airbrush,12.06,3.98
aircraft,7.61,3.33
aircraftsman,11.67,4.12
aircrew,10.15,3.22
airdrome,15.11,3.92
airdrop,9.18,3.71
airfare,10.26,3.05
airfield,8.6,2.62
airflow,12.42,3.56
airfoil,14.64,2.91
airforce,6.83,2.81
airhead,10.17,3.75
airiness,11.35,3.44
airless,10,3.04
airlift,12.06,4.22
airline,8.74,3.45
airliner,9.89,2.98
airlock,11.61,5.14
airmail,12,2.83
airman,10.58,2.88
airmattress,9.37,2.81
airmobile,12.69,3.2
airplane,3.94,1.55
airplay,12.93,3.06
airport,6.84,3.08
airship,10.8,3.21
airsick,11.47,2.86
airsickness,10.17,3.17
airspace,11.5,3.42
airspeed,10.9,3.92
airstream,12.22,3.49
airstrike,12.78,2.76
airstrip,8.16,2.67
airtight,9.84,1.64
airtime,11.78,3.21
airwave,11.35,3.08
airway,11.16,3.47
airworthy,13.31,4.22
airy,10.28,3.21
aisle,5.95,1.54
ajar,9.67,3.12
aka,10.94,4.01
akimbo,14.09,2.63
akin,12.67,4.42
alabaster,13.67,1.4
alacrity,15.25,3.45
alarm,6.39,2.68
alarmclock,5.8,1.56
alarming,9.78,2.24
alarmist,13.12,4.74
alarum,12.38,4.98
alas,9.78,3.44
albacore,14.47,4.14
albatross,11.64,3.13
albinism,14.17,3.61
albino,9.79,2.97
album,6.72,1.84
albumen,15.45,4.25
albumin,14.2,3.65
alcalde,11,NA
alchemical,15.64,5.33
alchemist,12,3.21
alchemy,13.35,4.43
alcohol,9,3.56
alcoholic,9.95,3.89
alcoholism,11.6,3.49
alcove,12.11,3.77
alder,14.08,4.1
alderman,14.19,2.93
ale,10.16,4.31
alehouse,13.76,3.95
aleph,13.7,2.75
alert,8.9,1.89
alertness,9.44,3.28
alexandrine,14.17,3.54
alfalfa,8.83,2.53
alfresco,15.29,4.34
alga,13.33,2.6
algebra,11.47,1.9
algebraic,11.11,2.11
alginate,14.86,4.1
algorithm,14.56,3.29
algorithmic,15.31,3.68
alias,9.47,2.85
alibi,12.5,3.54
alien,7.5,3.43
alienate,13.05,2.97
alienation,13.47,3.32
alienist,14.07,3.56
aliens,8.58,2.7
alight,11.41,3.43
align,9.85,2.6
alignment,11.76,2.84
alike,6.12,2.1
alimentary,13.21,3.17
alimony,14.47,4.93
alit,12.69,2.43
alive,5.11,2.4
alkali,14.35,2.78
alkaline,13.68,3.58
alkaloid,14.06,2.93
alky,14.18,3.68
alkyd,16.62,4.41
all,4.24,1.4
allay,15.77,3.44
allegation,11.84,2.54
allege,12.81,2.54
alleged,12.05,2.9
allegiance,8.42,3.15
allegiant,15.18,2.09
allegorical,12.41,2.72
allegory,14.16,2.59
allegro,13.07,5.42
allele,14.5,2.14
allergen,11.58,4.02
allergic,7.72,2.4
allergist,12.21,3.46
allergy,8.11,3.57
alleviate,11.39,2.97
alley,7.26,2.6
alleyway,8.11,2.83
alliance,11.28,3.16
allied,10.85,3.54
alligator,4.78,2.05
alliteration,13.86,3.37
alliterative,15.25,4.28
allocate,13.78,3.64
allocation,12.42,4.27
allocution,15.23,3.7
allograft,15.2,1.92
allot,13.67,5.37
allotment,13.28,3.89
allow,5.32,1.83
allowable,9.56,2.77
allowance,6.95,2.06
alloy,14.53,3.6
allude,13.11,3.21
allure,11.83,4.38
alluring,12.89,3.5
allusion,13.05,3.22
alluvial,16.78,4.29
ally,9.61,2.28
almanac,10.58,4.13
almandine,17.22,2.33
almightiness,8.89,3.16
almighty,8.47,3.55
almond,7.67,2.22
almoner,13,NA
almost,5.47,2
alms,9.91,3.99
almshouse,17.8,5.39
aloe,8.95,2.54
aloft,9.82,3.44
aloha,10.15,3.25
alone,4.94,1.73
aloneness,9.06,2.15
along,5.41,1.65
alongshore,11.6,2.03
aloof,13.41,3.04
alopecia,17.92,2.66
aloud,6.22,1.75
alp,11.77,3.83
alpaca,10.81,2.99
alpha,12.22,3.87
alphabet,4.22,1.52
alphabetical,6.26,1.63
alphabetize,7.11,2.47
alphanumeric,13,4.73
alphorn,15,1.41
alpine,11.28,3.2
alright,6.28,2.37
also,6.64,1.61
altar,7.16,3.48
altarpiece,11.21,3.42
alter,9.47,3.42
alteration,10.17,2.36
altercation,11.67,3.18
alternate,8.83,1.38
alternating,12,2.28
alternation,12.32,4.1
alternative,10.11,3.55
alternator,11.32,3.13
although,8.08,1.9
altimeter,14.13,5.14
altitude,9.58,2.27
alto,10.19,2.76
altogether,8.35,3.44
altruism,15.79,2.51
altruist,15.5,3.57
altruistic,13.8,3.93
alum,13.06,3.86
alumina,11.78,2.86
aluminum,7.26,2.84
alumna,14,3.35
alumnus,14,4.24
alveolar,15,2.58
alveolus,14.5,3.57
always,6.26,1.27
amah,14,4.64
amalgam,15.25,4.58
amalgamated,15.07,3.17
amalgamation,16.92,3.15
amandine,15.29,3.15
amanita,15.5,2.51
amanuensis,12,2
amaranth,15.73,3.52
amaretto,14.63,4.69
amaryllis,15.36,3.98
amass,12,2.95
amassment,14.75,4.91
amateur,10.53,2.91
amateurish,12.57,2.71
amateurism,12.88,2.76
amaze,7.5,2.73
amazed,7.17,2.96
amazement,9.22,3.12
amazing,5.22,2.1
ambassador,11,3.16
ambassadorial,12.69,3.89
ambassadorship,13.45,3.52
amber,9.28,2.44
ambergris,17.5,2.07
ambiance,14.78,3.25
ambidextrous,11.84,4.37
ambience,13.28,3.2
ambient,12.8,4.3
ambiguity,14.06,2.82
ambiguous,13.67,3.25
ambition,11.29,2.9
ambitious,11.05,2.55
ambivalence,13.37,4.94
ambivalent,12.12,2.67
amble,11.87,3.2
ambrosia,13.82,4.1
ambrosial,17.12,4.59
ambulance,6.16,2.19
ambulation,15.36,4.43
ambulatory,12.59,2.92
ambush,9.3,1.72
ameliorate,13.67,2.5
amelioration,16.25,5.01
amen,5.8,4.19
amenable,14.14,2.32
amend,11.39,3.71
amendment,10.06,2.53
amends,10.16,2.67
americanize,12.44,3.6
amethyst,12.22,4.73
amiability,13.25,3
amiable,13.11,4.59
amicable,12.95,2.74
amice,12.14,2.67
amicus,15.4,3.5
amid,11.45,3.74
amidst,10.44,2.6
amino,13.78,2.78
amiss,11.34,4
amity,13.14,2.98
ammeter,16.83,1.72
ammo,8.11,2.85
ammonia,11,3.58
ammonium,12.35,3.06
ammunition,9.67,2.54
amnesia,10.61,3.15
amnesiac,12.64,3.84
amnesic,13.67,4.38
amnesty,12.95,2.76
amniocentesis,14.38,4.43
amniotic,13.86,2.51
amoeba,12.65,4.15
amoebic,13.68,2
among,7.75,3.02
amongst,9.01,3.26
amontillado,14.43,6.45
amoral,11.7,3.29
amorality,15,2.55
amorous,13.71,2.71
amorphous,14.75,3.26
amortization,17.33,4.62
amortize,15.88,4.61
amount,6.63,2.48
amour,12.67,3.12
amp,12.11,2.42
amperage,12.07,3.39
ampersand,13.2,3.43
amphetamine,15.53,3.78
amphibian,8.33,3.43
amphibious,10.88,2.83
amphitheater,11.84,3.18
amphora,15.44,2.13
ample,11.63,4.4
amplification,11.4,2.52
amplifier,11.35,3.08
amplify,12.06,3.81
amplitude,12.44,2.64
amputate,9.6,2.26
amputation,11.89,2.9
amputee,11,3.03
amuck,11.18,3.61
amulet,11.53,3.24
amuse,9,3.16
amused,7.83,3.17
amusement,8.79,3.03
amusing,8.44,2.87
amyl,15.67,1.53
amylase,18.2,2.86
anabolic,15.53,2.35
anachronism,14.3,2
anachronistic,15.79,3.53
anaconda,10.06,3.65
anaerobic,13.12,3.83
anaesthetize,14.18,3.38
anagogic,15.33,0.58
anagram,11.38,2.7
anal,13.17,2.12
analeptic,15.6,1.14
analgesia,15.38,4.15
analgesic,14.87,3.91
analog,13.62,3.56
analogous,14.4,3.47
analogue,12.16,3.06
analogy,11.33,2.47
analysis,11.32,2.52
analyst,11.75,2.71
analytic,12.61,3.57
analytical,12.44,3.29
analyzable,11.27,2.87
analyze,11.39,2.83
analyzer,11.37,4.04
anapestic,15.67,3.56
anaphylactic,16.27,4.43
anaphylaxis,17,3.8
anarchic,14.15,2.64
anarchism,12.46,2.88
anarchist,12.63,2.09
anarchistic,15.95,2.74
anarchy,13.94,3.83
anathema,13,3.24
anatomic,12.53,3.2
anatomical,12.05,3.22
anatomist,14.22,5.21
anatomize,14.19,4.43
anatomy,11.94,2.34
ancestor,8.61,2.4
ancestors,9.01,2.95
ancestral,11.21,2.76
ancestry,10.11,2.58
anchor,5.72,2.54
anchorage,12,4.09
anchorite,15,1.41
anchorman,8.06,3
anchorwoman,11.16,4.61
anchovy,9.32,4.67
ancient,8.26,2.7
ancillary,13.78,2.91
and,4.57,1.94
andiron,12.5,3.14
androgynous,15.8,3
androgyny,16.5,2.85
android,13.89,4.39
anecdotal,12.47,2.55
anecdote,14.33,2.47
anemia,12,2.56
anemic,13.42,4.54
anemone,13.07,5.85
anent,17,NA
aneroid,11.8,3.7
anesthesia,12.53,2.97
anesthesiologist,13,3
anesthetic,13.05,4.52
anesthetist,13.28,3.1
anesthetize,12.78,3.61
aneurism,15.22,4.12
aneurysm,15.05,3.47
anew,10.58,2.75
angel,4,1.29
angelfish,7.42,3.22
angelic,8.33,2.68
angelical,11.37,4.14
anger,6,2.58
angina,15.86,4.29
angiogram,15,4.64
angiography,15.67,2.29
angioplasty,17.27,3.39
angle,8.05,2.37
angler,11.53,3.39
angleworm,10.23,2.31
anglophile,17.11,2.32
angora,15.12,4.27
angry,4.45,1.9
angst,13.12,2.92
anguish,11.54,3.18
anguished,12.06,3.58
angular,11.32,2.47
anhydride,16.78,5.17
aniline,16.8,2.28
animal,2.89,1.41
animalistic,12.58,3.44
animate,8.53,2.86
animated,7,2.69
animation,8.53,3.31
animator,10.16,2.75
anime,13.94,4.5
animosity,12.58,2.8
animus,15.08,2.96
anion,13.44,5.08
anise,14.08,5.45
anisette,16.6,4.83
ankh,14.8,5.51
ankle,4.89,1.53
anklebone,7.35,2.16
anklet,9.06,2.79
annals,14.27,4.11
annatto,14.71,4.11
annex,12.53,3.13
annexation,13.85,1.86
annihilate,11.32,2.75
annihilation,12.06,3.38
anniversary,7.33,2
annotate,15.12,4.08
annotator,15.44,2.99
announce,9.48,2.29
announcement,7.75,2.59
announcer,6.85,2.6
annoy,7.22,2.05
annoyance,9.47,3.32
annoyed,7.72,2.97
annoyer,9.47,4.19
annoying,6.52,2.71
annual,9.26,3.59
annuity,15.88,4.3
annul,12.65,4.23
annular,14.15,4.74
annulment,12.37,2.52
annunciation,12,3.7
anode,15,1.89
anodic,14,2.83
anodized,14.44,2.3
anodyne,15.1,2.56
anoint,9.25,2.79
anointed,12.56,3.81
anomalous,15.1,2.73
anomaly,12.44,3.08
anonymity,13.44,2.62
anonymous,10.26,3.4
anorectic,14.8,4.08
anorexia,13.11,3.43
anorexic,12.06,3.38
anosmatic,14.67,2.34
another,5.05,1.79
anoxia,14.83,2.32
answer,5.43,1.89
answerable,9.35,2.85
ant,4.32,1.57
antacid,12.89,3.98
antagonism,11.81,3.71
antagonist,11.17,2.41
antagonistic,13.94,2.72
antagonize,12.28,2.85
ante,11.7,2.56
anteater,8.5,5.16
antebellum,17.5,3.65
antecedent,15.29,3.05
antechamber,15.77,2.13
antediluvian,14.89,4.26
antelope,8.39,2.81
antenatal,17.5,3.82
antenna,7.05,2.82
anterior,14.12,3.71
anteroom,15.58,3.85
anthem,9.44,2.96
anther,11.67,4.24
anthill,7,2.94
anthology,14.47,3.16
anthracite,14.1,3.18
anthrax,14.26,4.21
anthropoid,14.33,3.24
anthropological,14.88,2.66
anthropologist,12.56,3.03
anthropology,14.61,3.45
anti,9.37,2.5
antiaircraft,12.06,3.02
antibacterial,11.65,3.28
antibiotic,9.53,2.78
antibiotics,9.55,2.46
antibody,12.47,3.24
antic,11.65,4
antichrist,12.79,3.97
anticipate,10.6,2.35
anticipation,10,2.93
anticipatory,13.94,2.75
anticlimactic,14.17,4.76
anticlimax,14.88,2.76
anticline,10.67,6.66
anticoagulant,14.53,3.26
anticoagulation,16.36,3.08
anticommunism,13.53,3.45
anticommunist,12.89,3.86
anticorrosive,13.61,3.66
antics,9.56,3.43
antidemocratic,13.69,3.3
antidepressant,14.05,4.14
antidotal,14.69,1.8
antidote,10.11,2.9
antiestablishment,14.85,2.43
antifascist,15.77,4.23
antifeminist,12.62,2.63
antifreeze,10.05,3.54
antifungal,12,3.09
antigen,13.64,3.47
antigovernment,12.35,2.83
antigravity,11.37,3.25
antigun,13.57,3.06
antihistamine,12.93,4.03
antihuman,11.08,2.91
antimatter,14.84,4.36
antimilitary,12.75,3.86
antimissile,14.71,3.95
antimony,12.11,3.62
antinuclear,13.19,3.49
antioxidant,14.52,4.58
antipasto,16.3,4.9
antipathy,13.25,3.24
antipersonnel,12.95,4.09
antiperspirant,11.26,2.35
antiphonal,16,2.37
antipsychotic,13.71,3.95
antiquarian,13.82,2.99
antiquated,13.57,3.01
antique,8.05,2.55
antiques,11.05,5.31
antiquity,13.18,3.21
antiseptic,9.95,2.91
antiseptics,10.78,2.71
