0.5,1.1,15,4,0.3,30,1,2,0.7,1,23,28,21,0:01:42.764853,0:00:13.862867,29vq3cmkq6mxbjt0os94596u6rg6f496tgeoby7zark,1u0huyfll3r6o260gfsps99dg6m5oh5n378tf1ap4cg,1,10,20,8,67,11,19,2,73,12,18,5,70,-12.2813226114,-9.61440405079,-11.7625617588
0.5,1.1,15,4,0.3,30,2,2,0.7,2,21,24,23,0:01:44.066307,0:00:20.028020,1n4vr3lwq8cdyrr602pvxlwt77iu1np13q69jqelgs8y,1n4vlwej5rmrxd0dgclas5l43m2x55asbevudgiczcw2,1,14,16,8,67,11,19,4,71,13,17,4,71,-13.3917034342,-12.9158374379,-13.438153225
0.5,1.1,15,4,0.3,30,3,2,0.7,3,21,25,21,0:01:58.094854,0:00:23.278222,tsv2vlambgkdta2amrkl3161umyz0zudr6eefos5tdu,tk5zeq48f9xv4hpvx0iw9qrb9ipp6706hit0g73qygy,1,15,15,10,65,13,17,4,71,14,16,5,70,-16.1651966076,-14.8059647623,-15.2077158262
0.5,1.1,15,4,0.3,30,4,2,0.7,4,22,24,22,0:02:11.936523,0:00:19.070545,20sa1x849jn3c7lz39w7w63e1e7b420pgx3pa4x5oyyq,1m85e87iyqom8kwzrcpdcjwkfl0n6b4meisvmf3ol81u,0,15,15,9,66,13,17,5,70,13,17,5,70,-16.430640949,-10.6550000139,-10.6550000139
0.5,1.1,15,4,0.3,30,5,2,0.7,5,31,29,31,0:03:02.292224,0:00:21.806617,5ggakfyxievfhbq9uwmqhlvenk3h6tb2xmxj3orau2o,5ggakfyxif4ag7ns11mwfze7g8hku24esr8znxoc24g,1,10,20,9,66,8,22,9,66,9,21,10,65,-16.2296175495,-13.7856943073,-14.1081003287
0.5,1.1,15,4,0.3,30,6,2,0.7,6,21,22,19,0:02:15.315561,0:00:32.407549,2tv8s01bez8ra3bgfn535h4p0wkbdzl94ds4tf3uxqtc,20rhvb62yywyxi6orimigq3torih4w33tz0fm6qp59fk,1,15,15,7,68,13,17,2,73,13,17,4,71,-16.4078511618,-9.92763558234,-10.7224282877
0.5,1.1,15,4,0.3,30,7,2,0.7,7,24,26,25,0:02:41.867594,0:00:33.350730,to7n9bq15d1ua0hf5b5192bh8mnj2n2ozhj5fopm8zk,1ms357lek9n9u3wjclcxmlno8l3xe2gvzxtbveqwggls,1,11,19,7,68,11,19,6,69,13,17,7,68,-14.9829082915,-12.7095154679,-14.3037900649
0.5,1.1,15,4,0.3,30,8,2,0.7,8,22,21,21,0:01:50.103598,0:00:17.846053,u0regb6mz6m7l04bgzsgcqwaoe8oh0uqhdszzib708w,u0redeahm5p9whlnipwvrgyac864ibvk74wgrur3hts,1,13,17,4,71,12,18,3,72,13,17,5,70,-16.0329324725,-12.6815347686,-13.5124700214
0.5,1.1,15,4,0.3,30,9,2,0.7,9,19,23,19,0:02:39.498100,0:00:16.085714,kqmuhdh1vldb9q0qlfi58i10x2adghg32ejmornk,kqmugc4wle24m53truk3xurvlcathstuqexnke9u,1,13,17,6,69,14,16,3,72,14,16,3,72,-17.859477623,-12.9995931567,-12.9995931567
0.5,1.1,15,4,0.3,30,1,3,0.7,1,20,20,20,0:03:07.755507,0:00:39.538759,5xm7o42a50td06q1p7ro0q7can27xni8pf3ry3yijb4,5xlymi9n0gx09lirde1mpr66ancynca8jur3s7u7rcw,1,17,13,7,68,16,14,6,69,17,13,7,68,-23.4489011797,-29.1835586151,-29.5397911895
