subj,link1,link2,rw,invite,irt5,irt7,irt9
S102,lion,cat,1,1,1,1,1
S102,chicken,turkey,1,1,1,1,1
S102,bobcat,cheetah,0,0,1,0,0
S102,turkey,cheetah,1,1,0,1,1
S102,turkey,falcon,0,0,1,0,0
S102,turtle,monkey,1,1,0,1,0
S102,horse,cheetah,0,0,1,1,0
S102,hyena,wolf,1,1,1,1,1
S102,cat,giraffe,0,0,1,0,0
S102,owl,turkey,1,1,1,1,1
S102,chicken,cow,0,0,1,0,0
S102,mountainlion,jaguar,1,1,1,1,1
S102,turtle,elephant,1,1,0,0,1
S102,elephant,cheetah,1,1,1,1,1
S102,zebra,ostrich,1,1,1,1,1
S102,monkey,tiger,0,0,1,0,0
S102,bobcat,jaguar,1,1,1,1,1
S102,horse,tiger,0,0,1,0,0
S102,coyotee,falcon,0,0,1,0,1
S102,tiger,skunk,1,1,1,1,1
S102,zebra,coyotee,1,1,1,1,1
S102,donkey,cheetah,1,1,1,1,1
S102,tiger,wolf,1,1,1,1,1
S102,bobcat,horse,1,1,0,1,1
S102,lion,zebra,1,1,1,1,1
S102,monkey,elephant,1,1,0,1,1
S102,cat,bear,1,1,1,1,1
S102,cat,llama,0,0,1,0,0
S102,donkey,cow,1,1,1,1,1
S102,donkey,giraffe,0,0,0,1,0
S102,owl,falcon,1,1,1,0,1
S102,fox,dog,1,1,0,1,1
S102,turtle,tiger,0,0,0,1,0
S102,coyotee,hyena,1,1,1,1,1
S102,cheetah,leopard,1,1,1,1,1
S102,monkey,giraffe,1,1,1,1,1
S102,horse,elephant,1,1,1,1,1
S102,lion,tiger,1,1,1,1,1
S102,donkey,llama,1,1,1,1,1
S102,horse,cow,1,1,1,1,1
S102,cheetah,jaguar,0,0,1,0,0
S102,llama,dog,1,1,1,1,1
S102,donkey,monkey,1,1,1,1,1
S102,bobcat,mountainlion,1,0,1,1,1
S103,woolymammoth,elephant,1,1,1,1,1
S103,penguin,snail,1,1,1,1,1
S103,orangutan,donkey,1,1,1,1,1
S103,lemur,gorilla,1,1,0,1,1
S103,zebra,hamster,0,0,1,0,0
S103,llama,woolymammoth,1,1,1,1,1
S103,horse,donkey,1,1,1,1,1
S103,rat,dog,0,0,1,0,0
S103,catfish,penguin,1,1,1,1,1
S103,bear,pig,0,0,1,0,0
S103,seagull,rhinoceros,0,0,1,0,0
S103,ferret,weasel,1,1,1,1,1
S103,kangaroo,mouse,1,1,1,1,1
S103,rabbit,capybara,1,1,1,1,1
S103,giraffe,hippopotamus,1,1,1,1,1
S103,lion,flyingsquirel,0,0,1,0,0
S103,mule,donkey,1,1,1,1,1
S103,chipmunk,moose,1,1,1,1,1
S103,chicken,panda,1,1,1,1,1
S103,piranha,goldfish,1,1,1,1,1
S103,orangutan,monkey,1,1,1,1,1
S103,sloth,cat,1,1,1,0,1
S103,llama,alpaca,1,1,1,1,1
S103,redpanda,boar,1,1,1,1,1
S103,llama,goat,1,1,1,1,1
S103,bear,wolf,1,1,1,1,1
S103,snake,cheetah,0,0,1,0,0
S103,raptor,horse,0,0,1,0,0
S103,rat,koala,1,1,1,1,1
S103,bear,monkey,1,1,1,1,1
S103,bee,cheetah,1,1,1,1,1
S103,redpanda,alpaca,0,0,1,0,0
S103,bear,gorilla,0,0,1,0,0
S103,cranefly,fly,1,1,1,1,1
S103,lion,hippopotamus,1,1,1,1,1
S103,rat,goat,1,1,1,1,1
S103,marmoset,hamster,1,1,1,1,1
S103,lion,redpanda,1,1,1,1,1
S103,tick,hawk,1,1,1,1,1
S103,chimpanzee,gorilla,1,1,1,1,1
S103,piranha,flyingsquirel,1,1,1,1,1
S103,gerbil,bluejay,0,0,1,0,0
S103,cranefly,raven,0,0,1,0,0
S103,octopus,ocelot,1,1,1,1,1
S103,kangaroo,yellowjacket,1,1,1,1,1
S103,antelope,pig,1,1,1,1,1
S103,kangaroo,seacow,1,1,1,1,1
S103,hamster,bluejay,1,1,1,1,1
S103,mantis,ocelot,1,1,0,0,0
S103,chimpanzee,chipmunk,0,0,1,0,0
S103,human,cheetah,1,1,1,1,1
S103,rat,pig,1,1,1,1,1
S103,parrot,eagle,1,1,1,1,1
S103,dinosaur,raptor,1,1,1,1,1
S103,zebra,panda,0,0,1,0,0
S103,seal,mink,1,1,1,1,1
S103,lemur,hamster,0,0,1,0,0
S103,goose,zebra,1,1,1,1,1
S103,weasel,mink,1,1,1,1,1
S103,lion,sealion,1,1,1,1,1
S103,human,boar,1,1,0,1,1
S103,rabbit,slowloris,1,1,1,1,1
S103,antelope,rhinoceros,1,1,1,1,1
S103,catfish,whale,1,1,1,1,1
S103,ocelot,leopard,1,1,1,1,1
S103,redpanda,pig,0,0,1,0,0
S103,bear,rat,1,1,1,1,1
S103,goose,hawk,1,1,1,1,1
S103,bat,bee,1,1,1,1,1
S103,seacow,mouse,0,0,1,0,0
S103,moose,hawk,1,1,1,1,1
S103,raptor,deer,1,1,1,1,1
S103,octopus,raven,1,1,1,1,1
S103,piranha,tiger,1,1,1,1,1
S103,mantis,rhinoceros,1,1,1,1,1
S103,crane,mouse,1,1,1,1,1
S103,seacow,deer,0,0,1,1,0
S103,duck,fly,1,1,1,1,1
S103,zebra,gerbil,1,1,1,1,1
S103,redpanda,donkey,0,0,1,0,0
S103,zebra,gorilla,1,1,1,1,1
S103,lion,zebra,1,1,1,1,1
S103,cranefly,crow,1,1,1,1,1
S103,sloth,koala,1,1,1,1,1
S103,sloth,dog,1,1,1,1,1
S103,goldfish,tiger,0,0,1,0,0
S103,boar,gorilla,0,0,1,0,0
S103,crow,raven,1,1,1,1,1
S103,sheep,goat,1,1,1,1,1
S103,snake,goldfish,1,1,1,1,1
S103,bear,orangutan,0,0,1,0,0
S103,tiger,gorilla,1,1,1,1,1
S103,otter,dolphin,0,0,0,1,0
S103,human,marmoset,1,1,1,1,1
S103,giraffe,mule,1,1,1,1,1
S103,zebra,redpanda,0,0,1,0,0
S103,swan,hawk,1,1,1,1,1
S103,otter,polarbear,1,1,1,1,1
S103,sheep,alpaca,1,1,1,1,1
S103,lemur,boar,1,1,1,1,1
