jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_rw,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irts,miss_irts,fa_irts,cr_irts,hit_noirts,miss_noirts,fa_noirts,cr_noirts,hit_rw,miss_rw,fa_rw,cr_rw,bestval_irts,bestval_noirts,bestval_rw
0.9,1.1,55,4,0.3,110,1,3,0.7,1,70,67,66,0:58:56.906605,0:27:26.528583,ohfgm4x1ntjej2ftvtbsuog7ee0yxjubiqbgo7n71e21lp640g72v45c1nr868sbj4lkf4tycu6j8vryl2ixl25eod6iakgkmw39lk2jjyysu0d0gdjkqv2flcrsz7l57aeub60elfyhwncj0hzpnvmd8uuuab2wl78yvmzzgc1jegrh4i6wp4kmsowbftwyuewyxm34uyvaycr8s06apqxxcm8acjmkisxvammw6oq2hr09ierpjx4dv54ce50q7qdj7oq2utb66miuy6d2p5d24sq7ye48a963pzlbs4dfclqybu1g2yb6nbk45dumy8ojv5ci9o9khjv6ef6db64sb9twkuwk6a1x92uuqvm9rewfcd2g4ufc7samzg6wuiq5agdutawsmp4ciemrciohyquoyqzmk50z07ucahggl3buyxx76os2jurf2uf90uip2aa3vljj4rabg2vro9r2dvqogqq1ayyzt26ua2a47u4hy3ho9aqw9dzcbvmkviym0xksueqbvksdva0qwikxfmdqs4gciwfq9nbqr4icsitz1mfm6rzzo4eeig4xmqdi,ohfgm4x1ntjej2ftvtbsuog7ee0yxjubiqbgo7n71e21lp640g72v45c1nr868sbj4lkf4tycu6j8vryl2ixl25eod6iakgkmw39lk2jjyysu0d0gdjkqv2flcrsz7l57aeub60elfz0plv7xi5xgiwvjl4i1qs9dnonzvrmog11m6ayinnubphkwcyelts20f2xut1x2mp12he3vchjbas9pjs8jbnkjyvlg5wzvxhpida5gvb7b9v3z9t3cd0uv4qcxip24ldogpqozf3xkvbrg1spozd97clnfupmd1aotshm3ov0d59torcg81un4pcc09navrzcds5n55mf6zs0oga0p18m52ugc4oe0aeqqa00roxaxogfhs3zah56j0u2xz7ca3k14iijxvs8srtjwdwxj54vuj5brs9gna842ksu4lbi90kqckr70iuxtugt03nu7hpp8ekwwhapfx8r7bsmtalaiuo62eug28xd0gh65irr1xyx7o80mxds3a2o5snn15104ovt20tt6efuttn1cov9o21ubsatevfrqa0itsbqmfukfb7a0k0wc45i,1,64,46,21,1354,65,45,21,1354,66,44,26,1349,-135.736573185,-121.96192332,-123.742599935
0.9,1.1,55,4,0.3,110,2,3,0.7,2,87,83,85,0:28:13.393123,0:16:01.268051,dl0epuaeci0ak14p34tutc6zgtmyycnelva7mrjx86b9yu4bnt2xk4knhqz5sicmvtmjr8g6lbfnecdd09fzpige6tn5ljny1v2htainyon2amn6z177jfallu46m9lsplipaog22swezqadvf9dpt8ei74rqse858i4x05mleavzzcvl2ux91eiz2v7ostqj3ixjo0f8ci0errrjxc8iyvvtxzvwrd095grebmgmy77pwyi4sm8dc4zwj0m8klmfdph5zenwrkb2nlm7euum6hywiki4qrq8nij40vvq8ikp6tx9q9noak8iav3ow3vm70q5apvkaoirafum97sxlfcrh93w7j9ofu4p1eycnhr8urzcsyfebk4qgsrgl1kn251feppsj9bnkbou6wzjuiaxa5khn95nfdfrsset9oy741htqwumohc9bj834mch2s7k0kid4blg8ps4qyojpeq6cfn9ne6169nw2w93n8c40ll8urdvvexmsj173d4n5fz2c6kskfqqzxznqqffigsob2m2zjb7h0s7pnzukhv1nxf9caiqo6v87sht1f9ajn6hines,dl0epuaeci0ak14p34tutc6zgtmyycnelva7mrjx86b9yu4bnt2xk4knhqz5sicmvtmjr8g6lbfnecdd09fzpige6tn5ljny1v2htainyon2amn3vyh41wzwnkzc2p3m4y6xc7fezb8k5mksozbgpmxcfs04sedu7qpy8ulhf4q6lckh2dm9h2x2havij1630llv3yw038gcwgki5z32bxbk5cxxvr4zfyanwfve7oac63h8ql611hrmmjzwbeh3yjj3a6o3aj05mmvvfpydz9aj55vq2vf2ahv2x025083tzzd2trqf4zrdtarn8wxcx2n6wqxzimvv89wyh1ls2og4zigw729hx5c3ssvnvfgh2bch08xf6ob7gcig1d6tl04hiydh3p4k1xyuqg0fsgxdki34hfnc2w83n5cvtenft82pzn09sxgwh3ankl0txlmujj72umhej51xs31j35ngxo2rnml3bi85pia4f63yjc5w2coyagr0qwdujsukwc84pytzk4ogeriqmpqwd89xzvfdk3n0ytjuvxlj5bx6fz0jwk9gid6rgllytv8z3odc33o5g,1,60,50,33,1342,60,50,35,1340,60,50,37,1338,-133.429401048,-121.509996939,-121.691680525
0.9,1.1,55,4,0.3,110,3,3,0.7,3,89,84,86,0:52:24.709297,0:12:46.068568,8hmr75fhz9t0otmx5leoriblkjrpr71blu954ewjlhmvhsc2va94depr2coo0ebs3rb9nhn721r59gabuxh0xkoi0kwsvzfi21196049pvl8z0gfyy4yoaxw2i206q4x3uoxv6opk0pnh016z7twxk8uolh5npqnlwfbrsvha8lzqt9kg006htevxwg6zyqicop369pk90ggitponuwrdlzh1kvlncl183ukvdwqrb2wrqkixnmd771xd1di6lh00uij56ba5h879inirrsc8lvxzx5z597bk3zqol16convg5l2oapn3g5gu8ku674yylto7iodhqm2lrr6sw1huaxsihcdx8xzigcaueeyxq3ul5y1xik4mm9mqluwufohpgptvgvi7etqs1yx69p8w1yjwvzbtkr5afwghqxufehneu02cxwgwicyl2qck6ir1rz7ny12rjot1b9buqovjq35itwkem9r52goawexuepuyt5f9kx7umbxyfuiqdyizpd2evqhaj9x8k82olcudb24atl4vyhjj9zwm4tubw3yivv4pqj6593w16yngo936sp5z0b9g,8hmr75fhz9t0otmx5leoriblkjrpr71blualjbd0wdg2kfolxgiw2xssxhf0daidji52bhudu9s7v44livt5wuxrvrq7ye3vt3104l5pndn1zblkwj97br61vipenew1pcopxb4i8ojcv9tg6cfn6ks2pwbnpt3ik3mydud4wtl3t8gw8xs944wora549y6i5atwbbxx9z2vtcrrun31dnbx5a7nxsg334ul0xggm0sqc1503w0schlhiyvenyswqz8rc3ygwghciahdh96uufhyybjech2o9dbxdwzbw6z2ppti9glod1goqbpsxd66n3bmp6jlwpj2xxs2xiwwmjkx2wqhezgi3rqdcikipx083om0cj0usa78imjdgj0kc91a4oz7w4ioj88k4yzjtpm3wexqz4n7re5lqnb9fvnfsrqahn9doqhmg1lpxxr9p1xsok1b47d0lcflyh3tiviftuet7n6sb5iin19b7dvwyykencq40gpxr94nv4mbi00t5wr3v2k0odrqooz8npqu7rwgmaq9j8j17ml7us5xcdulu5qr5i9v7pv7ahdy9pjep9ngk,1,56,54,30,1345,57,53,33,1342,57,53,36,1339,-138.134136025,-127.466918475,-128.048173517
0.9,1.1,55,4,0.3,110,4,3,0.7,4,71,67,69,0:33:37.023296,0:18:03.483226,7n2ha1c2j1cytq19ikgcpptazj4ke7x96kbxnz66uhdhvzdalq9cflw9o5g47wwbfy8dvl2v883u39khkjw2h9nphxvn7au16tbv1n4lln0abuayj8nvibyra5i8b4jdws55174odxx8hukaaqce2261z4x7x4sl4j2fz8ww0gg4oru8yt35jkyhewq28xykmhsraj07dlqdm9hu2rx85eui9wpr0vvca54g39oate1oqgjz07u4873qjcf8wi5ylzezlrdew0to0th4c4nazh4qt89aubvat8mtf9mihl8q3x5zypac62dtjefdpl84v4zumdxk67axbtqst98hbxneuzy7uvt8jh51hlz3ghpf1sgly84y5rk74f1lehvsrpoyojej9uny6emd1r041662mplh434r8mc3z5sbkhztw7goligiwhjacirw0xryxxeii2hmuf6chd9yaygys2ew7vw0fmtz2yv72kpcduqe8v79nnw13k0ypbkpz1umwu5fcr1jmxe24kwym6k77obimi51ubgl37t6jby5u5es1n2qhar5kvp4noosomm481zpog39g,7n2ha1c2j1cytq19ikgcpptazj4ke7x96kbxnz66uhdhvzdalq9cflw9o5g47wwbfy8dvl2v883u39khkjw2h9nphxvn7au16tbv1n4lln0abuayj8nvibyra5i8b4jdws55174odxx8hukaaqce2261z4x7x4sl4j2fz8ww0gg4oru8yt35jkyhewq28xykmhsraj07dlqdm9hu2rx85eui9wpr0vvca54g39oate1oqgk8qkrd77resignbfrq9h7uoplnr6zv4wdlxvdlbsrsjcelqknssw23yc5p1rmtrw9xcjpntmn3z5yeqy9ma6aewymyslygnypuuwk0nl4ek564ny2j0ucaummqm08bjzbryg49f48ceo28zpc2hdgrti9crnyp09e2tf43uiz6rftppwysos0mh8lrbsu307r28y1uvvw1mskg20dwhpeejhtupzxw1pnwqqqh4atldon5aa942a6lgwsfzzryqk9nhi7pf62hkmt8cadldpbtc75ug46sdqymsw90hy5rk0g18uo0bsczkn5uv7027kqfns4fkoy97tv26ur25wgtu97k4,1,66,44,23,1352,65,45,24,1351,66,44,27,1348,-132.421717102,-122.463479873,-122.855390065
0.9,1.1,55,4,0.3,110,5,3,0.7,5,91,91,91,0:32:40.428220,0:08:28.682993,9o4trqd1g5i1qf60ygudzhq1bld1drhzrcp2flv4wvo4lpglrl62hh990ih39orlq3xgwblswj2offgtb8jc3hrzm4s240j9jjt9roxe78yxy37givcduecrc40uei38byef61cd8p03ccyybd6xi7qetbpb7c1uridh7e4stfexx48717hd0bls7bq9z6hm06umodfpg14zmaavo8pqgmo9viw6aznljlwpvu9m035yjtnojiuykl98jiu8fn25bu6c6icxtkhgz118e9mw6hpmiirszbzsepce0z84kdu3wmxxris8re5fq08o6rp0j4in6dnu8nranfrpjeoueati0288h6o4231nxh0qr8bit7tzamff95z0b20ii2fzulayqcb082cppdfhgg6xpvzlmxys9mpc2apc36dhit8e52xozoffgnj685jr9wb2q3qwarhgry1w2k49jgx45tfk82harp2tal9eoed6eyskdesqt7yiy4zrpddxpdl5gljb9820qi5h089kbkmcs1phnfgyuydu4cdx5s9zrx8zr4psflxpibr8uho2si85pputxu,9o4trqd1g5i1qf60ygudzhq1bld1drhzrcp2flv4wvo4lpglrl66bl7ucq1qjob5dos0fnnpubh1f92eozv9nlu82bnp1via3shduta47xbjaiyk5xfrv2thhhbw5so16wjpexczdi0qm63jr72oc34auw0vym5ynqlxvyhpmyeskzaha66q8xjtuaizt7yjhup2sbm225lo02w6igfg94e9guh1jsn4xa9i4z4gy1y1l50xz9m7ulli8evfbxft727mu39xudj4kbwmjkkltq17u3vwuju3csqn23gwlhgwkntsrrn6senbuyjimecmh7m182c6ez5m8jflwxw3xl6gn5prdkzcjffqv2a5i6g9twd6fr85721or2azp1d3y1hmrn1of7kxz8v0l28rdb6vagk2qvjt6ckt25q6aplanlfg5wlm2xilpmpst3ae7xkihlkw35fvyn5pxm5w6m7vnouz13hbojb6p01i8qltg65iteuwzhe6m219c38mz4cupo5t9lmh1j0hlebrtwclmjyuw4gken6zbgwr1qzwcnnaxwxm54bacpxc4mu128ifpu,1,56,54,37,1338,57,53,38,1337,57,53,38,1337,-133.37046784,-121.428521416,-121.428521416
0.9,1.1,55,4,0.3,110,6,3,0.7,6,87,85,87,0:24:51.597415,0:11:12.023307,dl0epuaecd9d61aokr1lryat9vj25k8ib8q5otkl0pjy02ggh266yzx2ucgj7tt4zvu80nw2848p625anvqz541az9rjubtxvu7kbgmuj1yc9laqah45ypu3f2krf90sx05ezevp4m59e1ch8cgq5xxyoortx3pphgch1z4ncpnt82kcapjc32axx23s1w7wwoxsjkg3m9wg4jxnj40p3mf2ek10uhtggh4f9a1wmfdbr3z1l6ii2odhmekxnufe653myo4x37tjq3vtrff9s0w54r4p26wegmhgia0t1wf9vo39zh8926kot98i4u6vjh6sqc7tax8nu69f215pftxc0zxvuc9wricg55drrazsdmjgpercxpogr81cp160lyxqgzrkzx0ha223u7cu6rmta71qflwojr1p3px4s7po7ws8wndl4pjhbkh9swnm7rpdt3iich5l1h5vpdm95szags15qc7ohkgx6rbokm5cvjmr3fdrroeds7gng8u19qgj5qu1kuohcb5l5x5jyl2vzb5beji2ilitzkescta61l5mazqrvpk42cr8diw2frsfa3p50,dl0epuaecd9d61aokr1lryat9vj25k8ib8q5otkl0pjy02ggh266yzx2ucgj7tt4zvu80nw2848p625anwgxc00yeuuxkys4mco9kxxm79r6qpi5v8gcnwnf80g5uj2v835gggu9xc2t4x49qi1t37y26h6ep0rquatokkem6oyith1goodtezpx3me7tgej053l3uoraoljks1l2f2cxulaylxiclixy4hz47j4v6mlbxdpmgsi666v6qzbr9rh3un2jy43r0p1pe4fb7qx5c25wgwzqe0nvyxosepa3kwmjpy3i5ozs90s88a0li5jfhq7di8ksyks0ioeah4fvjo8uoqfpxzee8xnxghq5pfzvjmks7f8e28xcx53d15audagbtv48usr97e99eylgewnbicpze04f7nghlc9o02d77oekrbdzulwu8u8ybz4t5y27ma5a2312sd60y2ljmz7dk1pb7cjbihwtbomqirz2vz1ih4h5bhp3bxxbf94nxhi22tbh2wl3pnm51o8cgwfednlosexqkytavbt0yvst5j6axcuvlg0hi9rpd0xlh361ju2s,1,60,50,35,1340,59,51,36,1339,60,50,37,1338,-140.991739103,-129.130035686,-129.261005766
0.9,1.1,55,4,0.3,110,7,3,0.7,7,82,79,79,1:00:54.360630,0:15:54.923656,dl0y23xvvd9zplvgzmy1mtyatlwlqiexf111knku23at7140pw2csl3eltytq1uzd5kah8x1rok8rh1liipqy8ovnx6mo0t3r8pq7aiu89ineedvflctsapbn2vuletf8hfvz9ydbhje5bozibrk1c6fsfv5ylto31dfrvpoywzmmotz4sqodw1b58askzufroxzdiu0pfk68rhbwc3yw33d0om9luvi814sgoy1ty7jnw1uzu5vyf1z8rc2kvnabbd69k30nuu9rgofqaactqe6rag71zv748z58oeqr1nbi1xh40s38k8fp72mhacqi0i65uwxbkc73lxklf7zpzjczwt3z4j0nev0sp4sy5u6885xth65d0ul5c2llbxc7mje7a8umdu6pf453f35kvpqwhupqxkp4x0ziwlri23j5asvsuzr1ww96uxjokpvwerknl099u82wv666xk5sbstuv0kekeu65epw0hd1f9pheajy87cy3ybigufjpv5sa2a7e6t7e7x67i9h7tdue6s003h81nxsujrmvd4d61mti7yb0cowvv9aun9b57c1bl1zeg3k,dl0y23xvvd9zplvgzmy1mtyatlwlqiexf111knku23at712iw3hss15j16taygs2gnvk4zeh1f3yic61miv8nhxkkju3cs9vcj97c7ksd08r55keygcnerx8e1bpvakck166shecj9a04100pi3er4x2ce55so7p7zb60lap5murmzxnsrbvnznngulm0v9shunyxofjrutwj1zvz3wfe14p36b5jvqlrw2zlv1zrghfqf5fbksvkng66uctxh73736n2ccnajyo7urtaqh9iwklf9wfbsbk892srbupa6qfdhn1nddgrlvddl7omwvj7a5dkxewjm5iyzsv4vux9d1nxdcz1xbzk5nwf4s3k1nv2a7vi7ilorsg605urmwq2bha978uqyao0dlcpuijpesskjw1r66q8kwgkf20fffbu8oxe5dgtbzutaxlmutuavl26nzly8x87lxxnggsb0ri6loke69un4do1t5yght85r7h5eaiplzfzx0fo63c4d6me6ysobx5tkb6qsxcnr8qe4p03g3tyfendc2pl3wbcwly15bek2c1o9vggejhn5cdjauio,1,63,47,32,1343,63,47,32,1343,64,46,36,1339,-136.452888593,-126.016500613,-126.537920335
0.9,1.1,55,4,0.3,110,8,3,0.7,8,93,92,91,0:48:15.278663,0:21:13.353948,6siqpcxum08spr97ifziqdgxx3vru9bmr4xmymf1163wfvep1e3ev7ky9wy9vw47ic2gqt5pnb0zy1rq42kt962i8eqpjyth0ahg9e9pxcxubmb4jspbeczgvqbc7pzceh7bp7s0v6sollttfc965avg18cl4iz96w7hor6m2t0pjlnbm3x847q5janf3fb0586sxm7ugq2xkl6w51dgxfgv0vomjnwvx787jx9jasdvq1akm6xovinnu9132yjqh6xzog1n9569slsqpkqwo25a0ffqh26marvp68y3sqbgkxvjr7sphzobv6ejopt0iosmxx780odsfy8lwm9cgqu0ig00vf778i0428z4v8d5vam78cttt0872q5eq3nyfdltgfrhuqadrvmbs1pehg9adsrqtap3nfkur5pl4xx4rrstonelfyzqwcqic1170r7gifg7xklgtkc88qidx78qwozzlzrhkirvjqiyeftn6lgk9ahya1vyfx82g46e42xaasev9pcmfbpc50tq24ksj9034rd933at4rofqq81o4ccm01xog2qhla2iekmzd58y5lvq,6siqpcxum08spr97ifziqdgxx3vru9bmr4xmymf1163wfvep1e3ev7ky9wy9vw47ic2gqt5pnb0zy1rq42kt962i8eqpjyth0ahg9e9pxcxubmb4jspbeczgvqbc7pzceh7bp7s0v6sollttfc965avg18cl4iz96w7hor6m2t0pjlnbm3x847q5janf3fb0586sxm7ugq2xkl6w51dgxfgv0vomjnwvx787jx9jasdvq1akm6xovinnu9132yjqh6xzog1n9569slsqpkqwo25a0ffqh26marvp68y3sqbgkxvjr7sphzobv6ejopt0iosmxx780odsfy8lwm9cgqu0ig00vf778i0428z4v8d5vam78cttt0872q5eq3nyfdltgfrhuqadrvmbs1pehg9adsrqtap3nfkur5pl4xx4rrstonelfyzqwcqic1170r7gifg7xklgtkc88qidx78qwozzlzrhkirvjqiyeftn6lgk9ahya1vyfx82g46e42xaasev9pcmfbpc50tu1iz0yheixq2ryjeo9lwv5s64f6t9mqhtscsv38px4mzgziv49y9za,0,56,54,38,1337,57,53,38,1337,58,52,41,1334,-141.090779759,-126.016993313,-128.38102833
0.9,1.1,55,4,0.3,110,9,3,0.7,9,93,93,92,0:18:41.341032,0:18:51.799460,kdim2rmhcv9pcnko1h50vhg8aped3umqk5cpghl1vuy3i0s1ockz82ym9o2in54je534s88faab68srt5rjni2auc8xv8c9w2vb6h1kljet3tcsrtqsi2nk0e8h25p0rf62yk4hvkflc3cwddsxowg3zgkhosni9dnb6vnfajzb89agsyzewfze5ydov7tpytvly6jh81nzj8as4o41ljeymfb1e4ercb3ur7njqfm8r4h0tx34avqmhsdwt1jqki5fkc4mbeldxjoeyv6sc0hvxjqy0in6yf0r2dxo4yod5wm1htag5hwuptw4e3lc4w3c96g32ovu3ron6tfyzkctxywfx33bkv1amzs602nl1qecl736edi0i6ibxyjwitxqvqkj1wrl98bdy4dcejdbig4dd8ebbvrda6sruf648si6c36dlcsp3ub6g80f6t17s4eo5cbr7vwqspmivocrn106sk7wdoc9wymmmoplafheqzelfcgke4lf6vrnizijbxti9xii5oirdndgbj2dxk5zbidl5oqefswgwnz1y8ufb2bptt19apafde74cqgpbp58ne,kdim2rmhcv9pcnko1h50dkv7nidyj8a64kxan3038s2cmuwlzae3xbubyl6d1tmepxywi3v3wzquqjy1r1koct7n6f43oqzaqkya7t6a9isubrh2tsogeneemi73u7t6o50lkrfyajs8z9urvqlap4x9eswse4nrlm9bh2ht8mroqtfqlf195ucmhgpucud8xqarzjhc53kcinmsl5pmqs631bdso1vbbvq2co71uh85ya7w7vnobnz9zfpkjxvl412v9gszlb4ooymo5rerprdkxgq9i0m3kph30ckp2v6flmzwe17yp9wts5zc8q03v4eyfreb8sa5y1tkiyt7kkgqhksq5vu9lgoczwr4kdw89uvy4sn8a8npj3do6vff79lki28jr2yut2kx2d39gg298qlr9klg5btt3m8kqk5pix7qdubxifzd2jy33b8zb5woidxyubyhfeijdjxp9f7tac4ym4ar7pbi6djtj6aefm4ksyyf7l9vu6r7phhpe8kbxw9s1dtrlup8kech3s1efuq3tvz2yomsxd0ebk4y3ewzixjmi4nswhqda11d9gad3o6x6,1,56,54,39,1336,54,56,36,1339,56,54,39,1336,-142.496177515,-127.793252175,-128.118047646
0.9,1.1,55,4,0.3,110,10,3,0.7,10,83,80,84,0:29:10.413695,0:10:23.267749,dl0epuafb7syy6vj5qgy7d7r0jdvhr6pqcms51e94ot152tthdtznxei433klw570xwty2pyewm6av9b6vkbi3cus7vk3f9jofzwbva07gpaeljclghjnkw54jskkz1o6slxmcjg0dbibvz13dof0k61tqjzseq4eiw6pjngraq51ri7pn7d6r6xlsnu0wts0pw20bihd9s6izgijgyfjfw85plmwbahlvpwgshm6mvz4eoo6b7hq7eduqd1nf8wsttqntbldnzdzy77sjirvzy9mb3u3qms75cyok94txxowhvqi6hka1z5a68mpqqb6h3zhnip6lvd7uexm03777tg1bdykyvnrt4xqres14jimqmw93gydcmoc3kt42e98bw8si3qsgq3b29ndvqg3790t1uej20unjh21mmz3adwjceixiafirv6evf8ls38dgnvw35qxg2mm1caol1i1h9u0fh036bq9ds7l9szojgy51klhfiivqyi3z6ro7dwd12vazcy280sf62hm9expa37m8xmt1miwruggqyacw6lkx6z86lwsixnrl6rjgnmemr4cgfto,dl0epuafb7syy6vj5qgy7d7r0jdvhr6pqcms51e94ot152tthdtznx6tw5ww6qun0orvjnxqgyb8pr2sifxmtglxg494jxgai2fbqnoiwx9ycmzv0ee1qbmpddsxkxwx1h4v76ld2kpmqc8uolmwmu6axmpjjvk0ylxdrtctdh04g84bm8z7lghge9bvm4vuo3pa7141ibxyx7jb7cqf7y5x8l48h5bh3l8pk5b8y70ffx21gzodmrlfbqiblu4f24cn17xj00aij283pjg5ic1jwav2v4do4xu11wmdlbuha0sjtaqx16j11nvuch3yk1sk4zi7cn2yrewsz3rddk37ak777ob0iwxncrddoxadtwmsbalcbyq39ab44nimx3dlfg3h2z6alatiu23wnp89yhdri2ted4jv8vyhl33wvdofl05i5z1eg2m3k2tcmj41i27am3uqcidsiqo32to9id5vyu1q6r7ihrm9hqi5ds5uqzu2wiy0gh90plgdpm798u4up65invq7o5txhak0zrcc5t3ffpg9ihdbcvagovlf2u4ltpquod9yduzi5c6rx0t24,0,61,49,31,1344,59,51,33,1342,61,49,34,1341,-127.377692473,-114.825398838,-115.391999009
