numlinks,prob_rewire,graphtype,numgraphs,numnodes,numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_uinvite_prior,time_uinvite_prior,bestgraph_uinvite_prior,hit_uinvite_prior,miss_uinvite_prior,fa_uinvite_prior,cr_uinvite_prior,ll_uinvite_prior
6,0.3,steyvers,10,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,106,1,1,>>sparse6<<:]__@_@A_@AB_@ABC_@AD_BDE`A_@ABE_@BCG_ABGbDE_A_BJ_@AC_ABCIaCEFKcKPcEGLP_@ABFcDNORaCNObD_BCO_BCUcDT_CeGLRaCPR,-968.099525893,-972.535071666,,,35.0,0:01:08.559504,>>sparse6<<:]___@A_@AB`ABC_AD_DE`E_@ADE_@BCG_ABG_DE_AbFJK_@A_BCIcEFKcKPaCEGLP`ABDFbCDNORaNObDFK_BIOVbCUVdQTX_CUeGPRaCPRU,89.0,17.0,18.0,311.0,-1007.67652821
6,0.3,steyvers,10,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,101,2,2,>>sparse6<<:]__@_@A_@AB_@ABC`ABD`ACD`CFaCF`AC_ABDFfGaBDEFaBFLgK_@EFGcDFIJ_AFdIP_@BCL_DES_@HcDLM_EGOkN_G_DHScHLO_OW,-957.942492706,-961.322837894,,,42.0,0:01:31.894787,>>sparse6<<:]__@_@_@B_@ABC`ABC`ACD`aBCFG`ACE_DFfGaBDFG`ADLgK`CEFGbCDFIJ_AFJdP`ABC_BDES_@BHaCDHLMS_CEGOkN_GOQX_ADHSbFLOS_EOSW,85.0,16.0,26.0,308.0,-996.309437052
6,0.3,steyvers,10,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,106,3,3,>>sparse6<<:]__@_@A_@AB_@ABC`AC_AB`AD_BCGbCcDFbDEFbDEFK_AFLfKLaFKN`ADJaBGKfNO_BDMcDGPcGPT`ADEJbDFKObGKQbCEFdHQUX_CLS_AF,-972.016902412,-975.43779791,,,39.0,0:01:35.818692,>>sparse6<<:]__@`A_@B_BaCb_A_BCGbCHcDFbDEFGcDEFIK_AFLaFLaEFK`ADGJLO`GKfN_BDM`CDGPcGT`ADEJPaBDFHKObGK_BEFdHQUVX_CLS_AM[,86.0,20.0,19.0,310.0,-1010.397477
6,0.3,steyvers,10,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,103,4,4,>>sparse6<<:]__@_@A_@AB_@ABC`BD`BDEcaB_@ACDE_AIaCI`DaB`HJKM`BEFaBNbH_CJ`ACDIdEIJKbDEFSTdEOU_IJR`BCI_AIO`BEFaHJM`CDSU,-941.533375002,-945.197902009,,,26.0,0:01:04.268735,>>sparse6<<:]a?_@A_@AB_@AB`BD`BEcaB_@ABCE_AIaCIdaB`HJK`EFGbb_C`ACDIdEIJKRbDEFST_@EFOU_AJR_@BCI_AIO`EFLaHJM`CDFLSU,88.0,15.0,11.0,321.0,-988.994041934
6,0.3,steyvers,10,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,91,5,5,>>sparse6<<:]__@_@A_@AB_@ABC_@AC_ABCdE_@`CG_ABF_HbJ_HK_AHaDLdG_ABNOaB_GbDEHaBJ_HK_@AQTdEGSbHT_@AG_HKMaTW,-924.025537076,-930.042543482,,,24.0,0:00:33.311340,>>sparse6<<:]_`_A_@AB_@AC_ABC_ABCdE`E`CG_AB_HbJ_HK_AHaDLdG_ABKNOaBdGObDEHMaBJ_AHK`BQT_EGSUbHT_@ADG_HKVtW,79.0,12.0,12.0,332.0,-1003.48013869
6,0.3,steyvers,10,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,104,6,6,>>sparse6<<:]__@_@A_@AB_@ABCaDa_AC_@ACD`DH`AHI`BC_@KbCJL_CEG_CDEaIM_CEGaGKOQ`DIPdENaGNOcJP_ABNQaDFGJWaPRWXaGUgLOQaNOQ,-932.177560174,-936.676317676,,,34.0,0:01:01.770427,>>sparse6<<:]__@`A_@AB_@ABC_AaBccDG`H`HI`B`CKbCJL_EGcDEaBHIJM_CGNaGKQ`DIPdENgNOcJPaBNQRaCGJWpWXaOUgLQaNOQ,81.0,23.0,11.0,320.0,-998.515775264
numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_uinvite_prior,time_uinvite_prior,bestgraph_uinvite_prior,hit_uinvite_prior,miss_uinvite_prior,fa_uinvite_prior,cr_uinvite_prior,ll_uinvite_prior
6,0.3,steyvers,160,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,110,1,1,>>sparse6<<:]__@_@A_@AB_@ABC`ABD_@BD_AD_AD_CFG`D`BE`BCDIbCL_ADKfHIN_@AGNfINOaG_ABR_@ACIM`ABEcELMUdFGHaBDEbMTaEFLXaDKOQ_CGS[,-957.994810681,-961.819334299,,,30.0,0:00:54.043420,>>sparse6<<:]a@_@A_AB_@ABC_AB_@B_DaD_CEFG`D`BE`CIbCL_AD_FHIN`AGNfINOaGP_ABLR`ACMN`ABEPcELMUdFGHaDEFhMTXaEFLXaDKNQ_CPS[,92.0,18.0,12.0,313.0,-1014.85848961
6,0.3,steyvers,160,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,107,2,2,>>sparse6<<:]__@_@A_@AB_@ABC_@AbCD_@AC_@`AB_BCFI_FIJcDFJ`CDI_BDFaDF`BCDFL`BIJM_EcEHJK_@AR`BHR_ERU`CDINPibDGS`BRUeHJYgKRT,-948.602918244,-952.96447332,,,43.0,0:00:34.904517,>>sparse6<<:]___@_@AB_@AB_@ABbCD_@AE_@bcEFI_AFIJdFJ`CDIcDaN`CFLMO`BCIM_E`CEHJKN`AR`BEHR`CERU`CDIJNPedS`BDRTeHJSYgKORT,84.0,23.0,20.0,308.0,-997.454062563
6,0.3,steyvers,160,30,0.7,0.0,stationary,20,stationary,gamma,0.9,0.909090909091,20,98,3,3,>>sparse6<<:]__@_@A_@AB_@ABC_AC_E_CE`ABD`B_AEFfaCDaBC`ADHLeFJaHLN_@HIN`IQ_BaCDFJ_@IR`ABDHNhNPhPVW`ADXbCDJaPW`RU,-905.575852596,-909.932415369,,,30.0,0:00:55.566502,>>sparse6<<:]b?@A_@AB_Ba_E_CaBD_@B_AEFfaCDHaBC`ADHeFJaHLN_@CDHIN`IQ_BQaCFJL`IRS`ABDH`HNPaHPV`DPXaBCDGJlPW`RU,81.0,17.0,13.0,324.0,-967.130955548
