S3,polarbear,panda,0,0,1,0
S3,emu,hummingbird,1,1,1,1
S3,pelican,zebra,0,0,1,0
S3,gerbil,parrot,1,1,1,1
S3,vulture,kimododragon,1,1,1,1
S3,chimpanzee,cheetah,0,0,1,0
S3,raccoon,deer,0,0,1,0
S3,parrot,hummingbird,0,0,1,0
S3,zebra,clownfish,0,0,1,0
S3,raven,vulture,1,1,1,1
S3,ape,monkey,1,1,1,1
S3,vulture,hummingbird,1,1,1,1
S3,penguin,panda,0,0,1,0
S3,goat,dog,1,1,1,1
S3,snowleopard,horse,1,1,1,1
S3,zebra,swan,0,0,1,0
S3,fish,bird,1,1,1,1
S3,aardvark,anteater,1,1,1,1
S3,horse,pony,1,1,1,1
S3,chicken,pig,0,0,1,0
S3,tiger,jaguar,1,1,1,1
S3,pigeon,dodobird,1,1,1,1
S3,fox,baboon,1,1,1,1
S3,pelican,seagull,1,1,1,1
S3,octopus,hyena,0,0,1,0
S3,penguin,cat,0,1,0,0
S3,crocodile,snake,1,1,1,1
S3,gerbil,guineapig,1,1,1,1
S3,zebra,hippopotamus,1,1,1,1
S3,bird,moose,1,1,1,1
S3,koala,giraffe,1,1,1,1
S3,pigeon,bat,0,0,1,0
S3,whale,dog,0,1,0,0
S3,cockatoo,gerbil,0,0,1,0
S3,fish,octopus,1,1,1,1
S3,alligator,lizard,0,0,1,0
S3,pigeon,parakeet,1,1,0,1
S3,zebra,sloth,0,0,1,0
S3,seagull,parakeet,0,0,1,0
S3,tortoise,hare,1,1,1,1
S3,octopus,squid,1,1,1,1
S3,pelican,parakeet,1,1,1,1
S3,seal,octopus,0,0,1,0
S3,ostrich,koala,1,1,1,1
S3,lamb,jaguar,1,1,1,1
S3,cow,lamb,1,1,1,1
S3,chicken,rat,0,0,1,0
S3,squirrel,rabbit,1,1,1,1
S3,donkey,dog,1,1,1,1
S3,alpaca,mouse,0,0,1,0
S3,frog,cat,1,1,1,1
S3,swan,moose,1,1,0,1
S3,baboon,monkey,1,1,1,1
S3,fish,seal,0,0,1,0
S3,meerkat,jaguar,0,0,1,0
S3,tiger,giraffe,1,1,0,1
S3,llama,aardvark,1,1,1,1
S3,kangaroo,hummingbird,0,0,1,0
S3,hyena,gorilla,1,1,0,1
S3,fox,bat,1,1,1,1
S3,chimpanzee,gorilla,1,1,1,1
S3,horse,bear,0,0,1,0
S3,donkey,giraffe,1,1,1,1
S3,calamari,squid,1,1,1,1
S3,gorilla,snake,1,1,1,1
S3,hamster,rat,1,1,1,1
S3,emu,flamingo,1,1,1,1
S3,meerkat,chimpanzee,1,1,1,1
S3,seal,duck,1,1,1,1
S3,anteater,bear,0,0,1,0
S3,lion,tiger,1,1,1,1
S3,zebra,hummingbird,1,1,1,1
S3,emu,ostrich,1,1,1,1
S3,polarbear,giraffe,1,1,1,1
S3,baboon,ape,1,1,1,1
S3,lizard,snake,1,1,1,1
S3,puma,jaguar,1,1,1,1
S3,raccoon,skunk,1,1,1,1
S3,chimpanzee,goat,0,0,1,0
S3,zebra,giraffe,0,0,1,0
S3,crocodile,lizard,1,1,1,1
S3,leopard,snake,1,1,1,1
S3,bat,goat,1,1,1,1
S3,hippopotamus,squirrel,0,0,1,0
S3,fish,dolphin,1,1,1,1
S3,pelican,snake,0,0,1,0
S3,baboon,gorilla,1,1,1,1
S3,cat,dog,1,1,1,1
S3,calamari,octopus,1,1,1,1
S3,bird,parakeet,1,1,1,1
S3,zebra,mink,0,0,1,0
S3,vulture,ba,0,0,1,0
S3,leopard,jaguar,1,1,1,1
S3,horse,pig,1,1,1,1
S3,rat,snake,1,1,1,1
S3,alpaca,goat,0,0,1,0
S3,leopard,manatee,0,0,1,0
S3,sheep,donkey,1,1,1,1
S3,octopus,snake,1,1,1,1
S3,pelican,hamster,1,1,1,1
S3,ostrich,anteater,1,1,1,1
S3,llama,moose,1,1,1,1
S3,fox,bear,1,1,1,1
S3,pelican,ba,0,0,1,0
S3,lion,cat,1,1,1,1
S3,fox,kimododragon,1,1,1,1
S3,emu,koala,1,1,1,1
S3,lion,bear,0,0,1,0
S3,belugawhale,whale,0,0,1,0
S3,ostrich,penguin,0,0,1,0
S3,pelican,ostrich,1,1,1,1
S3,snowleopard,leopard,1,1,1,1
S3,sheep,rabbit,1,1,1,1
S3,alpaca,anteater,1,1,0,1
S3,fish,hyena,1,1,1,1
S3,leopard,goat,1,1,1,1
S3,emu,chimpanzee,0,0,1,0
S3,fox,whale,0,0,1,0
S3,meerkat,dingo,1,1,1,1
S3,lizard,bat,0,0,1,0
S3,pelican,cockatoo,1,1,1,1
S3,sloth,polarbear,1,1,1,1
S3,chicken,ostrich,1,1,1,1
S3,sloth,snake,1,1,1,1
S3,seal,penguin,1,1,1,1
S3,iguana,lizard,1,1,1,1
S3,turkey,parrot,0,0,1,0
S3,fox,tuna,1,1,1,1
S3,meerkat,guineapig,1,1,1,1
S3,kimododragon,anteater,1,1,1,1
S3,fox,dodobird,1,1,1,1
S3,goose,moose,1,1,1,1
S3,fox,giraffe,0,0,1,0
S3,mink,snake,1,1,1,1
S3,cat,mouse,1,1,1,1
S3,lion,giraffe,1,1,1,1
S3,fish,whale,1,1,1,1
S3,lizard,hummingbird,0,0,1,0
S3,pigeon,fish,1,1,1,1
S3,dodobird,anteater,0,0,1,0
S3,sheep,pig,0,0,1,0
S3,flamingo,koala,0,0,1,0
S3,lion,dodobird,0,0,1,0
S3,emu,cockatoo,0,0,1,0
S3,hamster,guineapig,1,1,1,1
S3,bat,bear,1,1,1,1
