0,bear
0,cat
0,dog
0,bird
0,skunk
0,tiger
0,lion
0,zebra
0,ostrich
0,giraffe
0,llama
0,turtle
0,elephant
0,monkey
0,horse
0,donkey
0,cheetah
0,fish
1,bear
1,fox
1,wolf
1,tiger
1,lion
1,elephant
1,horse
1,cow
1,donkey
1,monkey
1,cat
1,dog
1,llama
1,giraffe
1,owl
1,chicken
1,turkey
1,cheetah
1,leopard
1,jaguar
1,mountainlion
1,bobcat
2,bear
2,fox
2,dog
2,cat
2,lion
2,tiger
2,elephant
2,cheetah
2,leopard
2,jaguar
2,bobcat
2,horse
2,donkey
2,llama
2,giraffe
2,monkey
2,turtle
2,wolf
2,hyena
2,coyotee
2,zebra
2,falcon
2,owl
2,turkey
2,ostrich
